district,sector,month,result,residence,relationship,sex,birth_year,age,registration,ethnicity,religion,marital_status,curr_educ,education,main_activity,is_active,main_occupation,industry,employment_status,uresidencf,live,finalweight,B_year,r2_school_education,type_of_school,grade_this_year,grade_last_year,distance,transport_medium,time_to_school,noschooling_reason,reason_leave_school,when_stop_schooling,s3a_3,s3a_4,s3a_5,s3a_6,s3a_7,s3a_8,s3a_9,s3a_10,s3a_11,s3a_12,s3a_13,s3a_14,s3a_15,s3a_16_yy,s3a_16_mm,s3a_17,s3a_18,s3b_3,s3b_a,s3b_5,s3b_6,s3b_7,s3b_8,s3b_9,s3b_10,s3b_11,s3b_12,pri_sec,wages_salaries,allowences,bonus,is_employment_income,banks,bank_amount,bank_r,samurtdhi,samurtdhi_amount,samurtdh_r,finance,finance_amount,finance_r,employer,employer_amount,employer_r,lender,lender_amount,lender_r,credit_cards,credit_cards_amount,credit_cards_r,retail_shops,retail_shop_amount,retail_shops_r,pawning,pawning_amount,pawning_r,instalment_goods,instalement_amount,instalment_goods_r,other_debts,other_amount,other_debts_r,bus_halt,bus_halt_time,pre_school,pre_school_time,primery_school,primery_school_time,secondery_school,sec_school_time,hospital,hospital_time,matrenity_home,maternity_home_time,gov_dispensarz,gov_dispensary_time,private_dispensary,private_dispensary_time,maternity_clinic,maternity_clinic_time,dmo,dmo_time,mcucpc,mcucpc_time,ds_office,ds_office_time,gn_office,gn_office_time,post_office,post_office_time,bank,bank_time,agri_office,agri_office_time,is_power_lines_near,is_tel_lines_near,is_water_service_near,structure,bed_rooms,area,walls,floor,roof,ownership,drinking_water,s8_6b1_inside_outside,s8_6b2_distance,s8_6b2_premises_time,s8_6c_water_safe,s8_6d_water_sufficency,s8_6e1_water_sufficency_for_drio,s8_6e2_water_sufficency_for_bati,tioilet_use,toilet_type,s8_7c1_bowser_service,s8_7c21_hand_wash_place,s8_7c22_hand_wash_water,s8_7c23_hand_wash_soap,garbage_dumping,lite_source,cooking_fuel,is_collect_firewood,s8_11b_place,s8_11b_distance,natural_calamity,flooding,drought,land_slides,wildanimals,s8_12b5_storm,other_calamity
11,1,1,1,1,1,2,70,36-50,1,1,4,2,9.0,10.0,1.0,1.0,7531.0,13921.0,5.0,-1.0,-1.0,392.4425353,1979,-1.0,-1.0,-1.0,-1.0,-0.99,-1.0,-0.99,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,2.0,-1.0,2.0,-1.0,-1.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,2.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,45000.0,-1.0,-1.0,<10k,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,1,76000.0,9.0,2,-1.0,-1.0,2,-1.0,-1.0,0.0,4.4,0.0,10.83,1.0,10.96,1.0,9.71,YES,YES,2.0,15.61,1.0,10.35,0.0,4.47,2.0,19.43,2.0,21.39,10.0,32.94,7.0,22.23,0.0,4.36,1.0,9.19,1.0,11.31,20.0,56.48,1,1,1,1,1.0,3.0,2,1,2.0,3,4.0,1.0,-0.93,-0.95,8.0,1.0,12.0,12.0,1,2,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,99.58,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,1,1,1,1,2,1,70,36-50,1,1,4,2,9.0,5.0,1.0,1.0,8350.0,79903.0,3.0,-1.0,-1.0,392.4425353,1972,1.0,1.0,13.0,12.0,1.94,6.0,32.97,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,2.0,-1.0,2.0,-1.0,-1.0,2.0,-1.0,1.0,2.0,2.0,2.0,2.0,2.0,-1.0,2.0,1.0,2.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,40000.0,-1.0,-1.0,<10k,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,1,76000.0,9.0,2,-1.0,-1.0,2,-1.0,-1.0,0.0,5.22,0.0,8.51,1.0,9.76,1.0,10.15,YES,YES,2.0,20.4,1.0,11.06,0.0,4.21,2.0,23.49,2.0,21.88,10.0,28.13,7.0,29.04,0.0,5.62,1.0,10.52,1.0,9.9,20.0,66.28,1,1,1,1,1.0,3.0,2,1,2.0,3,4.0,1.0,-1.02,-0.97,8.0,1.0,12.0,12.0,1,2,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,110.54,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,1,1,1,1,3,2,0,0-18,1,1,4,1,6.0,10.0,8.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,392.4425353,2002,3.0,-1.0,-1.0,-1.0,-1.05,-1.0,-0.96,-1.0,7.0,2018.0,1.0,1.0,1.0,2.0,-1.0,2.0,-1.0,-1.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,1.0,2.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,16000.0,20000.0,-1.0,<10k,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,1,76000.0,9.0,2,-1.0,-1.0,2,-1.0,-1.0,0.0,5.23,0.0,9.98,1.0,11.07,1.0,11.43,YES,YES,2.0,19.24,1.0,8.66,0.0,5.38,2.0,19.47,2.0,18.65,10.0,31.09,7.0,27.57,0.0,5.07,1.0,8.93,1.0,10.32,20.0,62.41,1,1,1,1,1.0,3.0,2,1,2.0,3,4.0,1.0,-0.96,-0.87,8.0,1.0,12.0,12.0,1,2,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,119.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,1,1,1,1,3,1,10,0-18,1,1,4,1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,392.4425353,2014,1.0,1.0,12.0,11.0,0.95,6.0,14.3,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,2.0,-1.0,-1.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,1.0,2.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,10000.0,-1.0,-1.0,<10k,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,1,76000.0,9.0,2,-1.0,-1.0,2,-1.0,-1.0,0.0,4.8,0.0,10.31,1.0,9.2,1.0,10.26,YES,YES,2.0,19.01,1.0,9.82,0.0,5.17,2.0,15.22,2.0,22.42,10.0,28.62,7.0,26.27,0.0,4.47,1.0,10.93,1.0,9.6,20.0,50.21,1,1,1,1,1.0,3.0,2,1,2.0,3,4.0,1.0,-1.1,-0.99,8.0,1.0,12.0,12.0,1,2,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,113.15,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,1,1,1,1,1,2,60,51-65,1,1,4,2,9.0,4.0,1.0,1.0,5211.0,47113.0,6.0,-1.0,-1.0,392.4425353,1960,-1.0,-1.0,-1.0,-1.0,-0.95,-1.0,-1.01,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,2.0,-1.0,2.0,-1.0,-1.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,2.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,45000.0,-1.0,-1.0,<10k,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,1,76000.0,9.0,2,-1.0,-1.0,2,-1.0,-1.0,0.0,5.78,0.0,9.59,1.0,9.41,1.0,9.23,YES,YES,2.0,20.01,1.0,10.14,0.0,4.74,2.0,18.58,2.0,19.43,10.0,31.57,7.0,25.56,0.0,5.87,1.0,8.87,1.0,9.21,20.0,65.34,1,1,1,1,1.0,3.0,2,1,2.0,3,4.0,1.0,-1.06,-1.13,8.0,1.0,12.0,12.0,1,2,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,105.28,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,1,1,1,1,3,2,90,19-35,1,1,4,2,9.0,13.0,1.0,1.0,2342.0,85101.0,3.0,-1.0,-1.0,392.4425353,1991,1.0,1.0,13.0,12.0,1.92,6.0,22.19,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,2.0,-1.0,2.0,-1.0,-1.0,2.0,-1.0,1.0,2.0,2.0,2.0,2.0,2.0,-1.0,2.0,1.0,2.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,40000.0,-1.0,-1.0,<10k,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,1,76000.0,9.0,2,-1.0,-1.0,2,-1.0,-1.0,0.0,4.5,0.0,10.05,1.0,10.21,1.0,9.79,YES,YES,2.0,20.03,1.0,11.0,0.0,4.39,2.0,19.3,2.0,21.09,10.0,25.62,7.0,27.94,0.0,4.19,1.0,12.02,1.0,9.33,20.0,71.36,1,1,1,1,1.0,3.0,2,1,2.0,3,4.0,1.0,-1.02,-1.03,8.0,1.0,12.0,12.0,1,2,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,94.48,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,1,1,1,1,5,1,80,19-35,1,1,4,2,9.0,10.0,1.0,1.0,3113.0,55101.0,3.0,-1.0,-1.0,392.4425353,1988,3.0,-1.0,-1.0,-1.0,-1.01,-1.0,-1.0,-1.0,7.0,2018.0,1.0,1.0,1.0,2.0,-1.0,2.0,-1.0,-1.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,1.0,2.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,16000.0,20000.0,-1.0,<10k,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,1,76000.0,9.0,2,-1.0,-1.0,2,-1.0,-1.0,0.0,5.42,0.0,9.7,1.0,9.47,1.0,10.03,YES,YES,2.0,20.95,1.0,9.75,0.0,5.23,2.0,19.59,2.0,20.93,10.0,29.2,7.0,28.62,0.0,4.41,1.0,12.19,1.0,8.35,20.0,62.44,1,1,1,1,1.0,3.0,2,1,2.0,3,4.0,1.0,-0.76,-0.98,8.0,1.0,12.0,12.0,1,2,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,109.41,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,1,1,1,1,5,2,10,0-18,1,1,4,1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,392.4425353,2015,1.0,1.0,12.0,11.0,1.03,6.0,15.7,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,2.0,-1.0,-1.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,1.0,2.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,10000.0,-1.0,-1.0,<10k,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,1,76000.0,9.0,2,-1.0,-1.0,2,-1.0,-1.0,0.0,5.09,0.0,10.32,1.0,10.94,1.0,9.52,YES,YES,2.0,22.5,1.0,10.07,0.0,5.5,2.0,20.77,2.0,19.69,10.0,31.8,7.0,25.85,0.0,4.96,1.0,8.6,1.0,9.99,20.0,66.28,1,1,1,1,1.0,3.0,2,1,2.0,3,4.0,1.0,-1.02,-1.06,8.0,1.0,12.0,12.0,1,2,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,91.52,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,1,1,1,1,5,2,10,-1,1,1,4,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,392.4425353,2018,1.0,1.0,9.0,8.0,0.0,3.0,10.49,-1.0,-1.0,-1.0,1.0,2.0,1.0,2.0,-1.0,2.0,-1.0,-1.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,1.0,2.0,2.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,30000.0,-1.0,-1.0,<10k,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,1,76000.0,9.0,2,-1.0,-1.0,2,-1.0,-1.0,0.0,5.04,0.0,8.75,1.0,7.34,1.0,9.3,YES,YES,2.0,18.97,1.0,7.81,0.0,5.49,2.0,21.4,2.0,20.93,10.0,31.36,7.0,22.98,0.0,4.52,1.0,10.54,1.0,11.07,20.0,61.09,1,1,1,1,1.0,3.0,2,1,2.0,3,4.0,1.0,-0.84,-0.84,8.0,1.0,12.0,12.0,1,2,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,85.29,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,1,1,1,2,5,2,30,66+,1,1,4,4,9.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,3.0,392.4425353,1937,1.0,1.0,2.0,1.0,1.05,3.0,4.25,-1.0,-1.0,-1.0,1.0,2.0,1.0,2.0,-1.0,2.0,-1.0,-1.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0,2.0,1.0,2.0,2.0,-1.0,1.0,1.0,1.0,1.0,8000.0,-1.0,-1.0,<10k,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,2,-1.0,-1.0,1,76000.0,9.0,2,-1.0,-1.0,2,-1.0,-1.0,0.0,4.78,0.0,9.7,1.0,8.74,1.0,8.48,YES,YES,2.0,19.35,1.0,10.25,0.0,4.27,2.0,21.65,2.0,21.82,10.0,32.37,7.0,29.05,0.0,4.43,1.0,8.21,1.0,9.29,20.0,48.77,1,1,1,1,1.0,3.0,2,1,2.0,3,4.0,1.0,-1.06,-1.06,8.0,1.0,12.0,12.0,1,2,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,92.06,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
