feature,mean_abs_shap,rank
age_match,2.916795966853606,1
overall_similarity,1.627275401258488,2
education_diff,0.4366186193509629,3
cosine_similarity,0.36191559735363676,4
B_year_diff,0.3111159444928298,5
employment_status_diff,0.30689448686013,6
main_activity_diff,0.21753860892364318,7
sex_equal,0.19702642936413928,8
euclidean_distance,0.16962673043802423,9
sex_diff,0.15351537648621544,10
manhattan_distance,0.12636359453445312,11
employment_status_equal,0.06618432146334804,12
main_activity_equal,0.021012287772364507,13
industry_diff,0.019290389914048647,14
marital_status_diff,0.01920169680166545,15
education_equal,0.008669992102152992,16
B_year_equal,0.007562172870835659,17
industry_equal,0.0007448633541976408,18
marital_status_equal,1.394755625561342e-05,19
district_equal,0.0,20
district_diff,0.0,21
