anon_id,district,sector,month,psu,snumber,hhno,nhh,result,person_serial_no,residence,relationship,sex,birth_year,birth_month,age,registration,ethnicity,religion,marital_status,curr_educ,education,main_activity,is_active,main_occupation,industry,employment_status,uresidencf,live,finalweight,B_year,k_size,uniqueness_score,k_anonymity,is_unique,qi_missing_rate,cluster_anomaly_score,l_diversity,combined_risk,risk_level
0,11,*,1,11,1,1,1,1,1,1,1,*,11,2,*,1,1,4,*,9.0,*,1.0,1.0,7531.0,*,5.0,,,392.4425353,11,198.0,0.005050505050505051,198.0,0,0.0,2.016330692930072e-11,,0.003030303038368353,low
1,11,*,1,11,1,1,1,1,2,1,2,*,11,8,*,1,1,4,*,9.0,*,1.0,1.0,8350.0,*,3.0,,,392.4425353,11,198.0,0.005050505050505051,198.0,0,0.0,2.016330692930072e-11,,0.003030303038368353,low
2,11,Bin_1,1,11,1,1,1,1,3,1,3,Bin_5,11,3,Bin_1,1,1,4,Bin_1,6.0,Bin_3,8.0,2.0,,,,,,392.4425353,11,,,,0,0.16666666666666666,2.016330692930072e-11,,,low
3,11,Bin_1,1,11,1,1,1,1,4,1,3,Bin_1,11,3,Bin_1,1,1,4,Bin_1,1.0,,,,,,,,,392.4425353,11,,,,0,0.3333333333333333,0.22278597675880188,,,low
4,11,*,1,11,3,1,1,1,1,1,1,*,11,10,*,1,1,4,*,9.0,*,1.0,1.0,5211.0,*,6.0,,,392.4425353,11,198.0,0.005050505050505051,198.0,0,0.0,2.016330692930072e-11,,0.003030303038368353,low
5,11,Bin_1,1,11,3,1,1,1,2,1,3,Bin_5,11,4,Bin_2,1,1,4,Bin_1,9.0,Bin_4,1.0,1.0,2342.0,Bin_5,3.0,,,392.4425353,11,8.0,0.125,8.0,0,0.0,0.46127661534794473,,0.2595106461391779,low
6,11,Bin_1,1,11,3,1,1,1,3,1,5,Bin_1,11,9,Bin_2,1,1,4,Bin_1,9.0,Bin_3,1.0,1.0,3113.0,Bin_3,3.0,,,392.4425353,11,16.0,0.0625,16.0,0,0.0,2.016330692930072e-11,,0.037500000008065325,low
7,11,Bin_1,1,11,3,1,1,1,4,1,5,Bin_5,11,3,Bin_1,1,1,4,Bin_1,1.0,,,,,,,,,392.4425353,11,,,,0,0.3333333333333333,2.016330692930072e-11,,,low
8,11,Bin_1,1,11,3,1,1,1,5,1,5,Bin_5,11,4,Bin_1,1,1,4,Bin_1,,,,,,,,,,392.4425353,11,,,,0,0.3333333333333333,2.016330692930072e-11,,,low
9,11,Bin_1,1,11,3,1,1,1,6,2,5,Bin_5,11,6,Bin_5,1,1,4,Bin_3,9.0,Bin_2,,,,,,1.0,3.0,392.4425353,11,,,,0,0.16666666666666666,1.346655734143283e-11,,,low
10,11,Bin_1,1,11,3,1,1,1,7,1,2,Bin_1,11,12,Bin_4,1,1,4,Bin_1,9.0,Bin_3,1.0,1.0,5221.0,Bin_3,5.0,,,392.4425353,11,13.0,0.07692307692307693,13.0,0,0.0,0.23775451225093572,,0.14125565105422044,low
11,11,Bin_1,1,11,5,1,1,1,1,1,1,Bin_1,11,8,Bin_3,1,4,3,Bin_1,9.0,Bin_2,1.0,1.0,8323.0,Bin_3,3.0,,,392.4425353,11,7.0,0.14285714285714285,7.0,0,0.0,0.7368421052684637,,0.3804511278216712,low
12,11,*,1,11,5,1,1,1,2,1,2,*,11,8,*,1,1,1,*,9.0,*,1.0,1.0,7531.0,*,5.0,,,392.4425353,11,198.0,0.005050505050505051,198.0,0,0.0,2.016330692930072e-11,,0.003030303038368353,low
13,11,Bin_1,1,11,5,1,1,1,3,1,3,Bin_1,11,9,Bin_2,1,4,3,Bin_1,9.0,Bin_3,1.0,1.0,7412.0,Bin_2,3.0,,,392.4425353,11,7.0,0.14285714285714285,7.0,0,0.0,2.016330692930072e-11,,0.08571428572235103,low
14,11,Bin_1,1,11,5,1,1,1,4,1,3,Bin_1,11,1,Bin_1,1,4,3,Bin_1,2.0,Bin_3,8.0,2.0,,,,,,392.4425353,11,,,,0,0.16666666666666666,2.016330692930072e-11,,,low
15,11,Bin_1,1,11,5,1,1,1,5,1,3,Bin_5,11,3,Bin_1,1,4,3,Bin_1,2.0,Bin_3,,,,,,,,392.4425353,11,,,,0,0.16666666666666666,2.016330692930072e-11,,,low
16,11,*,1,11,5,1,1,1,6,1,4,*,11,7,*,1,4,3,*,9.0,*,1.0,1.0,4212.0,*,3.0,,,392.4425353,11,198.0,0.005050505050505051,198.0,0,0.0,2.016330692930072e-11,,0.003030303038368353,low
17,11,*,1,11,6,1,1,1,1,1,1,*,11,9,*,1,4,3,*,9.0,*,1.0,1.0,8323.0,*,5.0,,,392.4425353,11,198.0,0.005050505050505051,198.0,0,0.0,2.016330692930072e-11,,0.003030303038368353,low
18,11,Bin_1,1,11,6,1,1,1,2,1,2,Bin_5,11,10,Bin_4,1,4,3,Bin_1,9.0,Bin_1,7.0,2.0,,,,,,392.4425353,11,,,,0,0.16666666666666666,9.246690281761051e-11,,,low
19,11,Bin_1,1,11,6,1,1,1,3,1,3,Bin_1,11,2,Bin_2,1,4,3,Bin_1,9.0,Bin_4,1.0,1.0,3322.0,Bin_3,3.0,,,392.4425353,11,8.0,0.125,8.0,0,0.0,2.8625922011643265e-11,,0.07500000001145037,low
20,11,Bin_1,1,11,6,1,1,1,4,1,3,Bin_5,11,5,Bin_2,1,4,3,Bin_1,9.0,Bin_3,7.0,2.0,,,,,,392.4425353,11,,,,0,0.16666666666666666,0.10526315791277768,,,low
21,11,Bin_1,1,11,6,1,1,1,5,1,5,Bin_1,11,5,Bin_2,1,4,3,Bin_1,9.0,Bin_3,1.0,1.0,5211.0,Bin_3,3.0,,,392.4425353,11,16.0,0.0625,16.0,0,0.0,2.016330692930072e-11,,0.037500000008065325,low
22,11,Bin_1,1,11,6,1,1,1,6,1,5,Bin_1,11,5,Bin_1,1,4,3,Bin_1,2.0,Bin_1,,,,,,,,392.4425353,11,,,,0,0.16666666666666666,2.016330692930072e-11,,,low
23,11,Bin_1,1,11,6,1,1,1,7,1,5,Bin_5,11,3,Bin_1,1,4,3,Bin_1,,,,,,,,,,392.4425353,11,,,,0,0.3333333333333333,2.016330692930072e-11,,,low
24,11,Bin_1,1,11,7,1,1,1,1,1,1,Bin_5,11,1,Bin_2,1,1,4,Bin_1,9.0,Bin_4,1.0,1.0,3313.0,Bin_4,3.0,,,392.4425353,11,12.0,0.08333333333333333,12.0,0,0.0,2.1760009167715977e-11,,0.050000000008704,low
25,11,Bin_1,1,11,7,1,1,1,2,1,5,Bin_1,11,10,Bin_1,1,1,4,Bin_1,2.0,Bin_4,8.0,2.0,,,,,,392.4425353,11,,,,0,0.16666666666666666,0.7894736842147712,,,low
26,11,Bin_1,1,11,7,1,1,1,3,1,4,Bin_5,11,7,Bin_3,1,1,4,Bin_3,9.0,Bin_3,7.0,2.0,,,,,,392.4425353,11,,,,0,0.16666666666666666,3.6364695337311484e-11,,,low
27,11,*,1,11,7,1,1,1,4,1,5,*,11,4,*,1,1,4,*,9.0,*,1.0,1.0,5311.0,*,3.0,,,392.4425353,11,198.0,0.005050505050505051,198.0,0,0.0,2.016330692930072e-11,,0.003030303038368353,low
28,11,Bin_1,1,11,8,1,1,1,1,1,1,Bin_1,11,11,Bin_3,1,2,2,Bin_1,9.0,Bin_3,1.0,1.0,7116.0,Bin_3,3.0,,,392.4425353,11,23.0,0.043478260869565216,23.0,0,0.0,2.016330692930072e-11,,0.02608695652980445,low
29,11,*,1,11,8,1,1,1,2,1,2,*,11,6,*,1,2,2,*,9.0,*,1.0,1.0,9111.0,*,3.0,,,392.4425353,11,198.0,0.005050505050505051,198.0,0,0.0,2.016330692930072e-11,,0.003030303038368353,low
30,11,Bin_1,1,11,8,1,1,1,3,1,3,Bin_1,11,2,Bin_1,1,2,2,Bin_1,2.0,Bin_3,8.0,2.0,,,,,,392.4425353,11,,,,0,0.16666666666666666,2.016330692930072e-11,,,low
31,11,Bin_1,1,11,8,1,1,1,4,1,3,Bin_1,11,4,Bin_1,1,2,2,Bin_1,2.0,Bin_2,,,,,,,,392.4425353,11,,,,0,0.16666666666666666,2.016330692930072e-11,,,low
32,11,Bin_1,1,11,8,1,1,1,5,1,3,Bin_5,11,8,Bin_1,1,2,2,Bin_1,2.0,Bin_2,,,,,,,,392.4425353,11,,,,0,0.16666666666666666,2.016330692930072e-11,,,low
33,11,Bin_1,1,11,9,1,1,1,1,1,1,Bin_1,11,7,Bin_2,1,1,1,Bin_1,9.0,Bin_3,1.0,1.0,7131.0,Bin_3,3.0,,,392.4425353,11,16.0,0.0625,16.0,0,0.0,2.016330692930072e-11,,0.037500000008065325,low
34,11,*,1,11,9,1,1,1,2,1,2,*,11,10,*,1,2,2,*,9.0,*,1.0,1.0,9111.0,*,3.0,,,392.4425353,11,198.0,0.005050505050505051,198.0,0,0.0,2.016330692930072e-11,,0.003030303038368353,low
35,11,Bin_1,1,11,9,1,1,1,3,1,3,Bin_1,11,4,Bin_1,1,1,1,Bin_1,2.0,Bin_2,,,,,,,,392.4425353,11,,,,0,0.16666666666666666,2.016330692930072e-11,,,low
36,11,Bin_1,1,11,9,1,1,1,4,1,3,Bin_5,11,2,Bin_1,1,1,1,Bin_1,2.0,Bin_2,,,,,,,,392.4425353,11,,,,0,0.16666666666666666,2.016330692930072e-11,,,low
37,11,Bin_1,1,11,1,1,1,1,1,1,1,Bin_1,11,6,Bin_3,1,4,3,Bin_1,9.0,Bin_4,1.0,1.0,1221.0,Bin_3,4.0,,,298.0423127,11,13.0,0.07692307692307693,13.0,0,0.0,0.4210526315906208,,0.21457489879009448,low
38,11,Bin_1,1,11,1,1,1,1,2,1,2,Bin_5,11,8,Bin_3,1,4,3,Bin_1,9.0,Bin_3,7.0,2.0,,,,,,298.0423127,11,,,,0,0.16666666666666666,2.016330692930072e-11,,,low
39,11,Bin_1,1,11,1,1,1,1,3,1,3,Bin_1,11,9,Bin_2,1,4,3,Bin_1,9.0,Bin_4,1.0,1.0,5211.0,Bin_2,3.0,,,298.0423127,11,3.0,0.3333333333333333,3.0,0,0.0,3.454928674503317e-11,,0.2000000000138197,low
40,11,Bin_1,1,11,1,1,1,1,4,1,3,Bin_1,11,1,Bin_2,1,4,3,Bin_1,4.0,Bin_4,8.0,2.0,,,,,,298.0423127,11,,,,0,0.16666666666666666,1.9880093564148657e-11,,,low
41,11,Bin_1,1,11,1,1,1,1,5,1,3,Bin_1,11,2,Bin_1,1,4,3,Bin_1,2.0,Bin_3,,,,,,,,298.0423127,11,,,,0,0.16666666666666666,2.016330692930072e-11,,,low
42,11,Bin_1,1,11,2,1,1,1,1,1,1,Bin_1,11,3,Bin_4,1,4,3,Bin_1,9.0,Bin_4,4.0,2.0,,,,,,298.0423127,11,,,,0,0.16666666666666666,1.7528074163844148e-11,,,low
43,11,Bin_1,1,11,2,1,1,1,2,1,2,Bin_5,11,9,Bin_4,1,4,3,Bin_1,9.0,Bin_3,7.0,2.0,,,,,,298.0423127,11,,,,0,0.16666666666666666,2.016330692930072e-11,,,low
44,11,Bin_1,1,11,2,1,1,1,3,1,3,Bin_5,11,1,Bin_2,1,4,3,Bin_1,9.0,Bin_4,1.0,1.0,2330.0,Bin_5,1.0,,,298.0423127,11,8.0,0.125,8.0,0,0.0,0.46127661534794473,,0.2595106461391779,low
45,11,Bin_1,1,11,2,1,1,1,4,1,3,Bin_5,11,8,Bin_2,1,4,3,Bin_1,3.0,Bin_4,8.0,2.0,,,,,,298.0423127,11,,,,0,0.16666666666666666,2.016330692930072e-11,,,low
46,11,Bin_1,1,11,2,1,1,1,5,1,5,Bin_5,11,1,Bin_1,1,4,3,Bin_1,1.0,,,,,,,,,298.0423127,11,,,,0,0.3333333333333333,2.016330692930072e-11,,,low
47,11,Bin_1,1,11,3,1,1,1,1,1,1,Bin_5,11,12,Bin_4,1,4,3,Bin_3,9.0,Bin_3,7.0,2.0,,,,,,298.0423127,11,,,,0,0.16666666666666666,1.9191918545842895e-11,,,low
48,11,*,1,11,4,1,1,1,1,1,1,*,11,5,*,1,1,1,*,9.0,*,1.0,1.0,9112.0,*,3.0,,,298.0423127,11,198.0,0.005050505050505051,198.0,0,0.0,2.016330692930072e-11,,0.003030303038368353,low
49,11,Bin_1,1,11,4,1,1,1,2,1,2,Bin_5,11,4,Bin_4,1,1,1,Bin_1,9.0,Bin_3,7.0,2.0,,,,,,298.0423127,11,,,,0,0.16666666666666666,2.016330692930072e-11,,,low
50,11,Bin_1,1,11,4,1,1,1,3,1,5,Bin_5,11,6,Bin_5,1,1,1,Bin_3,9.0,Bin_2,9.0,2.0,,,,,,298.0423127,11,,,,0,0.16666666666666666,1.346655734143283e-11,,,low
51,11,Bin_1,1,11,4,1,1,1,4,1,3,Bin_1,11,9,Bin_3,1,1,1,Bin_1,9.0,Bin_4,1.0,1.0,4110.0,Bin_5,1.0,,,298.0423127,11,5.0,0.2,5.0,0,0.0,4.267687696109667e-11,,0.12000000001707074,low
52,11,Bin_1,1,11,4,1,1,1,5,1,5,Bin_5,11,8,Bin_2,1,1,1,Bin_1,9.0,Bin_4,7.0,2.0,,,,,,298.0423127,11,,,,0,0.16666666666666666,2.016330692930072e-11,,,low
53,11,Bin_1,1,11,4,1,1,1,6,1,5,Bin_5,11,8,Bin_1,1,1,1,Bin_1,2.0,Bin_3,8.0,2.0,,,,,,298.0423127,11,,,,0,0.16666666666666666,2.016330692930072e-11,,,low
54,11,Bin_1,1,11,4,1,1,1,7,1,5,Bin_1,11,11,Bin_1,1,1,1,Bin_1,2.0,Bin_1,,,,,,,,298.0423127,11,,,,0,0.16666666666666666,2.016330692930072e-11,,,low
55,11,Bin_1,1,11,5,1,1,1,1,1,1,Bin_1,11,6,Bin_3,1,1,1,Bin_1,9.0,Bin_4,4.0,2.0,,,,,,298.0423127,11,,,,0,0.16666666666666666,2.055079555980053e-11,,,low
56,11,Bin_1,1,11,5,1,1,1,2,1,2,Bin_5,11,6,Bin_3,1,1,1,Bin_1,9.0,Bin_3,7.0,2.0,,,,,,298.0423127,11,,,,0,0.16666666666666666,2.016330692930072e-11,,,low
57,11,Bin_1,1,11,5,1,1,1,3,1,3,Bin_5,11,8,Bin_2,1,1,1,Bin_1,9.0,Bin_4,1.0,1.0,3349.0,Bin_3,3.0,,,298.0423127,11,8.0,0.125,8.0,0,0.0,1.821438878796227e-11,,0.07500000000728575,low
58,11,Bin_1,1,11,5,1,1,1,4,1,3,Bin_1,11,7,Bin_2,1,1,1,Bin_1,2.0,Bin_4,8.0,2.0,,,,,,298.0423127,11,,,,0,0.16666666666666666,1.9880093564148657e-11,,,low
59,11,Bin_1,1,11,6,1,1,1,1,1,1,Bin_5,11,6,Bin_5,1,1,1,Bin_1,9.0,Bin_3,9.0,2.0,,,,,,298.0423127,11,,,,0,0.16666666666666666,4.0379950832530846e-11,,,low
60,11,Bin_1,1,11,6,1,1,1,2,1,2,Bin_1,11,3,Bin_5,1,1,1,Bin_1,9.0,Bin_2,9.0,2.0,,,,,,298.0423127,11,,,,0,0.16666666666666666,6.378704595969195e-11,,,low
61,11,*,1,11,6,1,1,1,3,1,3,*,11,4,*,1,1,1,*,9.0,*,1.0,1.0,8152.0,*,3.0,,,298.0423127,11,198.0,0.005050505050505051,198.0,0,0.0,2.016330692930072e-11,,0.003030303038368353,low
62,11,Bin_1,1,11,9,1,1,1,1,1,1,Bin_1,11,7,Bin_3,1,1,4,Bin_1,9.0,Bin_4,1.0,1.0,7116.0,Bin_3,3.0,,,298.0423127,11,13.0,0.07692307692307693,13.0,0,0.0,0.4210526315906208,,0.21457489879009448,low
63,11,*,1,11,9,1,1,1,2,1,2,*,11,5,*,1,1,4,*,9.0,*,1.0,1.0,9112.0,*,1.0,,,298.0423127,11,198.0,0.005050505050505051,198.0,0,0.0,2.016330692930072e-11,,0.003030303038368353,low
64,11,*,1,11,9,1,1,1,3,1,3,*,11,3,*,1,1,4,*,9.0,*,1.0,1.0,2342.0,*,3.0,,,298.0423127,11,198.0,0.005050505050505051,198.0,0,0.0,2.016330692930072e-11,,0.003030303038368353,low
65,11,Bin_1,1,11,1,1,1,1,1,1,1,Bin_1,11,11,Bin_3,1,1,1,Bin_1,9.0,Bin_3,1.0,1.0,3115.0,Bin_2,3.0,,,271.9852019,11,5.0,0.2,5.0,0,0.0,0.5677250650389711,,0.34709002601558847,low
66,11,Bin_1,1,11,1,1,1,1,2,1,2,Bin_5,11,12,Bin_3,1,1,1,Bin_1,9.0,Bin_3,1.0,1.0,5221.0,Bin_3,5.0,,,271.9852019,11,6.0,0.16666666666666666,6.0,0,0.0,8.283908055514776e-11,,0.10000000003313562,low
67,11,Bin_1,1,11,1,1,1,1,3,1,3,Bin_1,11,5,Bin_1,1,1,1,Bin_1,2.0,Bin_1,,,,,,,,271.9852019,11,,,,0,0.16666666666666666,2.016330692930072e-11,,,low
68,11,Bin_1,1,11,1,1,1,1,4,1,3,Bin_1,11,10,Bin_1,1,1,1,Bin_1,2.0,Bin_1,,,,,,,,271.9852019,11,,,,0,0.16666666666666666,2.016330692930072e-11,,,low
69,11,Bin_1,1,11,1,1,1,1,5,1,4,Bin_5,11,6,Bin_5,1,1,1,Bin_3,9.0,Bin_2,9.0,2.0,,,,,,271.9852019,11,,,,0,0.16666666666666666,1.346655734143283e-11,,,low
70,11,*,1,11,1,1,1,1,6,1,7,*,11,5,*,1,1,1,*,9.0,*,1.0,1.0,3111.0,*,1.0,,,271.9852019,11,198.0,0.005050505050505051,198.0,0,0.0,2.016330692930072e-11,,0.003030303038368353,low
71,11,Bin_1,1,11,1,1,1,1,7,1,7,Bin_5,11,4,Bin_2,1,1,1,Bin_1,9.0,Bin_4,1.0,1.0,4110.0,Bin_3,1.0,,,271.9852019,11,8.0,0.125,8.0,0,0.0,1.821438878796227e-11,,0.07500000000728575,low
72,11,*,1,11,2,1,1,1,1,1,1,*,11,8,*,1,1,1,*,9.0,*,1.0,1.0,4321.0,*,3.0,,,271.9852019,11,198.0,0.005050505050505051,198.0,0,0.0,2.016330692930072e-11,,0.003030303038368353,low
73,11,Bin_1,1,11,2,1,1,1,2,1,2,Bin_5,11,5,Bin_2,1,1,1,Bin_1,9.0,Bin_4,1.0,1.0,4311.0,Bin_1,3.0,,,271.9852019,11,7.0,0.14285714285714285,7.0,0,0.0,8.83950632253061e-11,,0.08571428574964372,low
74,11,Bin_1,1,11,2,1,1,1,3,1,3,Bin_1,11,3,Bin_1,1,1,1,Bin_1,2.0,Bin_1,,,,,,,,271.9852019,11,,,,0,0.16666666666666666,2.016330692930072e-11,,,low
75,11,Bin_1,1,11,3,1,1,1,1,1,1,Bin_1,11,1,Bin_3,1,1,1,Bin_1,9.0,Bin_4,1.0,1.0,7421.0,Bin_5,5.0,,,271.9852019,11,5.0,0.2,5.0,0,0.0,4.267687696109667e-11,,0.12000000001707074,low
76,11,*,1,11,3,1,1,1,2,1,2,*,11,8,*,1,1,1,*,9.0,*,1.0,1.0,9112.0,*,6.0,,,271.9852019,11,198.0,0.005050505050505051,198.0,0,0.0,2.016330692930072e-11,,0.003030303038368353,low
77,11,*,1,11,3,1,1,1,3,1,3,*,11,11,*,1,1,1,*,4.0,*,1.0,1.0,3511.0,*,1.0,,,271.9852019,11,198.0,0.005050505050505051,198.0,0,0.0,2.016330692930072e-11,,0.003030303038368353,low
78,11,Bin_1,1,11,3,1,1,1,4,1,3,Bin_5,11,1,Bin_1,1,1,1,Bin_1,6.0,Bin_3,8.0,2.0,,,,,,271.9852019,11,,,,0,0.16666666666666666,2.016330692930072e-11,,,low
79,11,Bin_1,1,11,3,1,1,1,5,1,3,Bin_5,11,3,Bin_1,1,1,1,Bin_1,2.0,Bin_2,,,,,,,,271.9852019,11,,,,0,0.16666666666666666,2.016330692930072e-11,,,low
80,11,Bin_1,1,11,3,1,1,1,6,1,4,Bin_5,11,9,Bin_4,1,1,1,Bin_3,9.0,Bin_4,9.0,2.0,,,,,,271.9852019,11,,,,0,0.16666666666666666,2.6581610135721157e-11,,,low
