pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,age_diff,age_equal,birth_year_diff,birth_year_equal,education_match,marital_status_match,sex_match,religion_match,ethnicity_match,overall_similarity
93,0,,,5.0,7.0,0.9982477853627411,4.0,0,3.0,0,0,1,1,0,1,0.42857142857142855
157,0,,,7.0710678118654755,10.0,0.8729434821372646,5.0,0,5.0,0,0,1,1,1,1,0.5714285714285714
115,0,,,82.00609733428362,101.0,0.9980447252507959,22.0,0,79.0,0,1,1,1,1,1,0.7142857142857143
88,0,,,1.4142135623730951,2.0,0.99989797479951,1.0,0,1.0,0,0,1,1,0,1,0.42857142857142855
150,0,,,1.0,1.0,0.9999274284261899,0.0,1,1.0,0,1,1,1,0,0,0.5714285714285714
89,0,,,98.02040603874276,100.0,0.2095290887308734,2.0,0,98.0,0,0,1,1,1,1,0.5714285714285714
56,1,42.0,28.0,24.758836806279895,35.0,0.05872202195147036,17.0,0,18.0,0,1,1,1,1,1,0.7142857142857143
111,0,,,7.0710678118654755,10.0,0.8729434821372646,5.0,0,5.0,0,0,1,1,1,1,0.5714285714285714
97,0,,,5.656854249492381,8.0,0.997768367803323,4.0,0,4.0,0,1,1,0,0,1,0.42857142857142855
148,0,,,4.242640687119285,6.0,0.9987984612701075,3.0,0,3.0,0,0,1,1,0,1,0.42857142857142855
112,0,,,98.02040603874276,100.0,0.2095290887308734,2.0,0,98.0,0,0,1,1,1,1,0.5714285714285714
147,0,,,45.967379738244816,65.0,0.8891697339498824,33.0,0,32.0,0,0,1,1,1,1,0.5714285714285714
48,1,14.0,14.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0
133,0,,,32.526911934581186,46.0,0.9408746819358994,23.0,0,23.0,0,0,1,1,1,1,0.5714285714285714
152,0,,,32.526911934581186,46.0,0.9408746819358994,23.0,0,23.0,0,0,1,1,1,1,0.5714285714285714
54,1,25.0,25.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0
30,1,31.0,60.0,20.12461179749811,27.0,0.9985635418024349,18.0,0,9.0,0,1,1,1,1,1,0.7142857142857143
155,0,,,3.605551275463989,5.0,0.9993270713082066,3.0,0,2.0,0,0,1,0,1,1,0.42857142857142855
76,1,68.0,68.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0
52,1,23.0,22.0,7.0710678118654755,10.0,0.8729434821372646,5.0,0,5.0,0,0,1,1,1,1,0.5714285714285714
2,1,3.0,3.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0
17,1,60.0,31.0,13.45362404707371,19.0,0.9872138755420966,10.0,0,9.0,0,1,1,1,1,1,0.7142857142857143
35,1,69.0,69.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0
60,1,36.0,36.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0
61,1,37.0,37.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0
86,0,,,2.8284271247461903,4.0,0.999530366872928,2.0,0,2.0,0,0,1,1,1,0,0.42857142857142855
72,1,58.0,58.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0
83,0,,,5.656854249492381,8.0,0.9429903335828895,4.0,0,4.0,0,0,1,1,1,1,0.5714285714285714
145,0,,,3.605551275463989,5.0,0.9991305155208083,3.0,0,2.0,0,0,1,1,0,1,0.42857142857142855
