pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,sector_diff,sector_equal,r2_school_education_match,type_of_school_match,distance_match,overall_similarity,distance_diff,distance_equal
11,1,6.0,6.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
77,0,,,7.0,7.0,0.9383431168171101,0.0,1,1,1,0.0,0.75,7.0,0.0
52,1,52.0,52.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
66,0,,,11.0,11.0,0.9841270174450972,0.0,1,1,1,0.0,0.75,11.0,0.0
32,1,29.0,29.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
44,1,42.0,42.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
0,1,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1.0,1.0,0.0,0.0
59,1,47.0,47.0,0.0,0.0,1.0,0.0,1,1,1,1.0,1.0,0.0,0.0
116,0,,,2.0,2.0,0.8944271909999159,0.0,1,1,1,0.0,0.75,2.0,0.0
4,1,31.0,31.0,0.0,0.0,1.0,0.0,1,1,1,1.0,1.0,0.0,0.0
101,0,,,1.0,1.0,0.9486832980505138,0.0,1,1,1,0.0,0.75,1.0,0.0
38,1,36.0,36.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
22,1,18.0,18.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
86,0,,,2.0,2.0,0.8682431421244593,0.0,1,1,1,0.0,0.75,2.0,0.0
10,1,4.0,4.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
14,1,9.0,9.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
27,1,23.0,23.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
2,1,15.0,15.0,0.0,0.0,1.0,0.0,1,1,1,1.0,1.0,0.0,0.0
33,1,30.0,30.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
103,0,,,1.0,1.0,0.9899494936611665,0.0,1,1,1,0.0,0.75,1.0,0.0
68,0,,,1.0,1.0,0.9486832980505138,1.0,0,1,1,0.0,0.75,0.0,1.0
20,1,16.0,16.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
5,1,45.0,45.0,0.0,0.0,1.0,0.0,1,1,1,1.0,1.0,0.0,0.0
31,1,28.0,28.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
56,1,56.0,56.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
118,0,,,3.0,3.0,0.9946917938265513,0.0,1,1,1,0.0,0.75,3.0,0.0
25,1,21.0,21.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
117,0,,,1.0,1.0,1.0,1.0,0,0,1,1.0,0.5,0.0,0.0
100,0,,,13.0,13.0,0.922194381828531,0.0,1,1,1,0.0,0.75,13.0,0.0
89,0,,,1.0,1.0,0.9486832980505138,0.0,1,1,1,0.0,0.75,1.0,0.0
36,1,34.0,34.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
99,0,,,1.0,1.0,0.9486832980505138,1.0,0,1,1,0.0,0.75,0.0,1.0
42,1,40.0,40.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
40,1,38.0,38.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
108,0,,,17.0,17.0,0.8831157194574106,0.0,1,1,1,0.0,0.75,17.0,0.0
26,1,22.0,22.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
12,1,7.0,7.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
30,1,27.0,27.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
23,1,19.0,19.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
15,1,10.0,10.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
9,1,3.0,3.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
97,0,,,5.0,5.0,0.19611613513818404,0.0,1,1,1,0.0,0.75,5.0,0.0
85,0,,,1.0,1.0,0.9486832980505138,0.0,1,1,1,0.0,0.75,1.0,0.0
45,1,43.0,43.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
106,0,,,2.0,2.0,0.8944271909999159,0.0,1,1,1,0.0,0.75,2.0,0.0
90,0,,,1.0,1.0,1.0,1.0,0,0,1,1.0,0.5,0.0,0.0
64,0,,,1.0,1.0,0.9899494936611665,0.0,1,1,1,0.0,0.75,1.0,0.0
18,1,13.0,13.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
57,1,57.0,57.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
55,1,55.0,55.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
29,1,26.0,26.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
114,0,,,2.0,2.0,0.44721359549995787,0.0,1,1,1,0.0,0.75,2.0,0.0
107,0,,,1.0,1.0,1.0,1.0,0,0,1,1.0,0.5,0.0,0.0
17,1,12.0,12.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
65,0,,,1.0,1.0,1.0,1.0,0,0,1,1.0,0.5,0.0,0.0
41,1,39.0,39.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
79,0,,,1.0,1.0,1.0,1.0,0,0,1,1.0,0.5,0.0,0.0
8,1,2.0,2.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
53,1,53.0,53.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
51,1,51.0,51.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
76,0,,,1.0,1.0,0.7071067811865475,0.0,1,1,1,0.0,0.75,1.0,0.0
91,0,,,8.0,8.0,0.7808688094430304,0.0,1,1,1,0.0,0.75,8.0,0.0
92,0,,,12.0,12.0,0.9833821803872266,0.0,1,1,1,0.0,0.75,12.0,0.0
69,0,,,3.0,3.0,0.8574929257125441,0.0,1,1,1,0.0,0.75,3.0,0.0
81,0,,,2.0,2.0,0.9761870601839528,0.0,1,1,1,0.0,0.75,2.0,0.0
28,1,25.0,25.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
54,1,54.0,54.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
105,0,,,5.0,5.0,0.9909924304103233,0.0,1,1,1,0.0,0.75,5.0,0.0
48,1,48.0,48.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
50,1,50.0,50.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
47,1,46.0,46.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
61,0,,,1.0,1.0,0.9832820049844601,1.0,0,1,1,0.0,0.75,0.0,1.0
112,0,,,2.0,2.0,0.9761870601839528,0.0,1,1,1,0.0,0.75,2.0,0.0
72,0,,,1.0,1.0,1.0,1.0,0,0,1,1.0,0.5,0.0,0.0
75,0,,,4.0,4.0,0.7474093186836597,0.0,1,1,1,0.0,0.75,4.0,0.0
63,0,,,6.0,6.0,0.9778024140774094,0.0,1,1,1,0.0,0.75,6.0,0.0
73,0,,,0.0,0.0,1.0,0.0,1,0,1,1.0,0.75,0.0,0.0
60,0,,,3.0,3.0,0.8574929257125441,0.0,1,1,1,0.0,0.75,3.0,0.0
96,0,,,1.0,1.0,1.0,1.0,0,0,1,1.0,0.5,0.0,0.0
58,1,58.0,58.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
95,0,,,3.0,3.0,0.9877629653290692,0.0,1,1,1,0.0,0.75,3.0,0.0
19,1,14.0,14.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
71,0,,,7.0,7.0,0.9383431168171101,0.0,1,1,1,0.0,0.75,7.0,0.0
62,0,,,1.0,1.0,1.0,1.0,0,1,1,1.0,0.75,0.0,0.0
113,0,,,11.0,11.0,0.9841270174450972,0.0,1,1,1,0.0,0.75,11.0,0.0
21,1,17.0,17.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
94,0,,,3.0,3.0,0.9647638212377322,0.0,1,1,1,0.0,0.75,3.0,0.0
83,0,,,3.0,3.0,0.9647638212377322,0.0,1,1,1,0.0,0.75,3.0,0.0
84,0,,,2.0,2.0,0.9785497849867489,0.0,1,1,1,0.0,0.75,2.0,0.0
115,0,,,11.0,11.0,0.9260923597695477,0.0,1,1,1,0.0,0.75,11.0,0.0
110,0,,,3.0,3.0,0.8574929257125441,0.0,1,1,1,0.0,0.75,3.0,0.0
37,1,35.0,35.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0
