pair_index,label,orig_id,anon_id,age_match,education_match,industry_match,marital_status_match,sex_match,overall_similarity,euclidean_distance,manhattan_distance,cosine_similarity,industry_diff,industry_equal,education_diff,education_equal
478,1,478.0,478.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488,1,488.0,488.0,0,0.0,0.0,0,0,0.0,86202.0,86202.0,0.0,0.0,0.0,0.0,0.0
1499,0,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1605,0,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
511,1,511.0,511.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1424,0,,,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
495,1,495.0,495.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1961,0,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1135,0,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1,19.0,19.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,1,293.0,293.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1304,0,,,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1053,0,,,0,0.0,0.0,0,0,0.0,1414.0509184608593,1426.0,0.0,0.0,0.0,0.0,0.0
588,1,588.0,588.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1258,0,,,0,0.0,0.0,0,0,0.0,49232.0,49232.0,0.0,0.0,0.0,0.0,0.0
137,1,137.0,137.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
978,1,978.0,978.0,0,0.0,0.0,0,0,0.0,97004.0,97004.0,0.0,0.0,0.0,0.0,0.0
772,1,772.0,772.0,0,0.0,0.0,0,0,0.0,10711.005648397353,10722.0,0.0,0.0,0.0,0.0,0.0
1178,0,,,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1468,0,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1194,0,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
789,1,789.0,789.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,1,82.0,82.0,0,0.0,0.0,0,0,0.0,47113.0,47113.0,0.0,0.0,0.0,0.0,0.0
238,1,238.0,238.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1245,0,,,0,0.0,0.0,0,0,0.0,84230.0010032055,84243.0,0.0,0.0,0.0,0.0,0.0
1842,0,,,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
89,1,89.0,89.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
223,1,223.0,223.0,0,0.0,0.0,0,0,0.0,97006.0,97006.0,0.0,0.0,0.0,0.0,0.0
1591,0,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1920,0,,,0,0.0,0.0,0,0,0.0,14101.0,14101.0,0.0,0.0,0.0,0.0,0.0
1218,0,,,0,0.0,0.0,0,0,0.0,1411.0428767404626,1422.0,0.0,0.0,0.0,0.0,0.0
1148,0,,,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1859,0,,,0,0.0,0.0,0,0,0.0,85101.0,85101.0,0.0,0.0,0.0,0.0,0.0
397,1,397.0,397.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1752,0,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1107,0,,,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
92,1,92.0,92.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,1,231.0,231.0,0,0.0,0.0,0,0,0.0,41003.0,41003.0,0.0,0.0,0.0,0.0,0.0
639,1,639.0,639.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1210,0,,,0,0.0,0.0,0,0,0.0,47711.0,47711.0,0.0,0.0,0.0,0.0,0.0
484,1,484.0,484.0,0,0.0,0.0,0,0,0.0,1494.0,1494.0,0.0,0.0,0.0,0.0,0.0
1000,0,,,0,0.0,0.0,0,0,0.0,41001.0,41001.0,0.0,0.0,0.0,0.0,0.0
1740,0,,,0,0.0,0.0,0,0,0.0,46496.0,46496.0,0.0,0.0,0.0,0.0,0.0
1845,0,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1506,0,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1796,0,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1115,0,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1872,0,,,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1905,0,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
933,1,933.0,933.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520,1,520.0,520.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
942,1,942.0,942.0,0,0.0,0.0,0,0,0.0,85101.0,85101.0,0.0,0.0,0.0,0.0,0.0
617,1,617.0,617.0,0,0.0,0.0,0,0,0.0,49232.0,49232.0,0.0,0.0,0.0,0.0,0.0
1332,0,,,0,0.0,0.0,0,0,0.0,84130.0,84130.0,0.0,0.0,0.0,0.0,0.0
1335,0,,,0,0.0,0.0,0,0,0.0,85101.0,85101.0,0.0,0.0,0.0,0.0,0.0
1321,0,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
676,1,676.0,676.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1116,0,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1151,0,,,0,0.0,0.0,0,0,0.0,47113.0,47113.0,0.0,0.0,0.0,0.0,0.0
1691,0,,,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
336,1,336.0,336.0,0,0.0,0.0,0,0,0.0,55101.0,55101.0,0.0,0.0,0.0,0.0,0.0
681,1,681.0,681.0,0,0.0,0.0,0,0,0.0,49212.0,49212.0,0.0,0.0,0.0,0.0,0.0
316,1,316.0,316.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
599,1,599.0,599.0,0,0.0,0.0,0,0,0.0,86202.0,86202.0,0.0,0.0,0.0,0.0,0.0
212,1,212.0,212.0,0,0.0,0.0,0,0,0.0,64191.0,64191.0,0.0,0.0,0.0,0.0,0.0
1648,0,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1326,0,,,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1279,0,,,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
264,1,264.0,264.0,0,0.0,0.0,0,0,0.0,84130.00100439796,84143.0,0.0,0.0,0.0,0.0,0.0
500,1,500.0,500.0,0,0.0,0.0,0,0,0.0,49232.0,49232.0,0.0,0.0,0.0,0.0,0.0
480,1,480.0,480.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1494,0,,,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
17,1,17.0,17.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1141,0,,,0,0.0,0.0,0,0,0.0,84230.0,84230.0,0.0,0.0,0.0,0.0,0.0
567,1,567.0,567.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1220,0,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1448,0,,,0,0.0,0.0,0,0,0.0,49232.00171636331,49245.0,0.0,0.0,0.0,0.0,0.0
1307,0,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,1,179.0,179.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1703,0,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1473,0,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
508,1,508.0,508.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457,1,457.0,457.0,0,0.0,0.0,0,0,0.0,97006.00000515432,97007.0,0.0,0.0,0.0,0.0,0.0
1374,0,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
689,1,689.0,689.0,0,0.0,0.0,0,0,0.0,46496.0,46496.0,0.0,0.0,0.0,0.0,0.0
1677,0,,,0,0.0,0.0,0,0,0.0,7.0710678118654755,8.0,0.0,0.0,0.0,0.0,0.0
577,1,577.0,577.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
