pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,sector_diff,sector_equal,type_of_school_match,r2_school_education_match,overall_similarity
154,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
75,1,71.0,71.0,0.0,0.0,1.0,0.0,1,1,1,1.0
178,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
0,1,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1.0
58,1,52.0,52.0,0.0,0.0,1.0,0.0,1,1,1,1.0
85,1,86.0,86.0,0.0,0.0,1.0,0.0,1,1,1,1.0
116,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
143,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
173,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
157,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
175,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
127,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
1,1,5.0,5.0,0.0,0.0,1.0,0.0,1,1,1,1.0
31,1,21.0,21.0,0.0,0.0,1.0,0.0,1,1,1,1.0
63,1,57.0,57.0,0.0,0.0,1.0,0.0,1,1,1,1.0
107,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
113,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
194,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
108,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
24,1,13.0,13.0,0.0,0.0,1.0,0.0,1,1,1,1.0
190,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
164,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
93,1,95.0,95.0,0.0,0.0,1.0,0.0,1,1,1,1.0
59,1,53.0,53.0,0.0,0.0,1.0,0.0,1,1,1,1.0
91,1,93.0,93.0,0.0,0.0,1.0,0.0,1,1,1,1.0
115,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
179,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
100,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
55,1,49.0,49.0,0.0,0.0,1.0,0.0,1,1,1,1.0
66,1,61.0,61.0,0.0,0.0,1.0,0.0,1,1,1,1.0
18,1,7.0,7.0,0.0,0.0,1.0,0.0,1,1,1,1.0
13,1,1.0,1.0,0.0,0.0,1.0,0.0,1,1,1,1.0
69,1,64.0,64.0,0.0,0.0,1.0,0.0,1,1,1,1.0
126,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
76,1,72.0,72.0,0.0,0.0,1.0,0.0,1,1,1,1.0
199,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
106,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
26,1,16.0,16.0,0.0,0.0,1.0,0.0,1,1,1,1.0
111,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
119,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
53,1,46.0,46.0,0.0,0.0,1.0,0.0,1,1,1,1.0
57,1,51.0,51.0,0.0,0.0,1.0,0.0,1,1,1,1.0
20,1,9.0,9.0,0.0,0.0,1.0,0.0,1,1,1,1.0
12,1,89.0,89.0,0.0,0.0,1.0,0.0,1,1,1,1.0
139,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
109,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
99,1,76.0,76.0,0.0,0.0,1.0,0.0,1,1,1,1.0
49,1,41.0,41.0,0.0,0.0,1.0,0.0,1,1,1,1.0
195,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
60,1,54.0,54.0,0.0,0.0,1.0,0.0,1,1,1,1.0
162,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
46,1,38.0,38.0,0.0,0.0,1.0,0.0,1,1,1,1.0
145,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
89,1,91.0,91.0,0.0,0.0,1.0,0.0,1,1,1,1.0
158,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
144,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
10,1,80.0,80.0,0.0,0.0,1.0,0.0,1,1,1,1.0
181,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
196,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
148,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
44,1,36.0,36.0,0.0,0.0,1.0,0.0,1,1,1,1.0
79,1,77.0,77.0,0.0,0.0,1.0,0.0,1,1,1,1.0
128,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
150,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
140,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
132,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
77,1,74.0,74.0,0.0,0.0,1.0,0.0,1,1,1,1.0
124,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
62,1,56.0,56.0,0.0,0.0,1.0,0.0,1,1,1,1.0
172,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
188,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
136,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
25,1,14.0,14.0,0.0,0.0,1.0,0.0,1,1,1,1.0
65,1,60.0,60.0,0.0,0.0,1.0,0.0,1,1,1,1.0
176,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
146,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
92,1,94.0,94.0,0.0,0.0,1.0,0.0,1,1,1,1.0
180,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
9,1,79.0,79.0,0.0,0.0,1.0,0.0,1,1,1,1.0
74,1,70.0,70.0,0.0,0.0,1.0,0.0,1,1,1,1.0
155,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
133,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
15,1,3.0,3.0,0.0,0.0,1.0,0.0,1,1,1,1.0
94,1,96.0,96.0,0.0,0.0,1.0,0.0,1,1,1,1.0
83,1,83.0,83.0,0.0,0.0,1.0,0.0,1,1,1,1.0
149,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
156,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
82,1,82.0,82.0,0.0,0.0,1.0,0.0,1,1,1,1.0
193,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
21,1,10.0,10.0,0.0,0.0,1.0,0.0,1,1,1,1.0
167,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
68,1,63.0,63.0,0.0,0.0,1.0,0.0,1,1,1,1.0
177,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
70,1,66.0,66.0,0.0,0.0,1.0,0.0,1,1,1,1.0
169,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
56,1,50.0,50.0,0.0,0.0,1.0,0.0,1,1,1,1.0
54,1,48.0,48.0,0.0,0.0,1.0,0.0,1,1,1,1.0
8,1,73.0,73.0,0.0,0.0,1.0,0.0,1,1,1,1.0
105,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
141,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
198,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
45,1,37.0,37.0,0.0,0.0,1.0,0.0,1,1,1,1.0
185,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
138,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
14,1,2.0,2.0,0.0,0.0,1.0,0.0,1,1,1,1.0
131,0,,,0.0,0.0,1.0,0.0,1,1,0,0.6666666666666666
