pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,age_diff,age_equal,education_match,marital_status_match,sex_match,overall_similarity
90,0,,,10.0,10.0,1.0,10.0,0,0,1,1,0.5
93,0,,,8.0,8.0,1.0,8.0,0,0,1,1,0.5
31,1,62.0,61.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
128,0,,,12.0,12.0,1.0,12.0,0,0,1,1,0.5
116,0,,,5.0,5.0,1.0,5.0,0,0,1,1,0.5
120,0,,,10.0,10.0,1.0,10.0,0,1,0,1,0.5
77,1,67.0,66.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
60,1,33.0,32.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
151,0,,,14.0,14.0,1.0,14.0,0,0,1,1,0.5
166,0,,,3.0,3.0,1.0,3.0,0,0,1,1,0.5
115,0,,,13.0,13.0,1.0,13.0,0,0,1,1,0.5
123,0,,,4.0,4.0,1.0,4.0,0,1,0,1,0.5
140,0,,,12.0,12.0,1.0,12.0,0,0,1,1,0.5
96,0,,,20.0,20.0,1.0,20.0,0,0,1,1,0.5
69,1,51.0,50.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
56,1,26.0,25.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
146,0,,,4.0,4.0,1.0,4.0,0,0,1,1,0.5
21,1,41.0,40.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
150,0,,,10.0,10.0,1.0,10.0,0,0,1,1,0.5
133,0,,,5.0,5.0,1.0,5.0,0,1,0,1,0.5
111,0,,,10.0,10.0,1.0,10.0,0,0,1,1,0.5
157,0,,,8.0,8.0,1.0,8.0,0,0,1,1,0.5
162,0,,,5.0,5.0,1.0,5.0,0,0,1,1,0.5
55,1,24.0,23.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
25,1,48.0,47.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
78,1,68.0,67.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
102,0,,,13.0,13.0,1.0,13.0,0,0,1,1,0.5
17,1,32.0,31.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
167,0,,,12.0,12.0,1.0,12.0,0,0,1,1,0.5
107,0,,,4.0,4.0,1.0,4.0,0,1,0,1,0.5
103,0,,,10.0,10.0,1.0,10.0,0,0,1,1,0.5
36,1,71.0,70.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
160,0,,,7.0,7.0,1.0,7.0,0,0,1,1,0.5
11,1,17.0,16.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
5,1,7.0,7.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
82,1,79.0,78.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
72,1,56.0,55.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
20,1,39.0,38.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
81,1,84.0,76.0,0.0,0.0,1.0,0.0,1,0,1,1,0.75
30,1,61.0,60.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
18,1,34.0,33.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
138,0,,,8.0,8.0,1.0,8.0,0,0,1,1,0.5
89,0,,,3.0,3.0,1.0,3.0,0,0,1,1,0.5
73,1,58.0,57.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
141,0,,,10.0,10.0,1.0,10.0,0,0,1,1,0.5
97,0,,,3.0,3.0,1.0,3.0,0,1,1,0,0.5
54,1,23.0,22.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
24,1,46.0,45.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
142,0,,,2.0,2.0,1.0,2.0,0,1,1,1,0.75
29,1,57.0,56.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
91,0,,,7.0,7.0,1.0,7.0,0,0,1,1,0.5
152,0,,,3.0,3.0,1.0,3.0,0,1,0,1,0.5
149,0,,,10.0,10.0,1.0,10.0,0,0,1,1,0.5
35,1,70.0,69.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
95,0,,,6.0,6.0,1.0,6.0,0,1,0,1,0.5
92,0,,,7.0,7.0,1.0,7.0,0,0,1,1,0.5
98,0,,,10.0,10.0,1.0,10.0,0,0,1,1,0.5
119,0,,,3.0,3.0,1.0,3.0,0,0,1,1,0.5
129,0,,,10.0,10.0,1.0,10.0,0,1,0,1,0.5
124,0,,,3.0,3.0,1.0,3.0,0,0,1,1,0.5
121,0,,,10.0,10.0,1.0,10.0,0,0,1,1,0.5
94,0,,,3.0,3.0,1.0,3.0,0,0,1,1,0.5
112,0,,,10.0,10.0,1.0,10.0,0,0,1,1,0.5
130,0,,,20.0,20.0,1.0,20.0,0,0,1,1,0.5
15,1,27.0,26.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
42,1,80.0,79.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
57,1,28.0,27.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
110,0,,,4.0,4.0,1.0,4.0,0,0,1,1,0.5
101,0,,,3.0,3.0,1.0,3.0,0,1,1,0,0.5
76,1,63.0,62.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
53,1,22.0,21.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
16,1,31.0,30.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
117,0,,,3.0,3.0,1.0,3.0,0,0,1,1,0.5
3,1,4.0,4.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
154,0,,,8.0,8.0,1.0,8.0,0,0,1,1,0.5
58,1,29.0,28.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0
134,0,,,7.0,7.0,1.0,7.0,0,0,1,1,0.5
13,1,21.0,20.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
79,1,69.0,68.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
61,1,36.0,35.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
67,1,47.0,46.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
139,0,,,2.0,2.0,1.0,2.0,0,0,1,1,0.5
125,0,,,12.0,12.0,1.0,12.0,0,0,1,1,0.5
48,1,8.0,8.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
19,1,35.0,34.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
113,0,,,10.0,10.0,1.0,10.0,0,1,1,0,0.5
104,0,,,13.0,13.0,1.0,13.0,0,0,1,1,0.5
118,0,,,8.0,8.0,1.0,8.0,0,0,1,1,0.5
68,1,49.0,48.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
80,1,73.0,72.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
168,0,,,10.0,10.0,1.0,10.0,0,0,1,1,0.5
165,0,,,11.0,11.0,1.0,11.0,0,0,1,1,0.5
49,1,13.0,12.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
45,1,10.0,88.0,10.0,10.0,1.0,10.0,0,0,1,1,0.5
22,1,44.0,43.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
66,1,43.0,42.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
88,0,,,3.0,3.0,1.0,3.0,0,0,1,1,0.5
135,0,,,12.0,12.0,1.0,12.0,0,0,1,1,0.5
