pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,education_diff,education_equal,marital_status_diff,marital_status_equal,sex_diff,sex_equal,age_match,overall_similarity,education_match
0,1,0.0,0.0,4.242640687119285,6.0,0.9862393362677775,4.0,0.0,1.0,0,1.0,0,0,0.0,0.0
1,1,1.0,1.0,2.23606797749979,3.0,0.9932659166648444,2.0,0.0,0.0,1,1.0,0,0,0.25,0.0
2,1,2.0,2.0,7.0710678118654755,8.0,0.9860540575353747,7.0,0.0,1.0,0,0.0,1,0,0.25,0.0
3,1,3.0,3.0,7.0,7.0,0.9826786937727111,7.0,0.0,0.0,1,0.0,1,0,0.5,0.0
4,1,4.0,4.0,1.0,1.0,0.9486832980505138,0.0,0.0,1.0,0,0.0,1,0,0.25,0.0
5,1,5.0,5.0,2.449489742783178,4.0,0.9767725810110087,1.0,0.0,2.0,0,1.0,0,0,0.0,0.0
6,1,6.0,6.0,5.196152422706632,7.0,0.9621404708847278,5.0,0.0,1.0,0,1.0,0,0,0.0,0.0
7,1,7.0,7.0,1.0,1.0,0.9954039000135861,0.0,1.0,1.0,0,0.0,1,0,0.5,0.0
8,1,8.0,8.0,11.0,11.0,-0.06415002990995844,11.0,0.0,0.0,1,0.0,1,0,0.5,0.0
9,1,9.0,9.0,5.0990195135927845,6.0,0.982769823601312,5.0,0.0,1.0,0,0.0,1,0,0.25,0.0
10,1,10.0,10.0,4.242640687119285,6.0,0.9808267725563583,4.0,0.0,1.0,0,1.0,0,0,0.0,0.0
11,1,11.0,11.0,1.0,1.0,0.9960562316045518,0.0,1.0,1.0,0,0.0,1,0,0.5,0.0
12,1,12.0,12.0,4.123105625617661,5.0,0.9959873727522465,4.0,0.0,0.0,1,1.0,0,0,0.25,0.0
13,1,13.0,13.0,4.123105625617661,5.0,0.9944577973205988,4.0,0.0,0.0,1,1.0,0,0,0.25,0.0
14,1,14.0,14.0,6.324555320336759,8.0,0.9689627902499088,6.0,0.0,2.0,0,0.0,1,0,0.25,0.0
15,1,15.0,15.0,1.4142135623730951,2.0,0.9908807141567177,0.0,1.0,1.0,0,1.0,0,0,0.25,0.0
16,1,16.0,16.0,1.0,1.0,0.9971391490106831,0.0,1.0,0.0,1,1.0,0,0,0.5,0.0
17,1,17.0,17.0,3.1622776601683795,4.0,0.9697902230190246,1.0,0.0,3.0,0,0.0,1,0,0.25,0.0
18,1,18.0,18.0,3.0,3.0,0.9995044352735957,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0
19,1,19.0,19.0,3.1622776601683795,4.0,0.9963420345065995,3.0,0.0,0.0,1,1.0,0,0,0.25,0.0
20,1,20.0,20.0,3.1622776601683795,4.0,0.9925649526278797,3.0,0.0,0.0,1,1.0,0,0,0.25,0.0
21,1,21.0,21.0,3.1622776601683795,4.0,0.9516357291821832,1.0,0.0,3.0,0,0.0,1,0,0.25,0.0
22,1,22.0,22.0,3.1622776601683795,4.0,0.993263139087243,3.0,0.0,1.0,0,0.0,1,0,0.25,0.0
23,1,23.0,23.0,4.47213595499958,6.0,0.9946351544273337,4.0,0.0,2.0,0,0.0,1,0,0.25,0.0
