pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,age_diff,age_equal,education_diff,education_equal,industry_diff,industry_equal,marital_status_diff,marital_status_equal,sex_diff,sex_equal,overall_similarity
442,0,,,11.661903789690601,20.0,0.9882134531865472,8.0,0,6.0,0,0.0,0,0.0,1,0.0,1,0.4
412,0,,,12.24744871391589,16.0,0.9557526744231571,12.0,0,1.0,0,0.0,0,1.0,0,0.0,1,0.2
73,1,464.0,136.0,22200.00225225214,22210.0,0.05340184092910438,0.0,1,10.0,0,22200.0,0,0.0,1,0.0,1,0.6
54,1,373.0,98.0,12.727922061357855,18.0,0.9757882853507861,0.0,1,9.0,0,0.0,0,0.0,1,0.0,1,0.6
560,0,,,12.569805089976535,20.0,0.8974946757470403,10.0,0,7.0,0,0.0,0,0.0,1,0.0,1,0.4
215,1,117.0,450.0,32.0624390837628,34.0,0.9362103460401134,32.0,0,0.0,1,0.0,0,0.0,1,0.0,1,0.6
326,1,968.0,760.0,47815.0003764509,47821.0,0.1005697572133275,0.0,1,6.0,0,47815.0,0,0.0,1,0.0,1,0.6
481,0,,,22.538855339169288,32.0,0.9926799669682975,21.0,0,8.0,0,0.0,0,1.0,0,1.0,0,0.0
589,0,,,57.253820833198546,66.0,0.803342340330123,57.0,0,0.0,0,0.0,0,0.0,1,2.0,0,0.2
389,0,,,21.18962010041709,31.0,0.5488437921637825,18.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.4
22,1,24.0,37.0,47594.00067235365,47602.0,0.07750843502087501,0.0,1,8.0,0,47594.0,0,0.0,1,0.0,1,0.6
154,1,134.0,306.0,24.06241883103193,31.0,0.9277498988436387,23.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.4
56,1,88.0,101.0,12.165525060596439,14.0,0.9995203750888836,12.0,0,0.0,1,0.0,0,0.0,1,0.0,1,0.6
32,1,262.0,58.0,11.313708498984761,16.0,0.8672333670072829,0.0,1,8.0,0,0.0,0,0.0,1,0.0,1,0.6
39,1,934.0,72.0,10493.0047650804,10503.0,0.23472577149078833,0.0,1,10.0,0,10493.0,0,0.0,1,0.0,1,0.6
255,1,660.0,551.0,49224.000497724686,49231.0,0.15286160843344232,0.0,1,7.0,0,49224.0,0,0.0,1,0.0,1,0.6
241,1,897.0,509.0,3.7416573867739413,6.0,0.9980356840138498,1.0,0,0.0,1,0.0,0,0.0,1,2.0,0,0.4
72,1,249.0,134.0,15.684387141358123,24.0,0.8535946093990905,11.0,0,0.0,1,0.0,0,0.0,1,2.0,0,0.4
432,0,,,15.394804318340652,23.0,0.9050295962997321,14.0,0,6.0,0,0.0,0,0.0,1,2.0,0,0.2
543,0,,,6.48074069840786,10.0,0.9448899371407795,4.0,0,5.0,0,0.0,0,0.0,1,0.0,1,0.4
275,1,1302.0,605.0,43208.00074060359,43216.0,0.06337576055157723,0.0,1,8.0,0,43208.0,0,0.0,1,0.0,1,0.6
605,0,,,25928.009217832365,25956.0,0.048388693266185445,21.0,0,6.0,0,25928.0,0,0.0,1,1.0,0,0.2
230,1,771.0,485.0,20.09975124224178,30.0,0.8486704544185113,16.0,0,12.0,0,0.0,0,0.0,1,0.0,1,0.4
367,1,985.0,914.0,12.083045973594572,14.0,0.9644411852285864,1.0,0,12.0,0,0.0,0,0.0,1,0.0,1,0.4
669,0,,,96994.00108254119,97016.0,0.5165385820526799,13.0,0,6.0,0,96994.0,0,2.0,0,1.0,0,0.0
61,1,397.0,110.0,14.142135623730951,20.0,0.960277741722052,0.0,1,10.0,0,0.0,0,0.0,1,0.0,1,0.6
168,1,1019.0,342.0,47729.002053258984,47743.0,0.15964220625953252,0.0,1,14.0,0,47729.0,0,0.0,1,0.0,1,0.6
527,0,,,57.087651904768336,63.0,0.9408979615517102,57.0,0,2.0,0,0.0,0,1.0,0,1.0,0,0.0
469,0,,,20.71231517720798,35.0,0.9404886989136133,18.0,0,8.0,0,0.0,0,2.0,0,1.0,0,0.0
666,0,,,40.85339643163099,51.0,0.9779665426356465,40.0,0,0.0,1,0.0,0,2.0,0,1.0,0,0.2
259,1,1297.0,566.0,8.06225774829855,9.0,0.9801751950019888,0.0,1,8.0,0,0.0,0,0.0,1,0.0,1,0.6
86,1,120.0,168.0,18109.002236456872,18118.0,0.06976287475737908,0.0,1,9.0,0,18109.0,0,0.0,1,0.0,1,0.6
122,1,1040.0,233.0,14093.001277229772,14099.0,0.16365322884730926,0.0,1,6.0,0,14093.0,0,0.0,1,0.0,1,0.6
177,1,688.0,366.0,11.313708498984761,16.0,0.9794605846782133,0.0,1,8.0,0,0.0,0,0.0,1,0.0,1,0.6
633,0,,,15.165750888103101,24.0,0.9856938858198768,11.0,0,10.0,0,0.0,0,0.0,1,0.0,1,0.4
696,0,,,44.69899327725402,58.0,0.8836908218857259,43.0,0,12.0,0,0.0,0,0.0,1,2.0,0,0.2
736,0,,,85202.00730616621,85249.0,0.14369796841015625,34.0,0,9.0,0,85202.0,0,2.0,0,2.0,0,0.0
232,1,917.0,489.0,21.908902300206645,32.0,0.8755415525633906,20.0,0,8.0,0,0.0,0,0.0,1,0.0,1,0.4
269,1,293.0,587.0,12.12435565298214,19.0,0.8184348848007547,1.0,0,9.0,0,0.0,0,1.0,0,0.0,1,0.2
721,0,,,46898.00310247762,46923.0,0.08007076646624767,13.0,0,11.0,0,46898.0,0,0.0,1,1.0,0,0.2
457,0,,,12.328828005937952,20.0,0.8044126483705439,4.0,0,6.0,0,0.0,0,0.0,1,0.0,1,0.4
486,0,,,13.30413469565007,17.0,0.9958236799770523,13.0,0,0.0,1,0.0,0,0.0,1,2.0,0,0.4
29,1,158.0,51.0,84128.00071914226,84139.0,0.049126843755141314,0.0,1,11.0,0,84128.0,0,0.0,1,0.0,1,0.6
660,0,,,35.552777669262355,50.0,0.7989193956665471,34.0,0,0.0,0,0.0,0,1.0,0,1.0,0,0.0
749,0,,,84113.00043394006,84126.0,0.17158366851071105,1.0,0,8.0,0,84113.0,0,2.0,0,2.0,0,0.0
306,1,1125.0,700.0,18.627936010197157,27.0,0.9118188875481844,15.0,0,11.0,0,0.0,0,0.0,1,0.0,1,0.4
710,0,,,25.25866188063018,38.0,0.9607711535048079,23.0,0,10.0,0,0.0,0,2.0,0,1.0,0,0.0
287,1,1044.0,637.0,49212.00101601234,49222.0,0.2429035276591719,0.0,1,10.0,0,49212.0,0,0.0,1,0.0,1,0.6
17,1,370.0,31.0,7.3484692283495345,10.0,0.9621743332839157,7.0,0,2.0,0,0.0,0,0.0,1,0.0,1,0.4
108,1,105.0,213.0,46510.0002687594,46515.0,0.22743307279559366,0.0,1,5.0,0,46510.0,0,0.0,1,0.0,1,0.6
371,1,1022.0,937.0,8.831760866327848,16.0,0.9205895564018197,6.0,0,4.0,0,0.0,0,1.0,0,0.0,1,0.2
223,1,842.0,469.0,20.493901531919196,34.0,0.8527842749187581,16.0,0,10.0,0,0.0,0,0.0,1,0.0,1,0.4
328,1,1033.0,764.0,41.24318125460256,47.0,0.6011063583510148,41.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.4
167,1,728.0,339.0,12.328828005937952,20.0,0.8982104610839204,4.0,0,10.0,0,0.0,0,0.0,1,0.0,1,0.4
66,1,784.0,123.0,17021.00105751715,17027.0,0.08552344778200971,0.0,1,6.0,0,17021.0,0,0.0,1,0.0,1,0.6
137,1,11.0,264.0,60.08327554319921,64.0,0.02353104026675057,60.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.4
509,0,,,64905.00713350242,64945.0,0.26758490133214186,29.0,0,9.0,0,64905.0,0,2.0,0,0.0,1,0.2
374,1,782.0,950.0,11.575836902790225,18.0,0.9938791110712137,9.0,0,0.0,1,0.0,0,0.0,1,2.0,0,0.4
702,0,,,47607.00295124658,47632.0,0.1496769234298948,14.0,0,9.0,0,47607.0,0,2.0,0,0.0,1,0.2
30,1,1114.0,54.0,14.866068747318506,21.0,0.8583380371663086,11.0,0,0.0,1,0.0,0,0.0,1,0.0,1,0.6
427,0,,,14.594519519326424,25.0,0.9058549977284955,7.0,0,8.0,0,0.0,0,0.0,1,0.0,1,0.4
512,0,,,19.44222209522358,24.0,0.6205189400591701,19.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.4
625,0,,,9.486832980505138,14.0,0.9993285993754639,9.0,0,2.0,0,0.0,0,0.0,1,2.0,0,0.2
615,0,,,85481.00120494612,85503.0,0.4457316692443609,11.0,0,9.0,0,85481.0,0,2.0,0,0.0,1,0.2
320,1,165.0,736.0,11.445523142259598,15.0,0.8919728001026929,0.0,1,3.0,0,0.0,0,0.0,1,1.0,0,0.4
707,0,,,36.823905279043935,52.0,0.9734395401229543,35.0,0,7.0,0,0.0,0,0.0,1,1.0,0,0.2
422,0,,,29.647934160747187,39.0,0.9945698879471518,29.0,0,0.0,1,0.0,0,3.0,0,2.0,0,0.2
650,0,,,16281.002487561998,16290.0,0.1851801631494988,0.0,1,9.0,0,16281.0,0,0.0,1,0.0,1,0.6
359,1,367.0,861.0,15.264337522473747,19.0,0.9458379949149748,15.0,0,0.0,1,0.0,0,0.0,1,2.0,0,0.4
