pair_index,orig_id,anon_id,label,age_missing,age_diff,age_equal,education_missing,education_diff,education_equal,industry_missing,industry_diff,industry_equal,marital_status_missing,marital_status_diff,marital_status_equal,sex_missing,sex_diff,sex_equal,similarity_score
1860,1860,1860,0,0,29.0,0.0,0,8.0,0.0,1,1.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2
353,353,353,1,0,49.0,0.0,0,7.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0
1333,1333,1333,0,0,1.0,0.0,0,12.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0
905,905,905,1,0,4.0,0.0,0,12.0,0.0,0,84127.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0
1289,1289,1289,0,0,9.0,0.0,0,4.0,0.0,1,1.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0
1273,1273,1273,0,0,52.0,0.0,0,1.0,0.0,1,1.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0
938,938,938,1,0,13.0,0.0,0,10.0,0.0,0,15112.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0
1731,1731,1731,0,0,14.0,0.0,0,9.0,0.0,0,47590.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2
65,65,65,1,0,17.0,0.0,0,7.0,0.0,0,23924.0,0.0,0,0.0,1.0,0,0.0,1.0,0.4
1323,1323,1323,0,0,2.0,0.0,0,7.0,0.0,0,40991.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2
56,56,56,1,0,17.0,0.0,0,9.0,0.0,1,1.0,0.0,0,0.0,1.0,0,2.0,0.0,0.2
1292,1292,1292,0,0,16.0,0.0,0,2.0,0.0,1,1.0,0.0,0,1.0,0.0,0,0.0,1.0,0.2
1118,1118,1118,0,0,26.0,0.0,0,14.0,0.0,1,1.0,0.0,0,2.0,0.0,0,1.0,0.0,0.0
584,584,584,1,0,7.0,0.0,0,6.0,0.0,0,45198.0,0.0,0,0.0,1.0,0,0.0,1.0,0.4
374,374,374,1,0,59.0,0.0,0,1.0,0.0,1,1.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0
275,275,275,1,0,11.0,0.0,0,9.0,0.0,1,1.0,0.0,0,0.0,1.0,0,2.0,0.0,0.2
746,746,746,1,0,6.0,0.0,0,12.0,0.0,0,62017.0,0.0,0,0.0,1.0,0,0.0,1.0,0.4
128,128,128,1,0,3.0,0.0,0,9.0,0.0,1,1.0,0.0,0,0.0,1.0,0,2.0,0.0,0.2
1646,1646,1646,0,0,13.0,0.0,0,9.0,0.0,0,56203.0,0.0,0,1.0,0.0,0,0.0,1.0,0.2
1852,1852,1852,0,0,24.0,0.0,0,3.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0
