pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,sector_diff,sector_equal,r2_school_education_match,type_of_school_match,overall_similarity
0,1,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1.0
1,1,5.0,5.0,0.0,0.0,1.0,0.0,1,1,1,1.0
2,1,15.0,15.0,0.0,0.0,1.0,0.0,1,1,1,1.0
3,1,24.0,24.0,0.0,0.0,1.0,0.0,1,1,1,1.0
4,1,31.0,31.0,0.0,0.0,1.0,0.0,1,1,1,1.0
5,1,45.0,45.0,0.0,0.0,1.0,0.0,1,1,1,1.0
6,1,59.0,59.0,0.0,0.0,1.0,0.0,1,1,1,1.0
7,1,1.0,1.0,0.0,0.0,1.0,0.0,1,1,1,1.0
8,1,2.0,2.0,0.0,0.0,1.0,0.0,1,1,1,1.0
9,1,3.0,3.0,0.0,0.0,1.0,0.0,1,1,1,1.0
10,1,4.0,4.0,0.0,0.0,1.0,0.0,1,1,1,1.0
11,1,6.0,6.0,0.0,0.0,1.0,0.0,1,1,1,1.0
12,1,7.0,7.0,0.0,0.0,1.0,0.0,1,1,1,1.0
13,1,8.0,8.0,0.0,0.0,1.0,0.0,1,1,1,1.0
14,1,9.0,9.0,0.0,0.0,1.0,0.0,1,1,1,1.0
15,1,10.0,10.0,0.0,0.0,1.0,0.0,1,1,1,1.0
16,1,11.0,11.0,0.0,0.0,1.0,0.0,1,1,1,1.0
17,1,12.0,12.0,0.0,0.0,1.0,0.0,1,1,1,1.0
18,1,13.0,13.0,0.0,0.0,1.0,0.0,1,1,1,1.0
19,1,14.0,14.0,0.0,0.0,1.0,0.0,1,1,1,1.0
20,1,16.0,16.0,0.0,0.0,1.0,0.0,1,1,1,1.0
21,1,17.0,17.0,0.0,0.0,1.0,0.0,1,1,1,1.0
22,1,18.0,18.0,0.0,0.0,1.0,0.0,1,1,1,1.0
23,1,19.0,19.0,0.0,0.0,1.0,0.0,1,1,1,1.0
24,1,20.0,20.0,0.0,0.0,1.0,0.0,1,1,1,1.0
25,1,21.0,21.0,0.0,0.0,1.0,0.0,1,1,1,1.0
26,1,22.0,22.0,0.0,0.0,1.0,0.0,1,1,1,1.0
27,1,23.0,23.0,0.0,0.0,1.0,0.0,1,1,1,1.0
28,1,25.0,25.0,0.0,0.0,1.0,0.0,1,1,1,1.0
29,1,26.0,26.0,0.0,0.0,1.0,0.0,1,1,1,1.0
30,1,27.0,27.0,0.0,0.0,1.0,0.0,1,1,1,1.0
31,1,28.0,28.0,0.0,0.0,1.0,0.0,1,1,1,1.0
32,1,29.0,29.0,0.0,0.0,1.0,0.0,1,1,1,1.0
33,1,30.0,30.0,0.0,0.0,1.0,0.0,1,1,1,1.0
34,1,32.0,32.0,0.0,0.0,1.0,0.0,1,1,1,1.0
35,1,33.0,33.0,0.0,0.0,1.0,0.0,1,1,1,1.0
36,1,34.0,34.0,0.0,0.0,1.0,0.0,1,1,1,1.0
37,1,35.0,35.0,0.0,0.0,1.0,0.0,1,1,1,1.0
38,1,36.0,36.0,0.0,0.0,1.0,0.0,1,1,1,1.0
39,1,37.0,37.0,0.0,0.0,1.0,0.0,1,1,1,1.0
40,1,38.0,38.0,0.0,0.0,1.0,0.0,1,1,1,1.0
41,1,39.0,39.0,0.0,0.0,1.0,0.0,1,1,1,1.0
42,1,40.0,40.0,0.0,0.0,1.0,0.0,1,1,1,1.0
43,1,41.0,41.0,0.0,0.0,1.0,0.0,1,1,1,1.0
44,1,42.0,42.0,0.0,0.0,1.0,0.0,1,1,1,1.0
45,1,43.0,43.0,0.0,0.0,1.0,0.0,1,1,1,1.0
46,1,44.0,44.0,0.0,0.0,1.0,0.0,1,1,1,1.0
47,1,46.0,46.0,0.0,0.0,1.0,0.0,1,1,1,1.0
48,1,48.0,48.0,0.0,0.0,1.0,0.0,1,1,1,1.0
49,1,49.0,49.0,0.0,0.0,1.0,0.0,1,1,1,1.0
50,1,50.0,50.0,0.0,0.0,1.0,0.0,1,1,1,1.0
51,1,51.0,51.0,0.0,0.0,1.0,0.0,1,1,1,1.0
52,1,52.0,52.0,0.0,0.0,1.0,0.0,1,1,1,1.0
53,1,53.0,53.0,0.0,0.0,1.0,0.0,1,1,1,1.0
54,1,54.0,54.0,0.0,0.0,1.0,0.0,1,1,1,1.0
55,1,55.0,55.0,0.0,0.0,1.0,0.0,1,1,1,1.0
56,1,56.0,56.0,0.0,0.0,1.0,0.0,1,1,1,1.0
57,1,57.0,57.0,0.0,0.0,1.0,0.0,1,1,1,1.0
58,1,58.0,58.0,0.0,0.0,1.0,0.0,1,1,1,1.0
59,1,47.0,47.0,0.0,0.0,1.0,0.0,1,1,1,1.0
60,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
61,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
62,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
63,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
64,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
65,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
66,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
67,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
68,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
69,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
70,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
71,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
72,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
73,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
74,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
75,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
76,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
77,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
78,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
79,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
80,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
81,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
82,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
83,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
84,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
85,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
