pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,sector_diff,sector_equal,r2_school_education_match,type_of_school_match,overall_similarity
11,1,6.0,6.0,0.0,0.0,1.0,0.0,1,1,1,1.0
77,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
52,1,52.0,52.0,0.0,0.0,1.0,0.0,1,1,1,1.0
66,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
32,1,29.0,29.0,0.0,0.0,1.0,0.0,1,1,1,1.0
44,1,42.0,42.0,0.0,0.0,1.0,0.0,1,1,1,1.0
0,1,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1.0
59,1,47.0,47.0,0.0,0.0,1.0,0.0,1,1,1,1.0
116,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
4,1,31.0,31.0,0.0,0.0,1.0,0.0,1,1,1,1.0
101,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
38,1,36.0,36.0,0.0,0.0,1.0,0.0,1,1,1,1.0
22,1,18.0,18.0,0.0,0.0,1.0,0.0,1,1,1,1.0
86,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
10,1,4.0,4.0,0.0,0.0,1.0,0.0,1,1,1,1.0
14,1,9.0,9.0,0.0,0.0,1.0,0.0,1,1,1,1.0
27,1,23.0,23.0,0.0,0.0,1.0,0.0,1,1,1,1.0
2,1,15.0,15.0,0.0,0.0,1.0,0.0,1,1,1,1.0
33,1,30.0,30.0,0.0,0.0,1.0,0.0,1,1,1,1.0
103,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
68,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
20,1,16.0,16.0,0.0,0.0,1.0,0.0,1,1,1,1.0
5,1,45.0,45.0,0.0,0.0,1.0,0.0,1,1,1,1.0
31,1,28.0,28.0,0.0,0.0,1.0,0.0,1,1,1,1.0
56,1,56.0,56.0,0.0,0.0,1.0,0.0,1,1,1,1.0
118,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
25,1,21.0,21.0,0.0,0.0,1.0,0.0,1,1,1,1.0
117,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
100,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
89,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
36,1,34.0,34.0,0.0,0.0,1.0,0.0,1,1,1,1.0
99,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
42,1,40.0,40.0,0.0,0.0,1.0,0.0,1,1,1,1.0
40,1,38.0,38.0,0.0,0.0,1.0,0.0,1,1,1,1.0
108,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
26,1,22.0,22.0,0.0,0.0,1.0,0.0,1,1,1,1.0
12,1,7.0,7.0,0.0,0.0,1.0,0.0,1,1,1,1.0
30,1,27.0,27.0,0.0,0.0,1.0,0.0,1,1,1,1.0
23,1,19.0,19.0,0.0,0.0,1.0,0.0,1,1,1,1.0
15,1,10.0,10.0,0.0,0.0,1.0,0.0,1,1,1,1.0
9,1,3.0,3.0,0.0,0.0,1.0,0.0,1,1,1,1.0
97,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
85,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666
45,1,43.0,43.0,0.0,0.0,1.0,0.0,1,1,1,1.0
106,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
90,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
64,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
18,1,13.0,13.0,0.0,0.0,1.0,0.0,1,1,1,1.0
57,1,57.0,57.0,0.0,0.0,1.0,0.0,1,1,1,1.0
55,1,55.0,55.0,0.0,0.0,1.0,0.0,1,1,1,1.0
29,1,26.0,26.0,0.0,0.0,1.0,0.0,1,1,1,1.0
114,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
107,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666
