pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,age_diff,age_equal,birth_year_diff,birth_year_equal,birth_month_diff,birth_month_equal,education_match,marital_status_match,sex_match,ethnicity_match,religion_match,overall_similarity
106,0,,,17.944358444926362,28.0,0.979553141421482,13.0,0,12.0,0,3.0,0,0,1,1,1,1,0.5
102,0,,,91.11531155629113,110.0,0.46509809439452443,11.0,0,90.0,0,9.0,0,0,0,0,0,0,0.0
132,0,,,85.7962703152066,105.0,0.8929513859515076,17.0,0,84.0,0,4.0,0,1,1,1,1,1,0.625
95,0,,,51.39066063011839,79.0,0.8400929036393389,36.0,0,36.0,0,7.0,0,1,1,1,1,1,0.625
82,0,,,91.44397191723465,100.0,0.5595724447202213,9.0,0,91.0,0,0.0,1,0,1,1,1,1,0.625
113,0,,,36.78314831549904,53.0,0.9273658441273741,26.0,0,26.0,0,1.0,0,1,0,1,1,1,0.5
61,1,39.0,39.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
90,0,,,5.0990195135927845,8.0,0.9991783452539503,3.0,0,4.0,0,1.0,0,1,0,0,1,1,0.375
142,0,,,15.0,23.0,0.9854192080836606,11.0,0,10.0,0,2.0,0,1,1,0,1,1,0.5
96,0,,,10.677078252031311,16.0,0.9920665169317966,7.0,0,8.0,0,1.0,0,0,1,1,1,0,0.375
49,1,18.0,18.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
150,0,,,12.083045973594572,18.0,0.9910023202511883,8.0,0,9.0,0,1.0,0,0,0,1,1,1,0.375
135,0,,,19.1049731745428,27.0,0.34471765922709996,13.0,0,14.0,0,0.0,1,1,1,1,1,0,0.625
69,1,57.0,57.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
97,0,,,26.851443164195103,43.0,0.9574355776451665,18.0,0,19.0,0,6.0,0,0,1,1,1,1,0.5
56,1,29.0,29.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
134,0,,,17.944358444926362,28.0,0.979553141421482,13.0,0,12.0,0,3.0,0,0,1,1,1,1,0.5
89,0,,,9.273618495495704,14.0,0.9941893842960953,6.0,0,7.0,0,1.0,0,0,0,1,1,1,0.375
12,1,19.0,19.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
46,1,12.0,12.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
84,0,,,6.48074069840786,10.0,0.9975914847443917,4.0,0,5.0,0,1.0,0,0,1,1,0,1,0.375
77,1,77.0,87.0,4.123105625617661,5.0,0.998954706590238,0.0,1,1.0,0,4.0,0,0,1,1,1,0,0.5
50,1,21.0,21.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
81,0,,,91.44397191723465,100.0,0.5595724447202213,9.0,0,91.0,0,0.0,1,0,1,1,1,1,0.625
