pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,age_diff,age_equal,education_match,marital_status_match,sex_match,ethnicity_match,religion_match,overall_similarity
93,0,,,28.0,28.0,1.0,28.0,0,1,1,1,1,0,0.6666666666666666
157,0,,,43.0,43.0,1.0,43.0,0,0,1,1,1,1,0.6666666666666666
115,0,,,12.0,12.0,1.0,12.0,0,0,1,1,1,1,0.6666666666666666
88,0,,,15.0,15.0,1.0,15.0,0,1,1,0,1,1,0.6666666666666666
150,0,,,0.0,0.0,1.0,0.0,1,1,1,1,0,0,0.6666666666666666
89,0,,,15.0,15.0,1.0,15.0,0,0,1,1,1,1,0.6666666666666666
56,1,28.0,28.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1.0
111,0,,,43.0,43.0,1.0,43.0,0,0,1,1,1,1,0.6666666666666666
97,0,,,45.0,45.0,1.0,45.0,0,1,1,1,1,0,0.6666666666666666
148,0,,,21.0,21.0,1.0,21.0,0,0,1,1,1,1,0.6666666666666666
112,0,,,16.0,16.0,1.0,16.0,0,0,1,1,1,1,0.6666666666666666
147,0,,,36.0,36.0,1.0,36.0,0,0,1,1,1,1,0.6666666666666666
48,1,14.0,14.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
133,0,,,23.0,23.0,1.0,23.0,0,0,1,1,1,1,0.6666666666666666
152,0,,,23.0,23.0,1.0,23.0,0,0,1,1,1,1,0.6666666666666666
54,1,25.0,25.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
30,1,31.0,60.0,18.0,18.0,1.0,18.0,0,1,1,1,1,1,0.8333333333333334
155,0,,,43.0,43.0,1.0,43.0,0,0,1,1,1,1,0.6666666666666666
76,1,68.0,68.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
52,1,42.0,22.0,6.0,6.0,1.0,6.0,0,0,1,1,1,1,0.6666666666666666
2,1,3.0,3.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
17,1,60.0,31.0,10.0,10.0,1.0,10.0,0,1,1,1,1,1,0.8333333333333334
35,1,69.0,69.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
60,1,36.0,36.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
61,1,37.0,37.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
86,0,,,18.0,18.0,1.0,18.0,0,0,1,1,1,1,0.6666666666666666
72,1,58.0,58.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
83,0,,,38.0,38.0,1.0,38.0,0,0,1,1,1,1,0.6666666666666666
145,0,,,19.0,19.0,1.0,19.0,0,1,1,1,1,0,0.6666666666666666
92,0,,,18.0,18.0,1.0,18.0,0,1,1,1,1,0,0.6666666666666666
27,1,51.0,51.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
136,0,,,2.0,2.0,1.0,2.0,0,0,1,0,1,1,0.5
85,0,,,25.0,25.0,1.0,25.0,0,0,1,1,1,1,0.6666666666666666
114,0,,,41.0,41.0,1.0,41.0,0,1,0,1,1,1,0.6666666666666666
41,1,4.0,85.0,7.0,7.0,1.0,7.0,0,0,1,1,0,1,0.5
49,1,17.0,17.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
45,1,5.0,5.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
141,0,,,31.0,31.0,1.0,31.0,0,1,0,1,1,1,0.6666666666666666
31,1,61.0,61.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
39,1,76.0,74.0,13.0,13.0,1.0,13.0,0,0,1,1,1,1,0.6666666666666666
156,0,,,37.0,37.0,1.0,37.0,0,0,1,1,1,1,0.6666666666666666
90,0,,,36.0,36.0,1.0,36.0,0,0,1,1,1,1,0.6666666666666666
1,1,2.0,2.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
138,0,,,31.0,31.0,1.0,31.0,0,1,0,1,1,1,0.6666666666666666
9,1,13.0,13.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
69,1,59.0,53.0,65.0,65.0,1.0,65.0,0,1,0,1,1,1,0.6666666666666666
142,0,,,59.0,59.0,1.0,59.0,0,1,1,0,1,1,0.6666666666666666
43,1,75.0,93.0,13.0,13.0,1.0,13.0,0,1,1,1,0,0,0.5
99,0,,,24.0,24.0,1.0,24.0,0,0,1,1,1,1,0.6666666666666666
120,0,,,0.0,0.0,1.0,0.0,1,0,1,0,1,1,0.6666666666666666
19,1,34.0,34.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
96,0,,,9.0,9.0,1.0,9.0,0,0,1,1,1,1,0.6666666666666666
128,0,,,4.0,4.0,1.0,4.0,0,1,0,1,0,1,0.5
137,0,,,12.0,12.0,1.0,12.0,0,0,1,1,1,1,0.6666666666666666
26,1,49.0,49.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
87,0,,,52.0,52.0,1.0,52.0,0,1,1,1,1,0,0.6666666666666666
125,0,,,45.0,45.0,1.0,45.0,0,1,0,1,1,1,0.6666666666666666
116,0,,,25.0,25.0,1.0,25.0,0,0,1,1,1,1,0.6666666666666666
129,0,,,1.0,1.0,1.0,1.0,0,0,1,1,0,0,0.3333333333333333
144,0,,,19.0,19.0,1.0,19.0,0,0,1,1,1,1,0.6666666666666666
58,1,32.0,32.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
130,0,,,30.0,30.0,1.0,30.0,0,1,1,1,1,0,0.6666666666666666
33,1,64.0,64.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
