pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,sex_diff,sex_equal,district_diff,district_equal,education_diff,education_equal,marital_status_diff,marital_status_equal,B_year_diff,B_year_equal,employment_status_diff,employment_status_equal,industry_diff,industry_equal,main_activity_diff,main_activity_equal,age_match,overall_similarity
0,1,817.0,0.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1,1.0
1,1,542.0,1.0,1398.0418448673129,1413.0,0.9999999482154232,0.0,1,0.0,1,6.0,0,0.0,1,9.0,0,0.0,1,1398.0,0,0.0,1,1,0.6666666666666666
2,1,281.0,11.0,1631.0015328012416,1634.0,0.9999991131044373,0.0,1,0.0,1,1.0,0,0.0,1,2.0,0,0.0,1,1631.0,0,0.0,1,1,0.6666666666666666
3,1,989.0,12.0,184.13310403075272,191.0,0.999997343539382,0.0,1,0.0,1,0.0,1,0.0,1,7.0,0,0.0,1,184.0,0,0.0,1,1,0.7777777777777778
4,1,578.0,26.0,10.198039027185569,12.0,0.999999468440767,0.0,1,0.0,1,2.0,0,0.0,1,10.0,0,0.0,1,0.0,1,0.0,1,1,0.7777777777777778
5,1,478.0,28.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1,1.0
6,1,644.0,29.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1,1.0
7,1,422.0,33.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1,1.0
8,1,392.0,38.0,3.0,3.0,0.9999999999167776,0.0,1,0.0,1,0.0,1,0.0,1,3.0,0,0.0,1,0.0,1,0.0,1,1,0.8888888888888888
9,1,226.0,51.0,100.18482919085105,107.0,0.9999999950233103,0.0,1,0.0,1,1.0,0,0.0,1,6.0,0,0.0,1,100.0,0,0.0,1,1,0.6666666666666666
10,1,77.0,61.0,156.01281998605114,158.0,0.9999986025743286,0.0,1,0.0,1,0.0,1,0.0,1,2.0,0,0.0,1,156.0,0,0.0,1,1,0.7777777777777778
11,1,577.0,62.0,5897.001356621855,5901.0,0.9999822082612202,0.0,1,0.0,1,0.0,1,0.0,1,4.0,0,0.0,1,5897.0,0,0.0,1,1,0.7777777777777778
12,1,913.0,63.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1,1.0
13,1,562.0,65.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1,1.0
14,1,203.0,66.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1,1.0
15,1,820.0,70.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1,1.0
16,1,939.0,72.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1,1.0
17,1,920.0,75.0,10009.07623110145,10051.0,0.999995815276452,0.0,1,0.0,1,2.0,0,0.0,1,39.0,0,1.0,0,10009.0,0,0.0,1,1,0.5555555555555556
18,1,1046.0,76.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1,1.0
19,1,676.0,81.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1,1.0
20,1,842.0,82.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1,1.0
21,1,1047.0,86.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1,1.0
22,1,1022.0,87.0,15886.000786856332,15891.0,0.9977920317152967,0.0,1,0.0,1,0.0,1,0.0,1,5.0,0,0.0,1,15886.0,0,0.0,1,1,0.7777777777777778
23,1,428.0,92.0,7367.0,7367.0,0.9999846512037357,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,7367.0,0,0.0,1,1,0.8888888888888888
24,1,586.0,93.0,3472.000288018421,3474.0,0.9990065070984877,0.0,1,0.0,1,0.0,1,0.0,1,1.0,0,1.0,0,3472.0,0,0.0,1,1,0.6666666666666666
25,1,1013.0,96.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1,1.0
26,1,228.0,104.0,4.47213595499958,6.0,0.9999994799341321,0.0,1,0.0,1,2.0,0,0.0,1,4.0,0,0.0,1,0.0,1,0.0,1,1,0.7777777777777778
27,1,207.0,110.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1,1.0
28,1,642.0,111.0,1099.0222927675306,1106.0,0.9999989893043136,0.0,1,0.0,1,0.0,1,0.0,1,7.0,0,0.0,1,1099.0,0,0.0,1,1,0.7777777777777778
29,1,454.0,114.0,3920.0051020374963,3928.0,0.9999994516094098,0.0,1,0.0,1,2.0,0,0.0,1,6.0,0,0.0,1,3920.0,0,0.0,1,1,0.6666666666666666
30,1,532.0,115.0,10.198039027185569,12.0,0.9999999997131142,0.0,1,0.0,1,2.0,0,0.0,1,0.0,1,0.0,1,10.0,0,0.0,1,1,0.7777777777777778
31,1,303.0,118.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1,1.0
32,1,551.0,119.0,5.477225575051661,8.0,0.9999999923412282,0.0,1,0.0,1,5.0,0,0.0,1,1.0,0,0.0,1,2.0,0,0.0,1,1,0.6666666666666666
33,1,837.0,123.0,2924.029069622941,2938.0,0.9996995616729333,0.0,1,0.0,1,1.0,0,0.0,1,13.0,0,0.0,1,2924.0,0,0.0,1,1,0.6666666666666666
34,1,783.0,124.0,17026.055062756022,17075.0,0.1145712689287991,0.0,1,0.0,1,0.0,1,0.0,1,43.0,0,1.0,0,17026.0,0,5.0,0,1,0.5555555555555556
35,1,776.0,127.0,10071.0,10071.0,0.999774982915937,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,10071.0,0,0.0,1,1,0.8888888888888888
