district,sector,month,psu,snumber,hhno,nhh,result,person_serial_no,r2_school_education,type_of_school,grade_this_year,grade_last_year,distance,transport_medium,time_to_school,noschooling_reason,reason_leave_school,when_stop_schooling
11,1,1,PSU_RECODED_103,Grade 3,*,1,Walking,4,House keeping / Family business,_missing_, , , , , , ,7, 
11,1,1,PSU_RECODED_103,Grade 3,*,1,Walking,5,School too far away,_missing_,7,6,14,5,45, , , 
11,1,1,PSU_RECODED_436,Grade 1,*,1,Walking,3,School too far away,_missing_,8,7,5,4,30, , , 
11,1,1,PSU_RECODED_436,Grade 1,*,1,Walking,4,School too far away,_missing_,5,4,5,4,30, , , 
11,1,1,PSU_RECODED_OTHER,Grade 10,*,1,Walking,3,School too far away,_missing_,9,8,2,1,30, , , 
11,1,1,PSU_RECODED_271,Grade 5,*,1,Walking,4,House keeping / Family business,_missing_, , , , , , ,8,2017
11,1,1,PSU_RECODED_271,Grade 9,*,1,Walking,4,School too far away,_missing_,10,9,6,3,30, , , 
11,1,1,PSU_RECODED_271,Grade 9,*,1,Walking,5,School too far away,_missing_,7,6,6,3,30, , , 
11,1,1,PSU_RECODED_OTHER,Grade 3,*,1,Walking,3,School too far away,_missing_,1,19,4,3,10, , , 
11,1,1,PSU_RECODED_72,Grade 5,*,1,Walking,3,School too far away,_missing_,13,12,4,4,20, , , 
11,1,1,PSU_RECODED_72,Grade 5,*,1,Walking,4,School too far away,_missing_,11,10,4,4,20, , , 
11,1,1,PSU_RECODED_72,Grade 5,*,1,Walking,5,School too far away,_missing_,9,8,4,4,20, , , 
11,1,1,PSU_RECODED_72,Grade 10,*,1,Walking,7,School too far away,_missing_,5,4,2,3,15, , , 
11,1,2,PSU_RECODED_OTHER,Grade 5,*,1,Walking,3,School too far away,_missing_,6,5,1,3,10, , , 
11,1,2,PSU_RECODED_OTHER,Grade 5,*,1,Walking,4,School too far away,_missing_,2,1,1,3,10, , , 
11,1,1,PSU_RECODED_OTHER,Grade 2,*,1,Walking,3,House keeping / Family business,_missing_, , , , , , ,9,2018
11,1,2,PSU_RECODED_OTHER,Grade 1,*,1,Walking,3,School too far away,_missing_,10,9,15,5,60, , , 
11,1,2,PSU_RECODED_OTHER,Grade 1,*,1,Walking,4,School too far away,_missing_,8,7,2,6,30, , , 
11,1,2,PSU_RECODED_OTHER,Grade 1,*,1,Walking,5,School too far away,_missing_,2,1,1,3,10, , , 
11,1-2,2,PSU_RECODED_122,Grade 1,*,1,Walking,3,School too far away,_missing_,9,8,1,6,10, , , 
11,1-2,2,PSU_RECODED_122,Grade 1,*,1,Walking,4,School too far away,_missing_,6,5,1,6,10, , , 
11,1-2,2,PSU_RECODED_122,Grade 1,*,1,Walking,5,School too far away,_missing_,2,1,3,5,10, , , 
11,1,2,PSU_RECODED_467,Grade 5,*,1,Walking,3,School too far away,_missing_,13,12,9,3,60, , , 
11,1,2,PSU_RECODED_467,Grade 5,*,1,Walking,4,School too far away,_missing_,11,10,9,3,60, , , 
11,1,2,PSU_RECODED_467,Grade 10,*,1,Walking,3,House keeping / Family business,_missing_, , , , , , ,8,2018
11,1,2,PSU_RECODED_467,Grade 10,*,1,Walking,4,School too far away,_missing_,8,7,9,5,60, , , 
11,1,2,PSU_RECODED_215,Grade 2,*,1,Walking,4,School too far away,_missing_,13,11,3,3,15, , , 
11,1,2,PSU_RECODED_215,Grade 10,*,1,Walking,4,School too far away,_missing_,13,12,13,6,60, , , 
11,1,2,PSU_RECODED_215,Grade 10,*,1,Walking,5,School too far away,_missing_,13,12,13,6,60, , , 
11,1,3,PSU_RECODED_331,Grade 2,*,1,Walking,3,School too far away,_missing_,3,2,1,3,10, , , 
11,1,3,PSU_RECODED_331,Grade 2,*,1,Walking,4,School too far away,_missing_,3,2,1,3,10, , , 
11,1,3,PSU_RECODED_331,Grade 9,*,1,Walking,4,House keeping / Family business,_missing_, , , , , , ,6,2017
11,1,3,PSU_RECODED_459,Grade 6,*,1,Walking,3,School too far away,_missing_,5,4,8,3,30, , , 
11,1,3,PSU_RECODED_459,Grade 10,*,1,Walking,5,School too far away,_missing_,10,9,4,3,20, , , 
11,1,3,PSU_RECODED_459,Grade 10,*,1,Walking,6,School too far away,_missing_,7,6,4,3,20, , , 
11,1,3,PSU_RECODED_88,Grade 7,*,1,Walking,3,School too far away,_missing_,10,9,3,3,20, , , 
11,1,3,PSU_RECODED_88,Grade 7,*,1,Walking,4,School too far away,_missing_,6,5,2,3,15, , , 
11,1,3,PSU_RECODED_88,Grade 7,*,1,Walking,5,School too far away,_missing_,1,19,2,3,15, , , 
11,1-2,3,PSU_RECODED_373,Grade 6,*,1,Walking,4,School too far away,_missing_,12,11,10,5,75, , , 
11,1-2,3,PSU_RECODED_373,Grade 10,*,1,Walking,2,School too far away,_missing_,12,11,20,6,45, , , 
11,1-2,3,PSU_RECODED_100,Grade 7,*,1,Walking,3,School too far away,_missing_,4,3,3,5,20, , , 
11,1-2,3,PSU_RECODED_100,Grade 7,*,1,Walking,4,School too far away,_missing_,3,2,3,5,20, , , 
11,1,3,PSU_RECODED_872,Grade 2,*,1,Walking,3,School too far away,_missing_,6,4,3,4,15, , , 
11,1,3,PSU_RECODED_872,Grade 2,*,1,Walking,4,School too far away,_missing_,3,2,3,4,15, , , 
11,1,3,PSU_RECODED_664,Grade 8,*,1,Walking,3,School too far away,_missing_,7,6,1,3,10, , , 
11,1,3,PSU_RECODED_131,Grade 7,*,1,Walking,4,House keeping / Family business,_missing_, , , , , , ,8,2018
11,1,3,PSU_RECODED_131,Grade 7,*,1,Walking,5,School too far away,_missing_,11,10,15,5,45, , , 
11,1-2,4,PSU_RECODED_662,Grade 1,*,1,Walking,3,Financial problems,_missing_, , , , , ,7, , 
11,1,4,PSU_RECODED_OTHER,Grade 4,*,1,Walking,3,School too far away,_missing_,6,5,2,3,10, , , 
11,1,4,PSU_RECODED_OTHER,Grade 4,*,1,Walking,4,School too far away,_missing_,3,2,2,3,10, , , 
11,1,4,PSU_RECODED_OTHER,Grade 5,*,1,Walking,3,School too far away,_missing_,9,8,3,6,25, , , 
11,1,4,PSU_RECODED_OTHER,Grade 5,*,1,Walking,4,School too far away,_missing_,3,2,0,1,15, , , 
11,1-2,4,PSU_RECODED_OTHER,Grade 5,*,1,Walking,5,School too far away,_missing_,2,1,1,1,20, , , 
11,1,4,PSU_RECODED_492,Grade 1,*,1,Walking,3,School too far away,_missing_,12,11,5,6,30, , , 
11,1,4,PSU_RECODED_492,Grade 5,*,1,Walking,7,School too far away,_missing_,13,12,3,6,15, , , 
11,1,4,PSU_RECODED_492,Grade 5,*,1,Walking,8,School too far away,_missing_,3,2,3,3,5, , , 
11,1,4,PSU_RECODED_414,Grade 6,*,1,Walking,4,School too far away,_missing_,9,8,2,3,10, , , 
11,1,4,PSU_RECODED_806,Grade 10,*,1,Walking,3,School too far away,_missing_,2,1,2,6,15, , , 
11,1,4,PSU_RECODED_386,Grade 1,*,1,Walking,4,School too far away,_missing_,12,11,16,5,60, , , 
11,1,4,PSU_RECODED_386,Grade 5,*,1,Walking,5,House keeping / Family business,_missing_, , , , , , ,7,2018
11,1,1,PSU_RECODED_192,Grade 7,*,1,Walking,3,School too far away,_missing_,12,11,2,3,10, , , 
11,1,1,PSU_RECODED_192,Grade 7,*,1,Walking,4,School too far away,_missing_,6,5,2,3,10, , , 
11,1-2,5,PSU_RECODED_277,Grade 1,*,1,Walking,3,School too far away,_missing_,12,10,2,6,10, , , 
11,1-2,5,PSU_RECODED_277,Grade 1,*,1,Walking,4,School too far away,_missing_,8,7,2,6,10, , , 
11,1-2,5,PSU_RECODED_277,Grade 1,*,1,Walking,5,School too far away,_missing_,4,3,2,1,10, , , 
11,1-2,5,PSU_RECODED_161,Grade 6,*,1,Walking,3,House keeping / Family business,_missing_, , , , , , ,3,2018
11,1-2,5,PSU_RECODED_161,Grade 6,*,1,Walking,4,School too far away,_missing_,6,5,3,5,25, , , 
11,1-2,5,PSU_RECODED_161,Grade 6,*,1,Walking,5,School too far away,_missing_,6,5,3,5,25, , , 
11,1-2,1,PSU_RECODED_460,Grade 1,*,1,Walking,3,School too far away,_missing_,11,10,3,3,15, , , 
11,1-2,1,PSU_RECODED_460,Grade 1,*,1,Walking,4,School too far away,_missing_,9,8,5,5,30, , , 
11,1-2,1,PSU_RECODED_460,Grade 1,*,1,Walking,5,School too far away,_missing_,6,5,3,3,15, , , 
11,1-2,1,PSU_RECODED_460,Grade 5,*,1,Walking,4,School too far away,_missing_,7,6,4,5,20, , , 
11,1-2,1,PSU_RECODED_460,Grade 10,*,1,Walking,3,School too far away,_missing_,3,2,4,3,10, , , 
11,1,1,PSU_RECODED_OTHER,Grade 7,*,1,Walking,2,House keeping / Family business,_missing_, , , , , , ,6,2015
11,1,5,PSU_RECODED_22,Grade 9,*,1,Walking,3,School too far away,_missing_,12,11,7,6,30, , , 
11,1,5,PSU_RECODED_22,Grade 9,*,1,Walking,4,School too far away,_missing_,6,5,1,1,15, , , 
11,1,5,PSU_RECODED_22,Grade 9,*,1,Walking,5,Financial problems,_missing_, , , , , ,7, , 
