district,sector,month,strata,psu,snumber,hhno,nhh,result,person_serial_no,residence,relationship,sex,birth_year,birth_month,age,registration,ethnicity,religion,marital_status,curr_educ,education,main_activity,is_active,main_occupation,industry,employment_status,uresidencf,live,finalweight,B_year
11,1,1,111,PSU_RECODED_103,2,1,1,1,1,1,1,1,58,3,60,1,4,3,2,9,12,4,2, , , , , ,298.0423127,1958
11,1,1,111,PSU_RECODED_103,2,1,1,1,2,1,2,2,60,9,58,1,4,3,2,9,10,7,2, , , , , ,298.0423127,1960
11,1,1,111,PSU_RECODED_103,2,1,1,1,3,1,3,2,91,1,28,1,4,3,2,9,13,1,1,2330,85211,1, , ,298.0423127,1991
11,1,1,111,PSU_RECODED_103,2,1,1,1,4,1,3,2,92,8,26,1,4,3,1,3,13,8,2, , , , , ,298.0423127,1992
11,1,1,111,PSU_RECODED_103,2,1,1,1,5,1,5,2,16,1,3,1,4,3,1,1, , , , , , , , ,298.0423127,2016
11,1,1,111,PSU_RECODED_103,6,1,1,1,1,1,1,2,42,6,76,1,1,1,2,9,11,9,2, , , , , ,298.0423127,1942
11,1,1,111,PSU_RECODED_103,6,1,1,1,2,1,2,1,40,3,78,1,1,1,2,9,5,9,2, , , , , ,298.0423127,1940
11,1,1,111,PSU_RECODED_103,6,1,1,1,3,1,3,2,70,4,48,1,1,1,1,9,10,1,1,8152,13945,3, , ,298.0423127,1970
11,1,1,111,PSU_RECODED_180,3,1,1,1,1,1,1,2,62,3,56,1,1,1,2,9,10,7,2, , , , , ,436.4627395,1962
11,1,1,111,PSU_RECODED_180,3,1,1,1,2,1,3,2,82,3,36,1,1,1,1,9,13,1,1,5412,84230,1, , ,436.4627395,1982
11,1,1,111,PSU_RECODED_180,3,1,1,1,3,1,3,1,92,4,26,1,1,1,1,9,13,1,1,3122,13992,3, , ,436.4627395,1992
11,1,1,111,PSU_RECODED_180,3,1,1,1,4,1,3,1,96,11,22,1,1,1,1,9,11,1,1,7322,18115,3, , ,436.4627395,1996
11,1,1,111,PSU_RECODED_180,3,1,1,1,5,2,2,1,60,3,58,1,1,1,2,9,8, , , , , ,1,1,436.4627395,1960
11,1,1,111,PSU_RECODED_180,9,1,1,1,1,1,1,1,46,2,72,1,1,1,2,9,7,9,2, , , , , ,436.4627395,1946
11,1,1,111,PSU_RECODED_180,9,1,1,1,2,1,2,2,57,11,61,1,1,1,2,9,4,7,2, , , , , ,436.4627395,1957
11,1,1,111,PSU_RECODED_180,9,1,1,1,3,1,3,1,88,3,30,1,1,1,1,9,10,1,1,7212,25113,5, , ,436.4627395,1988
11,1,1,111,PSU_RECODED_180,9,1,1,1,4,1,3,1,89,7,29,1,1,1,1,9,13,1,1,8189,18111,3, , ,436.4627395,1989
11,2,1,112,PSU_RECODED_OTHER,6,1,1,1,1,1,1,2,50,4,68,1,1,1,4,9,11,1,1,9322,14302,3, , ,285.6012832,1950
11,1,1,111,PSU_RECODED_15,3,1,1,1,1,1,1,1,70,1,49,1,1,1,2,9,13,1,1,7421,95111,5, , ,271.9852019,1970
11,1,1,111,PSU_RECODED_15,3,1,1,1,2,1,2,2,70,8,48,1,1,1,2,9,11,1,1,9112,95111,6, , ,271.9852019,1970
11,1,1,111,PSU_RECODED_15,3,1,1,1,3,1,3,1,97,11,21,1,1,1,1,4,13,1,1,3511,84120,1, , ,271.9852019,1997
11,1,1,111,PSU_RECODED_15,3,1,1,1,4,1,3,2,3,1,16,1,1,1,1,6,10,8,2, , , , , ,271.9852019,2003
11,1,1,111,PSU_RECODED_15,3,1,1,1,5,1,3,2,7,3,11,1,1,1,1,2,6, , , , , , , ,271.9852019,2007
11,1,1,111,PSU_RECODED_15,3,1,1,1,6,1,4,2,43,9,75,1,1,1,4,9,13,9,2, , , , , ,271.9852019,1943
11,1,1,111,PSU_RECODED_15,7,1,1,1,1,1,1,2,64,11,54,1,1,1,2,9,11,1,1,7531,14101,3, , ,271.9852019,1964
11,1,1,111,PSU_RECODED_15,7,1,1,1,2,2,2,1,61,10,57,1,1,1,2,9,10, , , , , ,1,1,271.9852019,1961
11,1,1,111,PSU_RECODED_15,7,1,1,1,3,1,3,1,93,10,25,1,1,1,1,5,13,1,1,5414,11011,3, , ,271.9852019,1993
11,1,1,111,PSU_RECODED_15,7,1,1,1,4,1,3,2,94,10,24,1,1,1,1,9,12,3,2, , , , , ,271.9852019,1994
11,1,1,111,PSU_RECODED_107,1,1,1,1,1,1,1,1,79,4,39,1,1,1,2,9,16,1,1,1346,64191,3, , ,495.0953281,1979
11,1,1,111,PSU_RECODED_107,1,1,1,1,2,1,2,2,80,4,38,1,1,4,2,9,17,7,2, , , , , ,495.0953281,1980
11,1,1,111,PSU_RECODED_107,1,1,1,1,3,1,3,1,6,7,12,1,1,1,1,2,7, , , , , , , ,495.0953281,2006
11,1,1,111,PSU_RECODED_107,1,1,1,1,4,1,3,1,9,4,9,1,1,1,1,2,4, , , , , , , ,495.0953281,2009
11,1,1,111,PSU_RECODED_107,7,1,1,1,1,1,1,1,91,4,27,1,1,4,2,9,15,1,1,2330,85492,5, , ,495.0953281,1991
11,1,1,111,PSU_RECODED_107,7,1,1,1,2,1,2,2,92,1,27,1,1,1,2,9,15,7,2, , , , , ,495.0953281,1992
11,2,1,112,PSU_RECODED_72,1,1,1,1,1,1,1,2,60,6,58,1,1,1,4,9,8,1,1,5212,47817,5, , ,305.2323975,1960
