district,sector,month,psu,snumber,hhno,nhh,result,person_serial_no,residence,relationship,sex,birth_year,birth_month,age,registration,ethnicity,religion,marital_status,curr_educ,education,main_activity,is_active,main_occupation,industry,employment_status,uresidencf,live,finalweight,B_year
11,*,1,11,1,1,1,1,1,1,1,*,11,2,*,1,1,4,*,9.0,*,1.0,1.0,7531.0,*,5.0,,,392.4425353,11
11,*,1,11,1,1,1,1,2,1,2,*,11,8,*,1,1,4,*,9.0,*,1.0,1.0,8350.0,*,3.0,,,392.4425353,11
11,Bin_1,1,11,1,1,1,1,3,1,3,Bin_5,11,3,Bin_1,1,1,4,Bin_1,6.0,Bin_3,8.0,2.0,,,,,,392.4425353,11
11,Bin_1,1,11,1,1,1,1,4,1,3,Bin_1,11,3,Bin_1,1,1,4,Bin_1,1.0,,,,,,,,,392.4425353,11
11,*,1,11,3,1,1,1,1,1,1,*,11,10,*,1,1,4,*,9.0,*,1.0,1.0,5211.0,*,6.0,,,392.4425353,11
11,*,1,11,3,1,1,1,2,1,3,*,11,4,*,1,1,4,*,9.0,*,1.0,1.0,2342.0,*,3.0,,,392.4425353,11
11,*,1,11,3,1,1,1,3,1,5,*,11,9,*,1,1,4,*,9.0,*,1.0,1.0,3113.0,*,3.0,,,392.4425353,11
11,Bin_1,1,11,3,1,1,1,4,1,5,Bin_5,11,3,Bin_1,1,1,4,Bin_1,1.0,,,,,,,,,392.4425353,11
11,Bin_1,1,11,3,1,1,1,5,1,5,Bin_5,11,4,Bin_1,1,1,4,Bin_1,,,,,,,,,,392.4425353,11
11,Bin_1,1,11,3,1,1,1,6,2,5,Bin_5,11,6,Bin_5,1,1,4,Bin_3,9.0,Bin_2,,,,,,1.0,3.0,392.4425353,11
11,Bin_1,1,11,3,1,1,1,7,1,2,Bin_1,11,12,Bin_4,1,1,4,Bin_1,9.0,Bin_3,1.0,1.0,5221.0,Bin_3,5.0,,,392.4425353,11
11,*,1,11,5,1,1,1,1,1,1,*,11,8,*,1,4,3,*,9.0,*,1.0,1.0,8323.0,*,3.0,,,392.4425353,11
11,*,1,11,5,1,1,1,2,1,2,*,11,8,*,1,1,1,*,9.0,*,1.0,1.0,7531.0,*,5.0,,,392.4425353,11
11,*,1,11,5,1,1,1,3,1,3,*,11,9,*,1,4,3,*,9.0,*,1.0,1.0,7412.0,*,3.0,,,392.4425353,11
11,Bin_1,1,11,5,1,1,1,4,1,3,Bin_1,11,1,Bin_1,1,4,3,Bin_1,2.0,Bin_3,8.0,2.0,,,,,,392.4425353,11
11,Bin_1,1,11,5,1,1,1,5,1,3,Bin_5,11,3,Bin_1,1,4,3,Bin_1,2.0,Bin_3,,,,,,,,392.4425353,11
11,*,1,11,5,1,1,1,6,1,4,*,11,7,*,1,4,3,*,9.0,*,1.0,1.0,4212.0,*,3.0,,,392.4425353,11
11,*,1,11,6,1,1,1,1,1,1,*,11,9,*,1,4,3,*,9.0,*,1.0,1.0,8323.0,*,5.0,,,392.4425353,11
11,Bin_1,1,11,6,1,1,1,2,1,2,Bin_5,11,10,Bin_4,1,4,3,Bin_1,9.0,Bin_1,7.0,2.0,,,,,,392.4425353,11
11,*,1,11,6,1,1,1,3,1,3,*,11,2,*,1,4,3,*,9.0,*,1.0,1.0,3322.0,*,3.0,,,392.4425353,11
11,Bin_1,1,11,6,1,1,1,4,1,3,Bin_5,11,5,Bin_2,1,4,3,Bin_1,9.0,Bin_3,7.0,2.0,,,,,,392.4425353,11
11,*,1,11,6,1,1,1,5,1,5,*,11,5,*,1,4,3,*,9.0,*,1.0,1.0,5211.0,*,3.0,,,392.4425353,11
11,Bin_1,1,11,6,1,1,1,6,1,5,Bin_1,11,5,Bin_1,1,4,3,Bin_1,2.0,Bin_1,,,,,,,,392.4425353,11
11,Bin_1,1,11,6,1,1,1,7,1,5,Bin_5,11,3,Bin_1,1,4,3,Bin_1,,,,,,,,,,392.4425353,11
11,*,1,11,7,1,1,1,1,1,1,*,11,1,*,1,1,4,*,9.0,*,1.0,1.0,3313.0,*,3.0,,,392.4425353,11
11,Bin_1,1,11,7,1,1,1,2,1,5,Bin_1,11,10,Bin_1,1,1,4,Bin_1,2.0,Bin_4,8.0,2.0,,,,,,392.4425353,11
11,Bin_1,1,11,7,1,1,1,3,1,4,Bin_5,11,7,Bin_3,1,1,4,Bin_3,9.0,Bin_3,7.0,2.0,,,,,,392.4425353,11
11,*,1,11,7,1,1,1,4,1,5,*,11,4,*,1,1,4,*,9.0,*,1.0,1.0,5311.0,*,3.0,,,392.4425353,11
11,Bin_1,1,11,8,1,1,1,1,1,1,Bin_1,11,11,Bin_3,1,2,2,Bin_1,9.0,Bin_3,1.0,1.0,7116.0,Bin_3,3.0,,,392.4425353,11
11,*,1,11,8,1,1,1,2,1,2,*,11,6,*,1,2,2,*,9.0,*,1.0,1.0,9111.0,*,3.0,,,392.4425353,11
11,Bin_1,1,11,8,1,1,1,3,1,3,Bin_1,11,2,Bin_1,1,2,2,Bin_1,2.0,Bin_3,8.0,2.0,,,,,,392.4425353,11
11,Bin_1,1,11,8,1,1,1,4,1,3,Bin_1,11,4,Bin_1,1,2,2,Bin_1,2.0,Bin_2,,,,,,,,392.4425353,11
11,Bin_1,1,11,8,1,1,1,5,1,3,Bin_5,11,8,Bin_1,1,2,2,Bin_1,2.0,Bin_2,,,,,,,,392.4425353,11
11,*,1,11,9,1,1,1,1,1,1,*,11,7,*,1,1,1,*,9.0,*,1.0,1.0,7131.0,*,3.0,,,392.4425353,11
11,*,1,11,9,1,1,1,2,1,2,*,11,10,*,1,2,2,*,9.0,*,1.0,1.0,9111.0,*,3.0,,,392.4425353,11
11,Bin_1,1,11,9,1,1,1,3,1,3,Bin_1,11,4,Bin_1,1,1,1,Bin_1,2.0,Bin_2,,,,,,,,392.4425353,11
11,Bin_1,1,11,9,1,1,1,4,1,3,Bin_5,11,2,Bin_1,1,1,1,Bin_1,2.0,Bin_2,,,,,,,,392.4425353,11
11,Bin_1,1,11,1,1,1,1,1,1,1,Bin_1,11,6,Bin_3,1,4,3,Bin_1,9.0,Bin_4,1.0,1.0,1221.0,Bin_3,4.0,,,298.0423127,11
11,Bin_1,1,11,1,1,1,1,2,1,2,Bin_5,11,8,Bin_3,1,4,3,Bin_1,9.0,Bin_3,7.0,2.0,,,,,,298.0423127,11
11,*,1,11,1,1,1,1,3,1,3,*,11,9,*,1,4,3,*,9.0,*,1.0,1.0,5211.0,*,3.0,,,298.0423127,11
11,Bin_1,1,11,1,1,1,1,4,1,3,Bin_1,11,1,Bin_2,1,4,3,Bin_1,4.0,Bin_4,8.0,2.0,,,,,,298.0423127,11
