age,sex,district,education,marital_status,B_year,employment_status,industry,main_activity
66+,2,11,8.0,1,2014,5.0,-1.0,9.0
66+,1,11,12.0,2,1979,3.0,-1.0,1.0
51-65,2,11,6.0,1,2009,-1.0,-1.0,4.0
0-18,2,11,6.0,1,2007,-1.0,-1.0,-1.0
36-50,2,11,5.0,2,2012,6.0,16213.0,1.0
19-35,1,11,10.0,4,1961,3.0,-1.0,8.0
66+,2,11,10.0,1,1999,3.0,47817.0,1.0
36-50,2,11,10.0,2,2004,-1.0,49222.0,-1.0
66+,2,11,-1.0,2,1963,-1.0,-1.0,1.0
36-50,2,11,8.0,2,2001,3.0,-1.0,1.0
0-18,2,11,9.0,2,2004,-1.0,43302.0,-1.0
0-18,1,11,11.0,2,1983,3.0,1494.0,1.0
51-65,2,11,12.0,2,1958,-1.0,-1.0,4.0
0-18,2,11,11.0,2,1965,6.0,-1.0,7.0
36-50,2,11,10.0,4,2002,3.0,-1.0,1.0
0-18,2,11,10.0,2,2009,-1.0,-1.0,7.0
36-50,2,11,13.0,1,2014,3.0,41002.0,1.0
0-18,2,11,10.0,1,2002,-1.0,-1.0,8.0
66+,1,11,16.0,2,1928,-1.0,-1.0,4.0
51-65,1,11,8.0,2,1960,5.0,47113.0,1.0
19-35,2,11,10.0,1,1996,-1.0,-1.0,7.0
66+,2,11,9.0,4,1939,-1.0,-1.0,9.0
51-65,2,11,9.0,2,1985,-1.0,-1.0,8.0
19-35,2,11,9.0,2,1981,-1.0,-1.0,1.0
19-35,2,11,11.0,4,2000,3.0,13945.0,1.0
51-65,2,11,11.0,2,1964,3.0,14101.0,1.0
19-35,1,11,12.0,2,1995,-1.0,-1.0,-1.0
51-65,1,11,12.0,2,2018,-1.0,-1.0,1.0
36-50,1,11,16.0,2,1970,2.0,64910.0,1.0
19-35,2,11,10.0,4,1995,2.0,43306.0,-1.0
51-65,1,11,10.0,2,1942,3.0,85101.0,1.0
0-18,2,11,3.0,1,2009,-1.0,-1.0,-1.0
66+,1,11,10.0,2,1955,5.0,49222.0,-1.0
19-35,1,11,10.0,2,1974,-1.0,-1.0,8.0
51-65,1,11,12.0,2,1990,-1.0,-1.0,8.0
0-18,2,11,12.0,1,2000,-1.0,-1.0,8.0
0-18,2,11,3.0,1,2011,-1.0,-1.0,-1.0
51-65,1,11,13.0,1,1968,-1.0,-1.0,-1.0
36-50,2,11,10.0,2,1964,-1.0,49222.0,1.0
19-35,1,11,13.0,1,1997,-1.0,-1.0,3.0
0-18,2,11,9.0,2,1963,-1.0,61901.0,8.0
36-50,1,11,8.0,2,1989,-1.0,16213.0,-1.0
66+,1,11,10.0,2,1943,-1.0,-1.0,9.0
0-18,1,11,10.0,2,1983,-1.0,-1.0,7.0
66+,2,11,2.0,4,1937,-1.0,-1.0,9.0
19-35,1,11,13.0,1,1982,3.0,-1.0,7.0
66+,2,11,7.0,2,1946,3.0,-1.0,7.0
0-18,1,11,11.0,1,2002,-1.0,-1.0,8.0
19-35,1,11,11.0,2,1994,2.0,53200.0,1.0
36-50,1,11,13.0,2,1971,5.0,46303.0,1.0
19-35,2,11,12.0,2,1989,-1.0,97006.0,1.0
0-18,2,11,9.0,1,2004,-1.0,-1.0,-1.0
0-18,2,11,13.0,1,2011,5.0,31001.0,-1.0
0-18,1,11,2.0,1,1994,-1.0,43302.0,1.0
19-35,2,11,13.0,2,1995,-1.0,-1.0,-1.0
19-35,1,11,4.0,2,2014,-1.0,-1.0,1.0
0-18,1,11,6.0,1,2007,-1.0,-1.0,-1.0
19-35,2,11,11.0,1,1990,3.0,14101.0,1.0
66+,2,11,16.0,1,1994,-1.0,-1.0,-1.0
0-18,1,11,10.0,1,2002,-1.0,-1.0,8.0
36-50,1,11,11.0,1,1971,6.0,-1.0,7.0
19-35,1,11,5.0,1,1960,-1.0,-1.0,-1.0
19-35,1,11,9.0,4,1974,-1.0,-1.0,1.0
0-18,2,11,5.0,2,1965,3.0,64191.0,9.0
66+,2,11,8.0,1,1963,-1.0,-1.0,1.0
0-18,2,11,9.0,2,2003,5.0,49212.0,7.0
51-65,2,11,12.0,2,1967,4.0,1414.0,-1.0
19-35,2,11,13.0,1,1972,3.0,49222.0,1.0
66+,2,11,7.0,2,1944,-1.0,-1.0,7.0
36-50,2,11,10.0,2,2014,3.0,-1.0,1.0
0-18,1,11,9.0,1,2004,-1.0,-1.0,-1.0
36-50,2,11,12.0,2,1982,-1.0,-1.0,7.0
0-18,2,11,9.0,2,1963,-1.0,61901.0,8.0
19-35,1,11,9.0,2,1953,-1.0,10713.0,1.0
66+,1,11,2.0,4,1929,-1.0,-1.0,9.0
0-18,2,11,5.0,2,1944,1.0,47598.0,7.0
36-50,1,11,13.0,2,1976,2.0,41002.0,1.0
36-50,2,11,10.0,1,1968,3.0,14101.0,1.0
36-50,2,11,11.0,1,1979,3.0,-1.0,-1.0
0-18,1,11,8.0,1,2005,-1.0,-1.0,-1.0
19-35,2,11,7.0,2,2008,2.0,-1.0,-1.0
0-18,2,11,12.0,1,2000,-1.0,-1.0,8.0
66+,1,11,10.0,2,1949,5.0,47113.0,1.0
19-35,2,11,9.0,1,1982,-1.0,-1.0,-1.0
51-65,2,11,12.0,2,1963,3.0,47112.0,1.0
19-35,1,11,12.0,1,1999,-1.0,-1.0,8.0
51-65,1,11,15.0,2,2015,3.0,14101.0,1.0
66+,1,11,6.0,2,1945,-1.0,-1.0,9.0
0-18,2,11,6.0,1,2009,-1.0,-1.0,-1.0
51-65,2,11,9.0,4,1955,-1.0,-1.0,7.0
66+,2,11,5.0,4,1937,-1.0,-1.0,-1.0
0-18,2,11,-1.0,1,2017,-1.0,-1.0,-1.0
51-65,1,11,11.0,1,1945,3.0,-1.0,1.0
66+,1,11,2.0,1,2011,-1.0,47113.0,1.0
0-18,2,11,7.0,2,1978,3.0,41002.0,7.0
36-50,2,11,11.0,2,1983,2.0,97005.0,1.0
36-50,1,11,11.0,5,1982,3.0,41001.0,1.0
51-65,1,11,11.0,2,1974,-1.0,-1.0,1.0
66+,2,11,7.0,2,1974,-1.0,-1.0,9.0
19-35,2,11,10.0,2,1985,3.0,97006.0,1.0
0-18,1,11,13.0,2,2018,3.0,1271.0,1.0
51-65,2,11,15.0,2,1965,1.0,85211.0,1.0
0-18,1,11,5.0,1,1963,-1.0,-1.0,1.0
19-35,2,11,11.0,2,1992,-1.0,45402.0,-1.0
19-35,1,11,5.0,2,1977,3.0,97006.0,8.0
19-35,2,11,13.0,2,2001,5.0,-1.0,1.0
19-35,1,11,13.0,1,1958,-1.0,-1.0,7.0
66+,1,11,8.0,4,1942,-1.0,-1.0,-1.0
66+,1,11,10.0,2,1978,3.0,-1.0,1.0
36-50,1,11,15.0,1,1955,-1.0,84130.0,1.0
19-35,2,11,13.0,1,1990,-1.0,-1.0,1.0
19-35,1,11,8.0,1,1998,-1.0,-1.0,9.0
19-35,1,11,11.0,1,1995,6.0,45201.0,1.0
0-18,2,11,8.0,1,2007,-1.0,-1.0,8.0
0-18,2,11,7.0,1,2005,-1.0,-1.0,-1.0
19-35,1,11,13.0,2,1992,6.0,10711.0,1.0
36-50,1,11,2.0,2,1991,6.0,-1.0,4.0
66+,2,11,2.0,2,1954,-1.0,49232.0,1.0
0-18,1,11,11.0,2,1946,-1.0,47529.0,-1.0
0-18,2,11,10.0,1,2004,3.0,-1.0,7.0
19-35,1,11,8.0,1,1998,-1.0,-1.0,9.0
0-18,1,11,12.0,1,2001,-1.0,-1.0,8.0
36-50,1,11,11.0,1,1958,3.0,49221.0,1.0
36-50,2,11,15.0,1,1975,3.0,85101.0,1.0
51-65,2,11,0.0,1,1971,-1.0,10711.0,7.0
66+,1,11,10.0,2,1949,5.0,47113.0,1.0
19-35,1,11,13.0,1,1997,-1.0,-1.0,-1.0
66+,2,11,10.0,4,1940,-1.0,-1.0,4.0
0-18,2,11,13.0,2,1998,3.0,41001.0,-1.0
51-65,2,11,19.0,2,1982,-1.0,64910.0,1.0
0-18,2,11,11.0,1,2001,-1.0,-1.0,8.0
0-18,2,11,0.0,1,2014,-1.0,-1.0,-1.0
51-65,1,11,10.0,1,1957,3.0,84110.0,1.0
51-65,1,11,10.0,2,1996,-1.0,-1.0,-1.0
0-18,1,11,12.0,1,2000,-1.0,-1.0,8.0
0-18,1,11,9.0,1,1977,-1.0,-1.0,7.0
51-65,1,11,8.0,2,1954,3.0,85492.0,1.0
36-50,1,11,-1.0,2,1938,6.0,-1.0,7.0
36-50,2,11,13.0,1,1981,5.0,-1.0,1.0
51-65,1,11,11.0,1,1985,1.0,-1.0,1.0
51-65,2,11,19.0,2,1960,3.0,97006.0,1.0
19-35,2,11,13.0,2,1991,3.0,85101.0,1.0
66+,2,11,1.0,1,2002,3.0,-1.0,-1.0
36-50,2,11,-1.0,1,1946,-1.0,-1.0,-1.0
19-35,1,11,12.0,1,1995,3.0,23935.0,1.0
0-18,1,11,5.0,1,1976,2.0,-1.0,-1.0
0-18,1,11,7.0,1,1992,-1.0,-1.0,-1.0
0-18,2,11,8.0,1,2005,-1.0,-1.0,-1.0
66+,1,11,5.0,2,1936,-1.0,-1.0,5.0
36-50,1,11,9.0,4,1945,-1.0,-1.0,7.0
66+,1,11,13.0,4,1987,-1.0,14101.0,8.0
66+,1,11,12.0,2,1968,-1.0,-1.0,7.0
