age,sex,education,marital_status,B_year,employment_status
66+,2,8,1,2000,5
66+,1,12,2,1979,3
51-65,2,6,1,2009,-1
0-18,2,6,1,2007,-1
36-50,2,5,2,2012,6
19-35,1,10,4,1961,3
66+,2,10,1,1999,3
36-50,2,10,2,2004,-1
66+,2,-1,2,1963,-1
36-50,2,8,2,2001,3
0-18,2,9,2,2004,-1
0-18,1,11,2,1983,3
51-65,2,12,2,1958,-1
0-18,2,11,2,1965,6
36-50,2,10,4,2002,3
0-18,2,10,2,2009,-1
36-50,2,13,1,2014,3
0-18,2,10,1,2002,-1
66+,1,16,2,1928,-1
51-65,1,8,2,1960,5
19-35,2,10,1,1996,-1
66+,2,9,4,1989,-1
51-65,2,9,2,1985,-1
19-35,2,9,2,1981,-1
19-35,2,11,4,2000,3
51-65,2,11,2,1964,3
19-35,1,12,2,1995,-1
51-65,1,12,2,2018,-1
36-50,1,16,2,1970,2
19-35,2,10,4,1995,2
51-65,1,10,2,1942,3
0-18,2,3,1,2009,-1
66+,1,10,2,1955,5
19-35,1,10,2,1974,-1
51-65,1,12,2,1990,-1
0-18,2,12,1,2000,-1
0-18,2,3,1,2011,-1
51-65,1,13,1,1968,-1
36-50,2,10,2,1964,-1
19-35,1,13,1,1997,-1
0-18,2,9,2,1963,-1
36-50,1,8,2,1989,-1
66+,1,10,2,1943,-1
0-18,1,10,2,1983,-1
66+,2,2,4,1937,-1
19-35,1,13,1,1982,3
66+,2,7,2,1946,3
0-18,1,11,1,2002,-1
19-35,1,11,2,1994,2
36-50,1,13,2,1971,5
19-35,2,12,2,1989,-1
0-18,2,9,1,2004,-1
0-18,2,13,1,2011,5
0-18,1,2,1,1994,-1
19-35,2,13,2,1995,-1
19-35,1,4,2,2014,-1
0-18,1,6,1,2007,-1
19-35,2,11,1,1990,3
66+,2,16,1,1994,-1
0-18,1,10,1,2002,-1
36-50,1,11,1,1971,6
19-35,1,5,1,1960,-1
19-35,1,9,4,1974,-1
0-18,2,5,2,1965,3
66+,2,8,1,1963,-1
0-18,2,9,2,2003,5
51-65,2,12,2,1967,4
19-35,2,13,1,1972,3
66+,2,7,2,1944,-1
36-50,2,10,2,2014,3
0-18,1,9,1,2014,-1
36-50,2,12,2,1982,-1
0-18,2,9,2,1963,-1
19-35,1,9,2,1953,-1
66+,1,2,4,1929,-1
0-18,2,5,2,1944,1
36-50,1,13,2,1976,2
36-50,2,10,1,1968,3
36-50,2,11,1,1979,3
0-18,1,8,1,2015,-1
19-35,2,7,2,2018,2
0-18,2,12,1,2010,-1
66+,1,10,2,1949,5
19-35,2,9,1,1982,-1
51-65,2,12,2,1963,3
19-35,1,12,1,1996,-1
