sex,birth_year,birth_month,age,ethnicity,religion,marital_status,curr_educ,education
Male,71,6,48,Sri Lankan Tamil,Buddhist,Currently Married (Registered),Does not attend,Passed G.C.E (O/L) or equivalent
Female,71,4,48,Sri Lankan Tamil,Other Christian,Currently Married (Registered),Does not attend,Passed Grade 6
Male,43,8,76,Sri Lankan Tamil,Other Christian,Widowed,Does not attend,Passed Grade 2
Male,1,1,18,Sri Lankan Tamil,Other Christian,Never Married,Does not attend,Passed Grade 12
Male,66,8,53,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 5
Female,71,2,48,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 9
Male,94,3,25,Sinhala,Buddhist,Never Married,Does not attend,Passed Grade 10
Male,71,4,48,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed Grade 6
Female,77,9,42,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed G.C.E (O/L) or equivalent
Male,0,8,19,Sinhala,Roman Catholic,Never Married,School,Passed Grade 12
Male,0,8,19,Sinhala,Roman Catholic,Never Married,School,Passed Grade 12
Male,4,3,15,Sinhala,Roman Catholic,Never Married,School,Passed Grade 9
Male,49,7,70,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed G.C.E (O/L) or equivalent
Female,53,11,66,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed G.C.E (A/L) or equivalent
Male,85,9,34,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed G.C.E (O/L) or equivalent
Female,89,4,30,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed G.C.E (A/L) or equivalent
Male,16,4,3,Sinhala,Roman Catholic,Never Married,Does not attend,Passed Grade 10
Male,66,10,53,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 4
Female,66,6,53,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 2
Female,3,5,16,Sinhala,Buddhist,Never Married,School,Passed Grade 10
Male,69,8,50,Sinhala,Buddhist,Never Married,Does not attend,Passed Grade 1
Male,84,9,35,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 10
