age,sex,district,education,marital_status,B_year,employment_status,industry,main_activity
66+,2,11,8,1,2014,5,-1,9
66+,1,11,12,2,1979,3,-1,1
51-65,2,11,6,1,2009,-1,-1,4
0-18,2,11,6,1,2007,-1,-1,-1
36-50,2,11,5,2,2012,6,16213,1
19-35,1,11,10,4,1961,3,-1,8
66+,2,11,10,1,1999,3,47817,1
36-50,2,11,10,2,2004,-1,49222,-1
66+,2,11,-1,2,1963,-1,-1,1
36-50,2,11,8,2,2001,3,-1,1
0-18,2,11,9,2,2004,-1,43302,-1
0-18,1,11,11,2,1983,3,1494,1
51-65,2,11,12,2,1958,-1,-1,4
0-18,2,12,11,2,1965,6,-1,7
36-50,2,12,10,4,2002,3,-1,1
0-18,2,11,10,2,2009,-1,-1,7
36-50,2,11,13,1,2014,3,41002,1
0-18,2,11,10,1,2002,-1,-1,8
66+,1,11,16,2,1928,-1,-1,4
51-65,1,11,8,2,1960,5,47113,1
19-35,2,12,10,1,1996,-1,-1,7
66+,2,11,9,4,1939,-1,-1,9
51-65,2,11,9,2,1985,-1,-1,8
19-35,2,11,9,2,1981,-1,-1,1
19-35,2,11,11,4,2000,3,13945,1
51-65,2,11,11,2,1964,3,14101,1
19-35,1,11,12,2,1995,-1,-1,-1
51-65,1,11,12,2,2018,-1,-1,1
36-50,1,11,16,2,1970,2,64910,1
19-35,2,11,10,4,1995,2,43306,-1
51-65,1,11,10,2,1942,3,85101,1
0-18,2,11,3,1,2009,-1,-1,-1
66+,1,11,10,2,1955,5,49222,-1
19-35,1,11,10,2,1974,-1,-1,8
51-65,1,11,12,2,1990,-1,-1,8
0-18,2,11,12,1,2000,-1,-1,8
0-18,2,11,3,1,2011,-1,-1,-1
51-65,1,11,13,1,1968,-1,-1,-1
36-50,2,11,10,2,1964,-1,49222,1
19-35,1,11,13,1,1997,-1,-1,3
0-18,2,11,9,2,1963,-1,61901,8
36-50,1,11,8,2,1989,-1,16213,-1
66+,1,11,10,2,1943,-1,-1,9
0-18,1,11,10,2,1983,-1,-1,7
66+,2,11,2,4,1937,-1,-1,9
19-35,1,11,13,1,1982,3,-1,7
66+,2,11,7,2,1946,3,-1,7
0-18,1,11,11,1,2002,-1,-1,8
19-35,1,13,11,2,1994,2,53200,1
36-50,1,11,13,2,1971,5,46303,1
19-35,2,11,12,2,1989,-1,97006,1
0-18,2,11,9,1,2004,-1,-1,-1
0-18,2,11,13,1,2011,5,31001,-1
0-18,1,11,2,1,1994,-1,43302,1
19-35,2,11,13,2,1995,-1,-1,-1
19-35,1,11,4,2,2014,-1,-1,1
0-18,1,11,6,1,2007,-1,-1,-1
19-35,2,11,11,1,1990,3,14101,1
66+,2,14,16,1,1994,-1,-1,-1
0-18,1,11,10,1,2002,-1,-1,8
36-50,1,11,11,1,1971,6,-1,7
19-35,1,11,5,1,1960,-1,-1,-1
19-35,1,11,9,4,1974,-1,-1,1
0-18,2,11,5,2,1965,3,64191,9
66+,2,11,8,1,1963,-1,-1,1
0-18,2,11,9,2,2003,5,49212,7
51-65,2,11,12,2,1967,4,1414,-1
19-35,2,11,13,1,1972,3,49222,1
66+,2,11,7,2,1944,-1,-1,7
36-50,2,11,10,2,2014,3,-1,1
0-18,1,11,9,1,2004,-1,-1,-1
36-50,2,11,12,2,1982,-1,-1,7
0-18,2,11,9,2,1963,-1,61901,8
19-35,1,11,9,2,1953,-1,10713,1
66+,1,11,2,4,1929,-1,-1,9
0-18,2,11,5,2,1944,1,47598,7
36-50,1,11,13,2,1976,2,41002,1
36-50,2,11,10,1,1968,3,14101,1
36-50,2,11,11,1,1979,3,-1,-1
0-18,1,11,8,1,2005,-1,-1,-1
19-35,2,11,7,2,2008,2,-1,-1
0-18,2,19,12,1,2000,-1,-1,8
66+,1,11,10,2,1949,5,47113,1
19-35,2,11,9,1,1982,-1,-1,-1
51-65,2,11,12,2,1963,3,47112,1
19-35,1,11,12,1,1999,-1,-1,8
51-65,1,11,15,2,2015,3,14101,1
66+,1,11,6,2,1945,-1,-1,9
0-18,2,10,6,1,2009,-1,-1,-1
51-65,2,11,9,4,1955,-1,-1,7
66+,2,11,5,4,1937,-1,-1,-1
0-18,2,16,-1,1,2017,-1,-1,-1
51-65,1,11,11,1,1945,3,-1,1
66+,1,11,2,1,2011,-1,47113,1
0-18,2,11,7,2,1978,3,41002,7
36-50,2,11,11,2,1983,2,97005,1
36-50,1,11,11,5,1982,3,41001,1
51-65,1,11,11,2,1974,-1,-1,1
66+,2,11,7,2,1974,-1,-1,9
19-35,2,15,10,2,1985,3,97006,1
