district,sector,month,psu,snumber,hhno,nhh,result,person_serial_no,r2_school_education,type_of_school,grade_this_year,grade_last_year,distance,transport_medium,time_to_school,noschooling_reason,reason_leave_school,when_stop_schooling
11,1,1,111004,Grade 3,Grade 1,1,Walking,4,House keeping / Family business,_missing_, , , , , , ,7, 
11,1,1,111004,Grade 3,Grade 1,1,Walking,5,School too far away,_missing_,7,6,14,5,45, , , 
11,1,1,111005,Grade 1,Grade 1,1,Walking,3,School too far away,_missing_,8,7,5,4,30, , , 
11,1,1,111005,Grade 1,Grade 1,1,Walking,4,School too far away,_missing_,5,4,5,4,30, , , 
11,1,1,111007,Grade 10,Grade 1,1,Walking,3,School too far away,_missing_,9,8,2,1,30, , , 
11,1,1,111008,Grade 5,Grade 1,1,Walking,4,House keeping / Family business,_missing_, , , , , , ,8,2017
11,1,1,111008,Grade 9,Grade 1,1,Walking,4,School too far away,_missing_,10,9,6,3,30, , , 
11,1,1,111008,Grade 9,Grade 1,1,Walking,5,School too far away,_missing_,7,6,6,3,30, , , 
11,1,1,111009,Grade 3,Grade 1,1,Walking,3,School too far away,_missing_,1,19,4,3,10, , , 
11,1,1,111010,Grade 5,Grade 1,1,Walking,3,School too far away,_missing_,13,12,4,4,20, , , 
11,1,1,111010,Grade 5,Grade 1,1,Walking,4,School too far away,_missing_,11,10,4,4,20, , , 
11,1,1,111010,Grade 5,Grade 1,1,Walking,5,School too far away,_missing_,9,8,4,4,20, , , 
11,1,1,111010,Grade 10,Grade 1,1,Walking,7,School too far away,_missing_,5,4,2,3,15, , , 
11,1,2,111011,Grade 5,Grade 1,1,Walking,3,School too far away,_missing_,6,5,1,3,10, , , 
11,1,2,111011,Grade 5,Grade 1,1,Walking,4,School too far away,_missing_,2,1,1,3,10, , , 
11,1,1,111012,Grade 2,Grade 1,1,Walking,3,House keeping / Family business,_missing_, , , , , , ,9,2018
11,1,2,111014,Grade 1,Grade 1,1,Walking,3,School too far away,_missing_,10,9,15,5,60, , , 
11,1,2,111014,Grade 1,Grade 1,1,Walking,4,School too far away,_missing_,8,7,2,6,30, , , 
11,1,2,111014,Grade 1,Grade 1,1,Walking,5,School too far away,_missing_,2,1,1,3,10, , , 
11,2,2,111015,Grade 1,Grade 1,1,Walking,3,School too far away,_missing_,9,8,1,6,10, , , 
11,2,2,111015,Grade 1,Grade 1,1,Walking,4,School too far away,_missing_,6,5,1,6,10, , , 
11,2,2,111015,Grade 1,Grade 1,1,Walking,5,School too far away,_missing_,2,1,3,5,10, , , 
11,1,2,111016,Grade 5,Grade 1,1,Walking,3,School too far away,_missing_,13,12,9,3,60, , , 
11,1,2,111016,Grade 5,Grade 1,1,Walking,4,School too far away,_missing_,11,10,9,3,60, , , 
11,1,2,111016,Grade 10,Grade 1,1,Walking,3,House keeping / Family business,_missing_, , , , , , ,8,2018
11,1,2,111016,Grade 10,Grade 1,1,Walking,4,School too far away,_missing_,8,7,9,5,60, , , 
11,1,2,111019,Grade 2,Grade 1,1,Walking,4,School too far away,_missing_,13,11,3,3,15, , , 
11,1,2,111019,Grade 10,Grade 1,1,Walking,4,School too far away,_missing_,13,12,13,6,60, , , 
11,1,2,111019,Grade 10,Grade 1,1,Walking,5,School too far away,_missing_,13,12,13,6,60, , , 
11,1,3,111021,Grade 2,Grade 1,1,Walking,3,School too far away,_missing_,3,2,1,3,10, , , 
11,1,3,111021,Grade 2,Grade 1,1,Walking,4,School too far away,_missing_,3,2,1,3,10, , , 
11,1,3,111021,Grade 9,Grade 1,1,Walking,4,House keeping / Family business,_missing_, , , , , , ,6,2017
11,1,3,111023,Grade 6,Grade 1,1,Walking,3,School too far away,_missing_,5,4,8,3,30, , , 
11,1,3,111023,Grade 10,Grade 1,1,Walking,5,School too far away,_missing_,10,9,4,3,20, , , 
11,1,3,111023,Grade 10,Grade 1,1,Walking,6,School too far away,_missing_,7,6,4,3,20, , , 
11,1,3,111024,Grade 7,Grade 1,1,Walking,3,School too far away,_missing_,10,9,3,3,20, , , 
11,1,3,111024,Grade 7,Grade 1,1,Walking,4,School too far away,_missing_,6,5,2,3,15, , , 
11,1,3,111024,Grade 7,Grade 1,1,Walking,5,School too far away,_missing_,1,19,2,3,15, , , 
11,2,3,111025,Grade 6,Grade 1,1,Walking,4,School too far away,_missing_,12,11,10,5,75, , , 
11,2,3,111025,Grade 10,Grade 1,1,Walking,2,School too far away,_missing_,12,11,20,6,45, , , 
11,2,3,111027,Grade 7,Grade 1,1,Walking,3,School too far away,_missing_,4,3,3,5,20, , , 
11,2,3,111027,Grade 7,Grade 1,1,Walking,4,School too far away,_missing_,3,2,3,5,20, , , 
11,1,3,111028,Grade 2,Grade 1,1,Walking,3,School too far away,_missing_,6,4,3,4,15, , , 
11,1,3,111028,Grade 2,Grade 1,1,Walking,4,School too far away,_missing_,3,2,3,4,15, , , 
11,1,3,111030,Grade 8,Grade 1,1,Walking,3,School too far away,_missing_,7,6,1,3,10, , , 
11,1,3,111033,Grade 7,Grade 1,1,Walking,4,House keeping / Family business,_missing_, , , , , , ,8,2018
11,1,3,111033,Grade 7,Grade 1,1,Walking,5,School too far away,_missing_,11,10,15,5,45, , , 
11,2,4,111034,Grade 1,Grade 1,1,Walking,3,Financial problems,_missing_, , , , , ,7, , 
11,1,4,111035,Grade 4,Grade 1,1,Walking,3,School too far away,_missing_,6,5,2,3,10, , , 
11,1,4,111035,Grade 4,Grade 1,1,Walking,4,School too far away,_missing_,3,2,2,3,10, , , 
11,1,4,111037,Grade 5,Grade 1,1,Walking,3,School too far away,_missing_,9,8,3,6,25, , , 
11,1,4,111037,Grade 5,Grade 1,1,Walking,4,School too far away,_missing_,3,2,0,1,15, , , 
11,2,4,111039,Grade 5,Grade 1,1,Walking,5,School too far away,_missing_,2,1,1,1,20, , , 
11,1,4,111040,Grade 1,Grade 1,1,Walking,3,School too far away,_missing_,12,11,5,6,30, , , 
11,1,4,111040,Grade 5,Grade 1,1,Walking,7,School too far away,_missing_,13,12,3,6,15, , , 
11,1,4,111040,Grade 5,Grade 1,1,Walking,8,School too far away,_missing_,3,2,3,3,5, , , 
11,1,4,111041,Grade 6,Grade 1,1,Walking,4,School too far away,_missing_,9,8,2,3,10, , , 
11,1,4,111042,Grade 10,Grade 1,1,Walking,3,School too far away,_missing_,2,1,2,6,15, , , 
11,1,4,111044,Grade 1,Grade 1,1,Walking,4,School too far away,_missing_,12,11,16,5,60, , , 
11,1,4,111044,Grade 5,Grade 1,1,Walking,5,House keeping / Family business,_missing_, , , , , , ,7,2018
