district,sector,month,strata,psu,snumber,hhno,nhh,result,person_serial_no,residence,relationship,sex,birth_year,birth_month,age,registration,ethnicity,religion,marital_status,curr_educ,education,main_activity,is_active,finalweight,B_year
11,1,1,111,111001,2,1,1,1,1,Yes,Head of the household,Male,58,3,60,1,Sri Lankan Moors/Muslim,Islam,Currently Married (Registered),Does not attend,Passed Grade 12,"Retired (Private, no pension)",No,298.0423127,1958
11,1,1,111,111001,2,1,1,1,2,Yes,Wife/Husband,Female,60,9,58,1,Sri Lankan Moors/Muslim,Islam,Currently Married (Registered),Does not attend,Passed Grade 10,Student,No,298.0423127,1960
11,1,1,111,111001,2,1,1,1,3,Yes,Son/Daughter,Female,91,1,28,1,Sri Lankan Moors/Muslim,Islam,Currently Married (Registered),Does not attend,Passed G.C.E (A/L) or equivalent,Engaged in economic activity,Yes,298.0423127,1991
11,1,1,111,111001,2,1,1,1,4,Yes,Son/Daughter,Female,92,8,26,1,Sri Lankan Moors/Muslim,Islam,Never Married,University,Passed G.C.E (A/L) or equivalent,Too old / Disabled,No,298.0423127,1992
11,1,1,111,111001,2,1,1,1,5,Yes,Other Relative,Female,16,1,3,1,Sri Lankan Moors/Muslim,Islam,Never Married,Pre School,Passed Grade 10,Engaged in economic activity,No,298.0423127,2016
11,1,1,111,111001,6,1,1,1,1,Yes,Head of the household,Female,42,6,76,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed G.C.E (O/L) or equivalent,Other,No,298.0423127,1942
11,1,1,111,111001,6,1,1,1,2,Yes,Wife/Husband,Male,40,3,78,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 5,Other,No,298.0423127,1940
11,1,1,111,111001,6,1,1,1,3,Yes,Son/Daughter,Female,70,4,48,1,Sinhala,Buddhist,Never Married,Does not attend,Passed Grade 10,Engaged in economic activity,Yes,298.0423127,1970
11,1,1,111,111002,3,1,1,1,1,Yes,Head of the household,Female,62,3,56,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 10,Student,No,436.4627395,1962
11,1,1,111,111002,3,1,1,1,2,Yes,Son/Daughter,Female,82,3,36,1,Sinhala,Buddhist,Never Married,Does not attend,Passed G.C.E (A/L) or equivalent,Engaged in economic activity,Yes,436.4627395,1982
11,1,1,111,111002,3,1,1,1,3,Yes,Son/Daughter,Male,92,4,26,1,Sinhala,Buddhist,Never Married,Does not attend,Passed G.C.E (A/L) or equivalent,Engaged in economic activity,Yes,436.4627395,1992
11,1,1,111,111002,3,1,1,1,4,Yes,Son/Daughter,Male,96,11,22,1,Sinhala,Buddhist,Never Married,Does not attend,Passed G.C.E (O/L) or equivalent,Engaged in economic activity,Yes,436.4627395,1996
11,1,1,111,111002,3,1,1,1,5,Now,Wife/Husband,Male,60,3,58,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 8,Engaged in economic activity,No,436.4627395,1960
11,1,1,111,111002,9,1,1,1,1,Yes,Head of the household,Male,46,2,72,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 7,Other,No,436.4627395,1946
11,1,1,111,111002,9,1,1,1,2,Yes,Wife/Husband,Female,57,11,61,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 4,Student,No,436.4627395,1957
11,1,1,111,111002,9,1,1,1,3,Yes,Son/Daughter,Male,88,3,30,1,Sinhala,Buddhist,Never Married,Does not attend,Passed Grade 10,Engaged in economic activity,Yes,436.4627395,1988
11,1,1,111,111002,9,1,1,1,4,Yes,Son/Daughter,Male,89,7,29,1,Sinhala,Buddhist,Never Married,Does not attend,Passed G.C.E (A/L) or equivalent,Engaged in economic activity,Yes,436.4627395,1989
11,2,1,112,111003,6,1,1,1,1,Yes,Head of the household,Female,50,4,68,1,Sinhala,Buddhist,Widowed,Does not attend,Passed G.C.E (O/L) or equivalent,Engaged in economic activity,Yes,285.6012832,1950
11,1,1,111,111004,3,1,1,1,1,Yes,Head of the household,Male,70,1,49,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed G.C.E (A/L) or equivalent,Engaged in economic activity,Yes,271.9852019,1970
11,1,1,111,111004,3,1,1,1,2,Yes,Wife/Husband,Female,70,8,48,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed G.C.E (O/L) or equivalent,Engaged in economic activity,Yes,271.9852019,1970
11,1,1,111,111004,3,1,1,1,3,Yes,Son/Daughter,Male,97,11,21,1,Sinhala,Buddhist,Never Married,Other educational institution,Passed G.C.E (A/L) or equivalent,Engaged in economic activity,Yes,271.9852019,1997
11,1,1,111,111004,3,1,1,1,4,Yes,Son/Daughter,Female,3,1,16,1,Sinhala,Buddhist,Never Married,Pending G.C.E.(O/L or A/L),Passed Grade 10,Too old / Disabled,No,271.9852019,2003
11,1,1,111,111004,3,1,1,1,5,Yes,Son/Daughter,Female,7,3,11,1,Sinhala,Buddhist,Never Married,School,Passed Grade 6,Engaged in economic activity,No,271.9852019,2007
11,1,1,111,111004,3,1,1,1,6,Yes,Parent of head/spouse,Female,43,9,75,1,Sinhala,Buddhist,Widowed,Does not attend,Passed G.C.E (A/L) or equivalent,Other,No,271.9852019,1943
11,1,1,111,111004,7,1,1,1,1,Yes,Head of the household,Female,64,11,54,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed G.C.E (O/L) or equivalent,Engaged in economic activity,Yes,271.9852019,1964
11,1,1,111,111004,7,1,1,1,2,Now,Wife/Husband,Male,61,10,57,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 10,Engaged in economic activity,No,271.9852019,1961
11,1,1,111,111004,7,1,1,1,3,Yes,Son/Daughter,Male,93,10,25,1,Sinhala,Buddhist,Never Married,Vocational/Technical institution,Passed G.C.E (A/L) or equivalent,Engaged in economic activity,Yes,271.9852019,1993
11,1,1,111,111004,7,1,1,1,4,Yes,Son/Daughter,Female,94,10,24,1,Sinhala,Buddhist,Never Married,Does not attend,Passed Grade 12,Seeking work,No,271.9852019,1994
11,1,1,111,111005,1,1,1,1,1,Yes,Head of the household,Male,79,4,39,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Post Graduate Degree/Diploma,Engaged in economic activity,Yes,495.0953281,1979
11,1,1,111,111005,1,1,1,1,2,Yes,Wife/Husband,Female,80,4,38,1,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,PhD,Student,No,495.0953281,1980
11,1,1,111,111005,1,1,1,1,3,Yes,Son/Daughter,Male,6,7,12,1,Sinhala,Buddhist,Never Married,School,Passed Grade 7,Engaged in economic activity,No,495.0953281,2006
11,1,1,111,111005,1,1,1,1,4,Yes,Son/Daughter,Male,9,4,9,1,Sinhala,Buddhist,Never Married,School,Passed Grade 4,Engaged in economic activity,No,495.0953281,2009
11,1,1,111,111005,7,1,1,1,1,Yes,Head of the household,Male,91,4,27,1,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed Degree,Engaged in economic activity,Yes,495.0953281,1991
11,1,1,111,111005,7,1,1,1,2,Yes,Wife/Husband,Female,92,1,27,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Degree,Student,No,495.0953281,1992
11,2,1,112,111006,1,1,1,1,1,Yes,Head of the household,Female,60,6,58,1,Sinhala,Buddhist,Widowed,Does not attend,Passed Grade 8,Engaged in economic activity,Yes,305.2323975,1960
11,2,1,112,111006,1,1,1,1,2,Yes,Son/Daughter,Male,89,9,29,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 9,Engaged in economic activity,Yes,305.2323975,1989
11,2,1,112,111006,1,1,1,1,3,Yes,Other Relative,Female,97,1,22,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 10,Student,No,305.2323975,1997
