district,sector,month,psu,snumber,hhno,nhh,result,person_serial_no,residence,relationship,sex,birth_year,birth_month,age,registration,ethnicity,religion,marital_status,curr_educ,education,main_activity,is_active,main_occupation,industry,employment_status,uresidencf,live,finalweight,B_year
11,1,1,111088,1,1,1,1,1,1,1,2,79,2,39,1,1,4,2,9.0,10.0,1.0,1.0,7531.0,13921.0,5.0,,,392.4425353,1979
11,1,1,111088,1,1,1,1,2,1,2,1,72,8,46,1,1,4,2,9.0,5.0,1.0,1.0,8350.0,79903.0,3.0,,,392.4425353,1972
11,1,1,111088,1,1,1,1,3,1,3,2,2,3,16,1,1,4,1,6.0,10.0,8.0,2.0,,,,,,392.4425353,2002
11,1,1,111088,1,1,1,1,4,1,3,1,14,3,4,1,1,4,1,1.0,,,,,,,,,392.4425353,2014
11,1,1,111088,3,1,1,1,1,1,1,2,60,10,58,1,1,4,2,9.0,4.0,1.0,1.0,5211.0,47113.0,6.0,,,392.4425353,1960
11,1,1,111088,3,1,1,1,2,1,3,2,91,4,27,1,1,4,2,9.0,13.0,1.0,1.0,2342.0,85101.0,3.0,,,392.4425353,1991
11,1,1,111088,3,1,1,1,3,1,5,1,88,9,30,1,1,4,2,9.0,10.0,1.0,1.0,3113.0,55101.0,3.0,,,392.4425353,1988
11,1,1,111088,3,1,1,1,4,1,5,2,15,3,3,1,1,4,1,1.0,,,,,,,,,392.4425353,2015
11,1,1,111088,3,1,1,1,5,1,5,2,18,4,0,1,1,4,1,,,,,,,,,,392.4425353,2018
11,1,1,111088,3,1,1,1,6,2,5,2,37,6,81,1,1,4,4,9.0,5.0,,,,,,1.0,3.0,392.4425353,1937
11,1,1,111088,3,1,1,1,7,1,2,1,60,12,58,1,1,4,2,9.0,8.0,1.0,1.0,5221.0,47113.0,5.0,,,392.4425353,1960
11,1,1,111088,5,1,1,1,1,1,1,1,76,8,42,1,4,3,2,9.0,7.0,1.0,1.0,8323.0,49222.0,3.0,,,392.4425353,1976
11,1,1,111088,5,1,1,1,2,1,2,2,72,8,46,1,1,1,2,9.0,10.0,1.0,1.0,7531.0,14105.0,5.0,,,392.4425353,1972
11,1,1,111088,5,1,1,1,3,1,3,1,98,9,20,1,4,3,1,9.0,10.0,1.0,1.0,7412.0,33140.0,3.0,,,392.4425353,1998
