district,sector,month,strata,psu,snumber,hhno,nhh,result,person_serial_no,residence,relationship,sex,birth_year,birth_month,age,registration,ethnicity,religion,marital_status,curr_educ,education,main_activity,is_active,finalweight,B_year
62,2,11,622,162033,1,1,1,1,1,Yes,Head of the household,Male,71,6,48,1,Sri Lankan Tamil,Buddhist,Currently Married (Registered),Does not attend,Passed G.C.E (O/L) or equivalent,Retired (Government pension),Yes,467.3529278,1971
62,2,11,622,162033,1,1,1,1,2,Yes,Wife/Husband,Female,71,4,48,1,Sri Lankan Tamil,Other Christian,Currently Married (Registered),Does not attend,Passed Grade 6,Engaged in economic activity,Yes,467.3529278,1971
62,2,11,622,162033,1,1,1,1,3,Yes,Other Relative,Male,43,8,76,1,Sri Lankan Tamil,Other Christian,Widowed,Does not attend,Passed Grade 2,Other,No,467.3529278,1943
62,2,11,622,162033,1,1,1,1,4,Now,Son/Daughter,Male,1,1,18,1,Sri Lankan Tamil,Other Christian,Never Married,Does not attend,Passed Grade 12,Engaged in economic activity,No,467.3529278,2001
62,2,11,622,162033,5,1,1,1,1,Yes,Head of the household,Male,66,8,53,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 5,Engaged in economic activity,Yes,467.3529278,1966
62,2,11,622,162033,5,1,1,1,2,Yes,Wife/Husband,Female,71,2,48,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 9,Engaged in economic activity,Yes,467.3529278,1971
62,2,11,622,162033,5,1,1,1,3,Yes,Son/Daughter,Male,94,3,25,1,Sinhala,Buddhist,Never Married,Does not attend,Passed Grade 10,Engaged in economic activity,Yes,467.3529278,1994
62,2,12,622,162034,2,1,1,1,1,Yes,Head of the household,Male,71,4,48,1,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed Grade 6,Engaged in economic activity,Yes,440.0542754,1971
62,2,12,622,162034,2,1,1,1,2,Yes,Wife/Husband,Female,77,9,42,1,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed G.C.E (O/L) or equivalent,Student,No,440.0542754,1977
62,2,12,622,162034,2,1,1,1,3,Yes,Son/Daughter,Male,0,8,19,1,Sinhala,Roman Catholic,Never Married,School,Passed Grade 12,Too old / Disabled,No,440.0542754,2000
62,2,12,622,162034,2,1,1,1,4,Yes,Son/Daughter,Male,4,3,15,1,Sinhala,Roman Catholic,Never Married,School,Passed Grade 9,Too old / Disabled,No,440.0542754,2004
62,2,12,622,162034,6,1,1,1,1,Yes,Head of the household,Male,49,7,70,1,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed G.C.E (O/L) or equivalent,Household activities,No,440.0542754,1949
62,2,12,622,162034,6,1,1,1,2,Yes,Wife/Husband,Female,53,11,66,1,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed G.C.E (A/L) or equivalent,Student,No,440.0542754,1953
62,2,12,622,162034,6,1,1,1,3,Yes,Son/Daughter,Male,85,9,34,1,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed G.C.E (O/L) or equivalent,Engaged in economic activity,Yes,440.0542754,1985
62,2,12,622,162034,6,1,1,1,4,Yes,Other Relative,Female,89,4,30,1,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed G.C.E (A/L) or equivalent,Engaged in economic activity,Yes,440.0542754,1989
62,2,12,622,162034,6,1,1,1,5,Yes,Other Relative,Male,16,4,3,1,Sinhala,Roman Catholic,Never Married,Does not attend,Passed Grade 10,Engaged in economic activity,No,440.0542754,2016
62,2,11,622,162035,2,1,1,1,1,Yes,Head of the household,Male,66,10,53,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 4,Engaged in economic activity,Yes,380.187144,1966
62,2,11,622,162035,2,1,1,1,2,Yes,Wife/Husband,Female,66,6,53,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 2,Engaged in economic activity,Yes,380.187144,1966
62,2,11,622,162035,2,1,1,1,3,Yes,Son/Daughter,Female,3,5,16,1,Sinhala,Buddhist,Never Married,School,Passed Grade 10,Too old / Disabled,No,380.187144,2003
62,2,11,622,162035,2,1,1,1,4,Yes,Other Relative,Male,69,8,50,1,Sinhala,Buddhist,Never Married,Does not attend,Passed Grade 1,Engaged in economic activity,Yes,380.187144,1969
62,2,11,622,162035,6,1,1,1,1,Yes,Head of the household,Male,84,9,35,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 10,Engaged in economic activity,Yes,380.187144,1984
62,2,11,622,162035,6,1,1,1,2,Yes,Wife/Husband,Female,87,6,32,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 10,Engaged in economic activity,Yes,380.187144,1987
62,2,11,622,162035,6,1,1,1,3,Yes,Son/Daughter,Female,8,7,11,1,Sinhala,Buddhist,Never Married,School,Passed Grade 5,Engaged in economic activity,No,380.187144,2008
62,2,11,622,162035,6,1,1,1,4,Yes,Son/Daughter,Female,13,1,6,1,Sinhala,Buddhist,Never Married,School,Studying/Studied Grade 1,Engaged in economic activity,No,380.187144,2013
62,2,11,622,162035,6,1,1,1,5,Yes,Other Relative,Male,68,2,51,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 10,Engaged in economic activity,Yes,380.187144,1968
62,2,11,622,162035,6,1,1,1,6,Yes,Other Relative,Female,65,7,54,1,Sinhala,Buddhist,Never Married,Does not attend,No Schooling,Other,No,380.187144,1965
62,2,12,622,162036,3,1,1,1,1,Yes,Head of the household,Male,84,5,35,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed G.C.E (A/L) or equivalent,Engaged in economic activity,Yes,439.6687241,1984
62,2,12,622,162036,3,1,1,1,2,Yes,Wife/Husband,Female,89,4,30,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed G.C.E (A/L) or equivalent,Engaged in economic activity,Yes,439.6687241,1989
62,2,12,622,162036,3,1,1,1,3,Yes,Son/Daughter,Female,19,4,0,1,Sinhala,Buddhist,Never Married,Does not attend,Passed Grade 10,Engaged in economic activity,No,439.6687241,2019
62,2,12,622,162036,7,1,1,1,1,Yes,Head of the household,Female,79,4,40,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 10,Student,No,439.6687241,1979
62,2,12,622,162036,7,1,1,1,2,Now,Wife/Husband,Male,81,3,38,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 10,Engaged in economic activity,No,439.6687241,1981
62,2,1,622,162037,1,1,1,1,1,Yes,Head of the household,Male,66,11,52,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed G.C.E (A/L) or equivalent,Engaged in economic activity,Yes,387.7740271,1966
62,2,1,622,162037,1,1,1,1,2,Yes,Wife/Husband,Female,75,5,43,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 10,Engaged in economic activity,Yes,387.7740271,1975
62,2,1,622,162037,1,1,1,1,3,Yes,Son/Daughter,Male,5,11,13,1,Sinhala,Buddhist,Never Married,School,Passed Grade 7,Engaged in economic activity,No,387.7740271,2005
62,2,1,622,162037,1,1,1,1,4,Yes,Son/Daughter,Male,12,5,6,1,Sinhala,Buddhist,Never Married,School,Passed Grade 1,Engaged in economic activity,No,387.7740271,2012
62,2,1,622,162037,1,1,1,1,5,Yes,Parent of head/spouse,Female,48,6,70,1,Sinhala,Buddhist,Widowed,Does not attend,Passed Grade 2,Other,No,387.7740271,1948
62,2,1,622,162037,1,1,1,1,6,Yes,Other Relative,Female,97,8,21,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed G.C.E (A/L) or equivalent,Engaged in economic activity,Yes,387.7740271,1997
62,2,1,622,162037,1,1,1,1,7,Yes,Other Relative,Female,98,12,20,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 10,Engaged in economic activity,Yes,387.7740271,1998
62,2,1,622,162037,1,1,1,1,8,Yes,Other Relative,Male,2,4,16,1,Sinhala,Buddhist,Never Married,Pending G.C.E.(O/L or A/L),Passed Grade 10,Too old / Disabled,No,387.7740271,2002
62,2,1,622,162037,5,1,1,1,1,Yes,Head of the household,Female,43,10,75,1,Sinhala,Roman Catholic,Widowed,Does not attend,Passed Grade 7,Other,No,387.7740271,1943
