aux_index,anon_index,label,age_diff,age_ratio,age_close,education_diff,education_ratio,education_close,industry_diff,industry_ratio,industry_close,marital_status_diff,marital_status_ratio,marital_status_close,sex_diff,sex_ratio,sex_close,overall_similarity,attack_score
1,313,1,0.1428571428571428,1.1666666666666667,0,0.0,1.0,1,0.999928960875202,7.103912479798249e-05,0,0.0,1.0,1,0.5,0.5,0,0.6714427792535311,0.9589609479289524
4,299,1,0.1702127659574468,1.205128205128205,0,0.0,1.0,1,0.9997804985122676,0.0002195014877323,0,0.0,1.0,1,0.0,1.0,1,0.7660013471060572,0.9225740716000944
10,308,1,0.0277777777777777,0.9722222222222222,0,0.6,0.4,0,0.9997561094580752,0.0002438905419247,0,0.0,1.0,1,0.0,1.0,1,0.6744932225528294,0.9730895751892886
11,451,1,0.7333333333333333,3.75,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.6533333333333333,0.9381077874016231
12,1,1,0.08,1.0869565217391304,0,0.0,1.0,1,0.9999624544760524,3.754552394778669e-05,0,0.0,1.0,1,0.0,1.0,1,0.7840075091047896,0.9688484063455044
21,419,1,0.1666666666666666,0.8333333333333334,0,0.3333333333333333,0.6666666666666666,0,0.9998969135929736,0.0001030864070263,0,0.0,1.0,1,0.0,1.0,1,0.7000206172814053,0.8919949073338181
22,604,1,0.4509803921568627,0.5490196078431373,0,0.0,1.0,1,0.9999139636926784,8.603630732168976e-05,0,0.0,1.0,1,0.0,1.0,1,0.7098211288300919,0.9389281843335354
23,603,1,0.0757575757575757,1.0819672131147542,0,0.75,0.25,0,,,0,0.0,1.0,1,0.0,1.0,1,0.6348484848484849,0.9136978029613051
24,508,1,0.0188679245283018,0.981132075471698,0,0.0,1.0,1,0.9999150977437226,8.490225627746058e-05,0,0.0,1.0,1,0.0,1.0,1,0.7962433955455952,0.9674943371849976
33,22,1,0.7777777777777778,4.5,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.6444444444444445,0.9357012400169022
36,312,1,0.6666666666666666,0.3333333333333333,0,0.0,1.0,1,0.999979999599992,2.000040000800016e-05,0,0.0,1.0,1,0.0,1.0,1,0.6666706667466683,0.9333689752748713
38,602,1,0.1,1.1111111111111112,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.78,0.9442682635236824
40,172,1,0.04,0.96,0,0.0,1.0,1,,,0,0.0,1.0,1,0.5,0.5,0,0.692,0.9738341280872831
44,385,1,0.0434782608695652,0.9565217391304348,0,0.8,0.2,0,0.9997454351901136,0.0002545648098863,0,0.0,1.0,1,0.0,1.0,1,0.6313552607880643,0.9569323894151386
49,119,1,0.1020408163265306,1.1136363636363635,0,0.0,1.0,1,0.9998048828077364,0.0001951171922636,0,0.0,1.0,1,0.0,1.0,1,0.7796308601731466,0.9473132331610435
60,198,1,0.0606060606060606,0.9393939393939394,0,0.6666666666666666,0.3333333333333333,0,0.9997921526061754,0.0002078473938246,0,0.0,1.0,1,0.0,1.0,1,0.6545870240242195,0.9671432497463398
