pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,age_diff,age_equal,birth_year_diff,birth_year_equal,education_match,marital_status_match,sex_match,religion_match,ethnicity_match,overall_similarity,attack_score
0,1,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
1,1,2.0,2.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
2,1,3.0,3.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
3,1,79.0,4.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
4,1,6.0,6.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
5,1,7.0,7.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
6,1,9.0,9.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
7,1,10.0,10.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
8,1,11.0,11.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
9,1,13.0,13.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
10,1,15.0,15.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
11,1,16.0,16.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
12,1,19.0,19.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
13,1,20.0,20.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
14,1,24.0,24.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
15,1,26.0,26.0,10.0,10.0,0.999264569079264,0.0,1,10.0,0,1,1,1,1,1,0.8571428571428571,0.7847413657162634
16,1,30.0,30.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
17,1,60.0,31.0,13.45362404707371,19.0,0.9872138755420966,10.0,0,9.0,0,1,1,1,1,1,0.7142857142857143,0.8606621004604754
18,1,33.0,33.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
19,1,34.0,34.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
20,1,38.0,38.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
21,1,40.0,40.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
22,1,43.0,43.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
23,1,44.0,44.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
24,1,45.0,45.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
25,1,47.0,47.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
26,1,49.0,49.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
27,1,51.0,51.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
28,1,54.0,54.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
29,1,56.0,56.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
30,1,31.0,60.0,20.12461179749811,27.0,0.9985635418024348,18.0,0,9.0,0,1,1,1,1,1,0.7142857142857143,0.739285551776212
31,1,61.0,61.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
32,1,63.0,63.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
33,1,64.0,64.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
34,1,65.0,65.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
35,1,69.0,69.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
36,1,70.0,70.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
37,1,71.0,71.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
38,1,73.0,73.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
39,1,80.0,75.0,21.213203435596427,30.0,0.9682354127459456,15.0,0,15.0,0,0,1,1,1,1,0.5714285714285714,0.8463657851772958
40,1,76.0,79.0,2.23606797749979,3.0,0.9956830994150008,1.0,0,2.0,0,1,1,1,0,0,0.4285714285714285,0.08954419013981778
41,1,75.0,82.0,28.284271247461906,40.0,0.9466745068678382,20.0,0,20.0,0,0,1,1,1,0,0.4285714285714285,0.5793276489252718
42,1,4.0,85.0,9.899494936611664,14.0,0.9931381406199348,7.0,0,7.0,0,0,1,1,1,0,0.4285714285714285,0.7458106835915
43,1,22.0,88.0,2.23606797749979,3.0,0.9877629653290688,2.0,0,1.0,0,0,1,1,0,1,0.4285714285714285,0.20423318007636845
44,1,1.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
45,1,5.0,5.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
46,1,8.0,8.0,0.0,0.0,1.0,0.0,1,0.0,1,1,0,1,1,1,0.8571428571428571,0.9517007625568485
47,1,12.0,12.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9552064099322148
