pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,sector_diff,sector_equal,r2_school_education_match,type_of_school_match,distance_match,overall_similarity,distance_diff,distance_equal,attack_score
0,1,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1.0,1.0,0.0,0.0,0.802782209069066
1,1,5.0,5.0,0.0,0.0,1.0,0.0,1,1,1,1.0,1.0,0.0,0.0,0.802782209069066
2,1,15.0,15.0,0.0,0.0,1.0,0.0,1,1,1,1.0,1.0,0.0,0.0,0.802782209069066
3,1,24.0,24.0,0.0,0.0,1.0,0.0,1,1,1,1.0,1.0,0.0,0.0,0.802782209069066
4,1,31.0,31.0,0.0,0.0,1.0,0.0,1,1,1,1.0,1.0,0.0,0.0,0.802782209069066
5,1,45.0,45.0,0.0,0.0,1.0,0.0,1,1,1,1.0,1.0,0.0,0.0,0.802782209069066
6,1,59.0,59.0,0.0,0.0,1.0,0.0,1,1,1,1.0,1.0,0.0,0.0,0.802782209069066
7,1,1.0,1.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
8,1,2.0,2.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
9,1,3.0,3.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
10,1,4.0,4.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
11,1,6.0,6.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
12,1,7.0,7.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
13,1,8.0,8.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
14,1,9.0,9.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
15,1,10.0,10.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
16,1,11.0,11.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
17,1,12.0,12.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
18,1,13.0,13.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
19,1,14.0,14.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
20,1,16.0,16.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
21,1,17.0,17.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
22,1,18.0,18.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
23,1,19.0,19.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
24,1,20.0,20.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
25,1,21.0,21.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
26,1,22.0,22.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
27,1,23.0,23.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
28,1,25.0,25.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
29,1,26.0,26.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
30,1,27.0,27.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
31,1,28.0,28.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
32,1,29.0,29.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
33,1,30.0,30.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
34,1,32.0,32.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
35,1,33.0,33.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
36,1,34.0,34.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
37,1,35.0,35.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
38,1,36.0,36.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
39,1,37.0,37.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
40,1,38.0,38.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
41,1,39.0,39.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
42,1,40.0,40.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
43,1,41.0,41.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
44,1,42.0,42.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
45,1,43.0,43.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
46,1,44.0,44.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
47,1,46.0,46.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
48,1,48.0,48.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
49,1,49.0,49.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
50,1,50.0,50.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
51,1,51.0,51.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
52,1,52.0,52.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
53,1,53.0,53.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
54,1,54.0,54.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
55,1,55.0,55.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
56,1,56.0,56.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
57,1,57.0,57.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
58,1,58.0,58.0,0.0,0.0,1.0,0.0,1,1,1,0.0,1.0,0.0,1.0,0.9406853694341515
59,1,47.0,47.0,0.0,0.0,1.0,0.0,1,1,1,1.0,1.0,0.0,0.0,0.802782209069066
60,0,,,3.0,3.0,0.8574929257125441,0.0,1,1,1,0.0,0.75,3.0,0.0,0.07535209297100842
61,0,,,1.0,1.0,0.98328200498446,1.0,0,1,1,0.0,0.75,0.0,1.0,0.18923686586234426
62,0,,,1.0,1.0,1.0,1.0,0,1,1,1.0,0.75,0.0,0.0,0.06238146134092226
63,0,,,6.0,6.0,0.9778024140774094,0.0,1,1,1,0.0,0.75,6.0,0.0,0.04292347910192013
64,0,,,1.0,1.0,0.9899494936611664,0.0,1,1,1,0.0,0.75,1.0,0.0,0.19751668540397968
65,0,,,1.0,1.0,1.0,1.0,0,0,1,1.0,0.5,0.0,0.0,0.004813735647964341
66,0,,,11.0,11.0,0.9841270174450972,0.0,1,1,1,0.0,0.75,11.0,0.0,0.01002258538455443
67,0,,,1.0,1.0,0.98328200498446,1.0,0,1,1,0.0,0.75,0.0,1.0,0.18923686586234426
68,0,,,1.0,1.0,0.9486832980505138,1.0,0,1,1,0.0,0.75,0.0,1.0,0.1729490005986777
69,0,,,3.0,3.0,0.8574929257125441,0.0,1,1,1,0.0,0.75,3.0,0.0,0.07535209297100842
70,0,,,9.0,9.0,0.6139406135149205,0.0,1,1,1,0.0,0.75,9.0,0.0,0.0060195967054456866
71,0,,,7.0,7.0,0.93834311681711,0.0,1,1,1,0.0,0.75,7.0,0.0,0.028214396305408923
72,0,,,1.0,1.0,1.0,1.0,0,0,1,1.0,0.5,0.0,0.0,0.004813735647964341
73,0,,,0.0,0.0,1.0,0.0,1,0,1,1.0,0.75,0.0,0.0,0.2830654309151672
