pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,sector_diff,sector_equal,overall_similarity,sector_match,attack_score
0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6097125581007053
1,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6097125581007053
2,1,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6097125581007053
3,1,3.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6097125581007053
4,1,4.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6097125581007053
5,1,5.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6097125581007053
6,1,6.0,6.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6097125581007053
7,1,7.0,7.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6097125581007053
8,1,8.0,8.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6097125581007053
9,1,9.0,9.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6097125581007053
10,1,10.0,10.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6097125581007053
11,1,11.0,11.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6097125581007053
12,1,12.0,12.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6097125581007053
13,1,13.0,13.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6097125581007053
14,1,14.0,14.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6097125581007053
15,1,15.0,15.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6097125581007053
16,1,16.0,16.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6097125581007053
17,1,17.0,17.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6097125581007053
18,1,18.0,18.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6097125581007053
19,1,22.0,22.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6097125581007053
20,1,23.0,23.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6097125581007053
21,1,24.0,24.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6097125581007053
22,1,25.0,25.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6097125581007053
23,1,26.0,26.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6097125581007053
24,1,27.0,27.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6097125581007053
25,1,28.0,28.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6097125581007053
26,1,29.0,29.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6097125581007053
27,1,30.0,30.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6097125581007053
28,1,31.0,31.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6097125581007053
29,1,32.0,32.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6097125581007053
30,1,33.0,33.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6097125581007053
