pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,sector_diff,sector_equal,type_of_school_match,r2_school_education_match,overall_similarity,attack_score
0,1,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
1,1,5.0,5.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
2,1,15.0,15.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
3,1,24.0,24.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
4,1,31.0,31.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
5,1,45.0,45.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
6,1,59.0,59.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
7,1,65.0,65.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
8,1,73.0,73.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
9,1,79.0,79.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
10,1,80.0,80.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
11,1,85.0,85.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
12,1,89.0,89.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
13,1,1.0,1.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
14,1,2.0,2.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
15,1,3.0,3.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
16,1,4.0,4.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
17,1,6.0,6.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
18,1,7.0,7.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
19,1,8.0,8.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
20,1,9.0,9.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
21,1,10.0,10.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
22,1,11.0,11.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
23,1,12.0,12.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
24,1,13.0,13.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
25,1,14.0,14.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
26,1,16.0,16.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
27,1,17.0,17.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
28,1,18.0,18.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
29,1,19.0,19.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
30,1,20.0,20.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
31,1,21.0,21.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
32,1,22.0,22.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
33,1,23.0,23.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
34,1,25.0,25.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
35,1,26.0,26.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
36,1,27.0,27.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
37,1,28.0,28.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
38,1,29.0,29.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9648474887814732
