pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,age_diff,age_equal,education_match,marital_status_match,sex_match,overall_similarity,attack_score
0,1,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
1,1,2.0,2.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
2,1,3.0,3.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
3,1,4.0,4.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
4,1,6.0,6.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
5,1,7.0,7.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
6,1,9.0,9.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
7,1,11.0,10.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
8,1,12.0,11.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
9,1,14.0,13.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
10,1,16.0,15.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
11,1,17.0,16.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
12,1,20.0,19.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
13,1,21.0,20.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
14,1,25.0,24.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
15,1,27.0,26.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
16,1,31.0,30.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
17,1,32.0,31.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
18,1,34.0,33.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
19,1,35.0,34.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
20,1,39.0,38.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
21,1,41.0,40.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
22,1,44.0,43.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
23,1,45.0,44.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
24,1,46.0,45.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
25,1,48.0,47.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
26,1,50.0,49.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
27,1,52.0,51.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
28,1,55.0,54.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
29,1,57.0,56.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
30,1,61.0,60.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
31,1,62.0,61.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
32,1,64.0,63.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
33,1,65.0,64.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
34,1,66.0,65.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
35,1,70.0,69.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
36,1,71.0,70.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
37,1,72.0,71.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
38,1,74.0,73.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
39,1,75.0,74.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
40,1,76.0,75.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
41,1,78.0,77.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
42,1,80.0,79.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0,0.9482041816215755
