anon_index,max_attack_score,mean_attack_score,pair_count,risk_level,ml_risk_component,internal_risk_component,uniqueness_risk_component,final_risk_score,final_risk_level
0.0,0.9515001599588838,0.9515001599588838,1,critical,1.0,0.0,0.0,50.0,high
1.0,0.864219033594272,0.864219033594272,1,low,0.9007220071286218,0.0,0.0,45.03610035643109,high
2.0,0.9331879609601896,0.9331879609601896,1,medium,0.9791707733690668,0.0,0.0,48.958538668453336,high
3.0,0.7878929456195719,0.7878929456195719,1,low,0.8139048321737766,0.0,0.0,40.69524160868883,high
4.0,0.9237717208050484,0.9237717208050484,1,medium,0.9684602628390799,0.0,0.0,48.423013141953994,high
5.0,0.9407455128073732,0.9407455128073732,1,high,0.9877671172713605,0.0,0.0,49.38835586356802,high
6.0,0.9514077919304664,0.9514077919304664,1,critical,0.9998949359059774,0.0,0.0,49.99474679529887,high
7.0,0.7429338319027177,0.7429338319027177,1,low,0.7627660492891525,0.0,0.0,38.138302464457624,moderate
8.0,0.8615074152438685,0.8615074152438685,1,low,0.8976376744845097,0.0,0.0,44.88188372422549,high
9.0,0.9320465257103908,0.9320465257103908,1,medium,0.9778724468543598,0.0,0.0,48.89362234271799,high
10.0,0.940711372202964,0.940711372202964,1,high,0.9877282840112694,0.0,0.0,49.38641420056347,high
11.0,0.7012004078939628,0.7012004078939628,1,low,0.7152963299602411,0.0,0.0,35.76481649801205,moderate
12.0,0.9153683141222472,0.9153683141222472,1,low,0.9589018006205092,0.0,0.0,47.94509003102546,high
13.0,0.9198314161284626,0.9198314161284626,1,medium,0.9639783598677664,0.0,0.0,48.19891799338832,high
14.0,0.9493676431835714,0.9493676431835714,1,high,0.9975743669446571,0.0,0.0,49.878718347232855,high
15.0,0.9204363543475744,0.9204363543475744,1,medium,0.964666447369682,0.0,0.0,48.233322368484096,high
16.0,0.3792235677252,0.3792235677252,1,low,0.349063493900238,0.0,0.0,17.4531746950119,low
17.0,0.9270804573600324,0.9270804573600324,1,medium,0.9722237881027977,0.0,0.0,48.61118940513989,high
18.0,0.8582023104974755,0.8582023104974755,1,low,0.893878280224623,0.0,0.0,44.69391401123115,high
19.0,0.8660047802391256,0.8660047802391256,1,low,0.9027532061983642,0.0,0.0,45.13766030991821,high
20.0,0.9307675163409912,0.9307675163409912,1,medium,0.9764176365380122,0.0,0.0,48.82088182690061,high
21.0,0.9423194536534106,0.9423194536534106,1,high,0.9895573976515669,0.0,0.0,49.47786988257835,high
22.0,0.9424070066942044,0.9424070066942044,1,high,0.9896569849337415,0.0,0.0,49.482849246687074,high
23.0,0.947531571182148,0.947531571182148,1,high,0.9954859252544437,0.0,0.0,49.77429626272218,high
24.0,0.7233858252021652,0.7233858252021652,1,low,0.7405311521160799,0.0,0.0,37.026557605803994,moderate
25.0,0.7710247552984075,0.7710247552984075,1,low,0.794718094465307,0.0,0.0,39.73590472326535,moderate
26.0,0.9241924102373722,0.9241924102373722,1,medium,0.9689387763986876,0.0,0.0,48.44693881993438,high
27.0,0.9259915300826576,0.9259915300826576,1,medium,0.970985186826858,0.0,0.0,48.549259341342896,high
28.0,0.2701900618514007,0.2701900618514007,1,low,0.22504323809302992,0.0,0.0,11.252161904651496,low
29.0,0.9478690423992076,0.9478690423992076,1,high,0.9958697821829343,0.0,0.0,49.79348910914672,high
30.0,0.91802105532927,0.91802105532927,1,low,0.9619191634068264,0.0,0.0,48.09595817034132,high
31.0,0.8103458471813004,0.8103458471813004,1,low,0.8394439045257441,0.0,0.0,41.972195226287205,high
32.0,0.4114215685127078,0.4114215685127078,1,low,0.3856871378172678,0.0,0.0,19.284356890863393,low
33.0,0.8612267652333179,0.8612267652333179,1,low,0.8973184488866364,0.0,0.0,44.865922444331815,high
34.0,0.9312550493988586,0.9312550493988586,1,medium,0.9769721814374596,0.0,0.0,48.84860907187298,high
35.0,0.9440848783767568,0.9440848783767568,1,high,0.991565481534068,0.0,0.0,49.5782740767034,high
36.0,0.9485960268823236,0.9485960268823236,1,high,0.996696691313677,0.0,0.0,49.83483456568385,high
37.0,0.8202879437717611,0.8202879437717611,1,low,0.8507525509140943,0.0,0.0,42.537627545704716,high
38.0,0.2977469722247344,0.2977469722247344,1,low,0.25638786969382305,0.0,0.0,12.819393484691153,low
39.0,0.937014470719806,0.937014470719806,1,medium,0.9835232402133934,0.0,0.0,49.17616201066967,high
40.0,0.0723413067204741,0.0723413067204741,1,low,0.0,0.0,0.0,0.0,low
41.0,0.3226079202584606,0.3226079202584606,1,low,0.2846659765935603,0.0,0.0,14.233298829678015,low
42.0,0.928093385719813,0.928093385719813,1,medium,0.9733759443440156,0.0,0.0,48.66879721720078,high
43.0,0.9405641681035908,0.9405641681035908,1,medium,0.9875608465807858,0.0,0.0,49.37804232903929,high
44.0,0.947304596859194,0.947304596859194,1,high,0.9952277531139733,0.0,0.0,49.76138765569866,high
45.0,0.9443112846804448,0.9443112846804448,1,high,0.9918230075805315,0.0,0.0,49.59115037902658,high
46.0,0.9424234941100624,0.9424234941100624,1,high,0.9896757385592067,0.0,0.0,49.48378692796033,high
47.0,0.9311165543344264,0.9311165543344264,1,medium,0.9768146501063218,0.0,0.0,48.84073250531609,high
48.0,0.8560372449979295,0.8560372449979295,1,low,0.8914156245946753,0.0,0.0,44.57078122973376,high
49.0,0.8202879437717611,0.8202879437717611,1,low,0.8507525509140943,0.0,0.0,42.537627545704716,high
50.0,0.9158234790801772,0.9158234790801772,1,low,0.9594195283966142,0.0,0.0,47.970976419830706,high
