pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,education_diff,education_equal,marital_status_diff,marital_status_equal,sex_diff,sex_equal,age_match,industry_match,overall_similarity,industry_diff,industry_equal,education_match,age_diff,age_equal,anon_index,aux_index,attack_score
0,1,0.0,0.0,4.242640687119285,6.0,0.9862393362677776,4.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9515001599588838
1,1,1.0,1.0,2.23606797749979,3.0,0.9932659166648444,2.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.864219033594272
2,1,2.0,2.0,85212.0002933859,85220.0,-0.1541512376585392,7.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,85212.0,0.0,0.0,0.0,0.0,2.0,2.0,0.9331879609601895
3,1,3.0,3.0,7.0,7.0,0.9826786937727112,7.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.7878929456195719
4,1,4.0,4.0,1.0,1.0,0.9486832980505138,0.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.9237717208050485
5,1,5.0,5.0,2.449489742783178,4.0,0.9767725810110088,1.0,0.0,2.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.9407455128073732
6,1,6.0,6.0,5.196152422706632,7.0,0.9621404708847278,5.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.9514077919304665
7,1,7.0,7.0,35277.00001417354,35278.0,0.9999998621663828,0.0,1.0,1.0,0,0.0,1,0.0,0.0,0.4,35277.0,0.0,0.0,0.0,0.0,7.0,7.0,0.7429338319027177
8,1,8.0,8.0,11.0,11.0,-0.0641500299099584,11.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.8615074152438685
9,1,9.0,9.0,84231.00015433748,84237.0,-0.1168882961107229,5.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,84231.0,0.0,0.0,0.0,0.0,9.0,9.0,0.9320465257103908
10,1,10.0,10.0,29310.00030706244,29316.0,0.9999997392532036,4.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,29310.0,0.0,0.0,0.0,0.0,10.0,10.0,0.940711372202964
11,1,11.0,11.0,16621.000030082425,16622.0,0.9999761700708184,0.0,1.0,1.0,0,0.0,1,0.0,0.0,0.4,16621.0,0.0,0.0,0.0,0.0,11.0,11.0,0.7012004078939628
12,1,12.0,12.0,4.123105625617661,5.0,0.9959873727522464,4.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.9153683141222472
13,1,13.0,13.0,4.123105625617661,5.0,0.9944577973205988,4.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.9198314161284626
14,1,14.0,14.0,6.324555320336759,8.0,0.9689627902499088,6.0,0.0,2.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.9493676431835714
15,1,15.0,15.0,25114.000039818427,25116.0,-0.0953859579897984,0.0,1.0,1.0,0,1.0,0,0.0,0.0,0.2,25114.0,0.0,0.0,0.0,0.0,15.0,15.0,0.9204363543475743
16,1,16.0,16.0,22891.000021842647,22892.0,0.999999919208692,0.0,1.0,0.0,1,1.0,0,0.0,0.0,0.4,22891.0,0.0,0.0,0.0,0.0,16.0,16.0,0.37922356772520005
17,1,17.0,17.0,14303.000349577009,14307.0,-0.0963271844731001,1.0,0.0,3.0,0,0.0,1,0.0,0.0,0.2,14303.0,0.0,0.0,0.0,0.0,17.0,17.0,0.9270804573600323
18,1,18.0,18.0,95112.00004731264,95115.0,-0.0616418496610768,3.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,95112.0,0.0,0.0,0.0,0.0,18.0,18.0,0.8582023104974755
