pair_index,orig_id,anon_id,label,age_missing,age_diff,age_equal,education_missing,education_diff,education_equal,industry_missing,industry_diff,industry_equal,marital_status_missing,marital_status_diff,marital_status_equal,sex_missing,sex_diff,sex_equal,similarity_score,anon_index,aux_index,attack_score
1860,1860,1860,0,0,29.0,0.0,0,8.0,0.0,1,1.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,1860,1860,0.5139431628685587
353,353,353,1,0,49.0,0.0,0,7.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,353,353,0.5141550302595143
1333,1333,1333,0,0,1.0,0.0,0,12.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,1333,1333,0.5021031375992454
905,905,905,1,0,4.0,0.0,0,12.0,0.0,0,84127.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,905,905,0.5030471825452427
1289,1289,1289,0,0,9.0,0.0,0,4.0,0.0,1,1.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,1289,1289,0.5046434342075191
1273,1273,1273,0,0,52.0,0.0,0,1.0,0.0,1,1.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,1273,1273,0.5150956114021693
938,938,938,1,0,13.0,0.0,0,10.0,0.0,0,15112.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,938,938,0.5056191431320732
1731,1731,1731,0,0,14.0,0.0,0,9.0,0.0,0,47590.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,1731,1731,0.5111380102155626
65,65,65,1,0,17.0,0.0,0,7.0,0.0,0,23924.0,0.0,0,0.0,1.0,0,0.0,1.0,0.4,65,65,0.5179357348013225
1323,1323,1323,0,0,2.0,0.0,0,7.0,0.0,0,40991.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,1323,1323,0.5087754146148907
56,56,56,1,0,17.0,0.0,0,9.0,0.0,1,1.0,0.0,0,0.0,1.0,0,2.0,0.0,0.2,56,56,0.5098716773741163
1292,1292,1292,0,0,16.0,0.0,0,2.0,0.0,1,1.0,0.0,0,1.0,0.0,0,0.0,1.0,0.2,1292,1292,0.5138504713539634
1118,1118,1118,0,0,26.0,0.0,0,14.0,0.0,1,1.0,0.0,0,2.0,0.0,0,1.0,0.0,0.0,1118,1118,0.508190066600552
584,584,584,1,0,7.0,0.0,0,6.0,0.0,0,45198.0,0.0,0,0.0,1.0,0,0.0,1.0,0.4,584,584,0.5162329415177115
374,374,374,1,0,59.0,0.0,0,1.0,0.0,1,1.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,374,374,0.5166841201121074
275,275,275,1,0,11.0,0.0,0,9.0,0.0,1,1.0,0.0,0,0.0,1.0,0,2.0,0.0,0.2,275,275,0.508509940515545
746,746,746,1,0,6.0,0.0,0,12.0,0.0,0,62017.0,0.0,0,0.0,1.0,0,0.0,1.0,0.4,746,746,0.5148763185418079
128,128,128,1,0,3.0,0.0,0,9.0,0.0,1,1.0,0.0,0,0.0,1.0,0,2.0,0.0,0.2,128,128,0.5066936762481281
1646,1646,1646,0,0,13.0,0.0,0,9.0,0.0,0,56203.0,0.0,0,1.0,0.0,0,0.0,1.0,0.2,1646,1646,0.512512662926185
1852,1852,1852,0,0,24.0,0.0,0,3.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,1852,1852,0.509401726363203
674,674,674,1,0,4.0,0.0,0,8.0,0.0,1,1.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,674,674,0.5082734149942163
1664,1664,1664,0,0,13.0,0.0,0,12.0,0.0,0,42098.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,1664,1664,0.5044476040631509
1981,1981,1981,0,0,41.0,0.0,0,8.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,1981,1981,0.5121089817034344
1083,1083,1083,0,0,49.0,0.0,0,1.0,0.0,1,1.0,0.0,0,0.0,1.0,0,0.0,1.0,0.4,1083,1083,0.5260868672719675
1922,1922,1922,0,0,35.0,0.0,0,6.0,0.0,1,1.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,1922,1922,0.5100855352364785
99,99,99,1,0,7.0,0.0,0,10.0,0.0,0,11004.0,0.0,0,1.0,0.0,0,0.0,1.0,0.2,99,99,0.5102291011387871
1179,1179,1179,0,0,33.0,0.0,1,1.0,0.0,1,1.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,1179,1179,0.4954076509499223
964,964,964,1,0,7.0,0.0,0,12.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,964,964,0.503465582910548
792,792,792,1,0,4.0,0.0,0,6.0,0.0,0,81300.0,0.0,0,0.0,1.0,0,0.0,1.0,0.4,792,792,0.516107277985887
29,29,29,1,0,18.0,0.0,0,1.0,0.0,0,97001.0,0.0,0,0.0,1.0,0,2.0,0.0,0.2,29,29,0.5135213113774825
628,628,628,1,0,16.0,0.0,0,8.0,0.0,0,40991.0,0.0,0,2.0,0.0,0,0.0,1.0,0.2,628,628,0.5140627942923409
944,944,944,1,0,46.0,0.0,0,9.0,0.0,1,1.0,0.0,0,5.0,0.0,0,2.0,0.0,0.0,944,944,0.5153698538346645
572,572,572,1,0,59.0,0.0,1,1.0,0.0,1,1.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,572,572,0.5069705821950398
907,907,907,1,0,18.0,0.0,0,10.0,0.0,1,1.0,0.0,0,2.0,0.0,0,1.0,0.0,0.0,907,907,0.5072973618820519
1080,1080,1080,0,0,29.0,0.0,0,7.0,0.0,1,1.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,1080,1080,0.5084926126194396
450,450,450,1,0,21.0,0.0,0,4.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,450,450,0.5084901649071973
1609,1609,1609,0,0,7.0,0.0,0,5.0,0.0,0,85483.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,1609,1609,0.5064829324386158
1290,1290,1290,0,0,35.0,0.0,0,7.0,0.0,1,1.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,1290,1290,0.5098551033373137
1078,1078,1078,0,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0,0.0,1078,1078,0.5124376163745675
254,254,254,1,0,34.0,0.0,0,10.0,0.0,0,55100.0,0.0,0,2.0,0.0,0,1.0,0.0,0.0,254,254,0.5118704019237059
124,124,124,1,0,2.0,0.0,0,6.0,0.0,0,17017.0,0.0,0,0.0,1.0,0,2.0,0.0,0.2,124,124,0.5075175765541157
1927,1927,1927,0,0,24.0,0.0,0,5.0,0.0,1,1.0,0.0,0,0.0,1.0,0,2.0,0.0,0.2,1927,1927,0.5123840622874251
251,251,251,1,0,19.0,0.0,1,1.0,0.0,1,1.0,0.0,0,1.0,0.0,0,0.0,1.0,0.2,251,251,0.49936522502023206
585,585,585,1,0,11.0,0.0,0,8.0,0.0,1,1.0,0.0,0,2.0,0.0,0,2.0,0.0,0.0,585,585,0.5050467517339035
1568,1568,1568,0,0,27.0,0.0,0,10.0,0.0,1,1.0,0.0,0,4.0,0.0,0,2.0,0.0,0.0,1568,1568,0.5099617936369577
824,824,824,1,0,59.0,0.0,0,16.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,824,824,0.5143409163744682
507,507,507,1,0,16.0,0.0,0,2.0,0.0,1,1.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,507,507,0.5123825579675177
889,889,889,1,0,34.0,0.0,0,1.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,889,889,0.5121326593490929
70,70,70,1,0,24.0,0.0,0,8.0,0.0,0,85203.0,0.0,0,2.0,0.0,0,0.0,1.0,0.2,70,70,0.5165528670138949
1608,1608,1608,0,0,6.0,0.0,0,10.0,0.0,1,1.0,0.0,0,2.0,0.0,0,2.0,0.0,0.0,1608,1608,0.5034498449645112
