anon_index,max_attack_score,mean_attack_score,pair_count,risk_level
0,0.5058084040889205,0.5058084040889205,1,low
1,0.5179073553613845,0.5179073553613845,1,high
2,0.5155487761517663,0.5155487761517663,1,medium
3,0.49674638187814635,0.49674638187814635,1,low
4,0.5119025324341124,0.5119025324341124,1,medium
5,0.5130057290390646,0.5130057290390646,1,medium
6,0.5118811237349742,0.5118811237349742,1,medium
7,0.49719853117011414,0.49719853117011414,1,low
8,0.5022157904552585,0.5022157904552585,1,low
9,0.5168031742508242,0.5168031742508242,1,high
10,0.5198823359040882,0.5198823359040882,1,high
11,0.5142322933572583,0.5142322933572583,1,medium
12,0.5092798079766875,0.5092798079766875,1,low
13,0.5163698210891401,0.5163698210891401,1,high
14,0.5128102051981681,0.5128102051981681,1,medium
15,0.5118994234595008,0.5118994234595008,1,medium
16,0.5164235033673577,0.5164235033673577,1,high
17,0.5047993220148945,0.5047993220148945,1,low
18,0.5157938205059167,0.5157938205059167,1,high
19,0.5054312208499875,0.5054312208499875,1,low
20,0.5132185214529565,0.5132185214529565,1,medium
21,0.5164506010454003,0.5164506010454003,1,high
22,0.5192996524136113,0.5192996524136113,1,high
23,0.508333143634245,0.508333143634245,1,low
24,0.5100052982785347,0.5100052982785347,1,low
25,0.5185874180455232,0.5185874180455232,1,high
26,0.5036479914911813,0.5036479914911813,1,low
27,0.5056055198938262,0.5056055198938262,1,low
28,0.5092372591151477,0.5092372591151477,1,low
29,0.5135213113774825,0.5135213113774825,1,medium
30,0.5180220893071755,0.5180220893071755,1,high
31,0.5222165423626276,0.5222165423626276,1,critical
32,0.5169110007940568,0.5169110007940568,1,high
33,0.5118652880076429,0.5118652880076429,1,medium
34,0.5143827477052563,0.5143827477052563,1,medium
35,0.5121556374951619,0.5121556374951619,1,medium
36,0.5066837020565362,0.5066837020565362,1,low
37,0.5056647798749436,0.5056647798749436,1,low
38,0.5064431405023674,0.5064431405023674,1,low
39,0.5105569538022419,0.5105569538022419,1,low
40,0.5192608044869903,0.5192608044869903,1,high
41,0.5102965329458554,0.5102965329458554,1,low
42,0.5180908599573918,0.5180908599573918,1,high
43,0.5043729194093234,0.5043729194093234,1,low
44,0.5094362791572421,0.5094362791572421,1,low
45,0.5039329078356113,0.5039329078356113,1,low
46,0.5074375651644929,0.5074375651644929,1,low
47,0.5124376163745675,0.5124376163745675,1,medium
48,0.5046713849234026,0.5046713849234026,1,low
49,0.5107900214706199,0.5107900214706199,1,low
50,0.5123333309099043,0.5123333309099043,1,medium
51,0.5131260675828635,0.5131260675828635,1,medium
52,0.509137902465003,0.509137902465003,1,low
53,0.5112103840602631,0.5112103840602631,1,medium
54,0.5114484705844988,0.5114484705844988,1,medium
55,0.5061618857699296,0.5061618857699296,1,low
56,0.5098716773741163,0.5098716773741163,1,low
57,0.5033907649441824,0.5033907649441824,1,low
58,0.5094123145966807,0.5094123145966807,1,low
59,0.5132108241206607,0.5132108241206607,1,medium
60,0.5251712296090605,0.5251712296090605,1,critical
61,0.507441649291839,0.507441649291839,1,low
62,0.5126977559857405,0.5126977559857405,1,medium
63,0.507168440365427,0.507168440365427,1,low
64,0.5073751466249051,0.5073751466249051,1,low
65,0.5179357348013225,0.5179357348013225,1,high
66,0.5083497883624108,0.5083497883624108,1,low
67,0.51692181990889,0.51692181990889,1,high
68,0.5130312366281697,0.5130312366281697,1,medium
69,0.5204133808641244,0.5204133808641244,1,high
70,0.5165528670138949,0.5165528670138949,1,high
71,0.5033066719696845,0.5033066719696845,1,low
72,0.5126797174676225,0.5126797174676225,1,medium
73,0.5343994086531249,0.5343994086531249,1,critical
74,0.5196333332683577,0.5196333332683577,1,high
75,0.5110648401764006,0.5110648401764006,1,medium
76,0.5077124299878076,0.5077124299878076,1,low
77,0.5137175310909369,0.5137175310909369,1,medium
78,0.5124376163745675,0.5124376163745675,1,medium
79,0.510313160686472,0.510313160686472,1,low
80,0.5088557452931325,0.5088557452931325,1,low
81,0.5025339896792361,0.5025339896792361,1,low
82,0.5092818665972662,0.5092818665972662,1,low
83,0.5302598334162593,0.5302598334162593,1,critical
84,0.4942620829020261,0.4942620829020261,1,low
85,0.5180279336813903,0.5180279336813903,1,high
86,0.5095345138146742,0.5095345138146742,1,low
87,0.5087834351346902,0.5087834351346902,1,low
88,0.5162079152672038,0.5162079152672038,1,high
89,0.5053242610099108,0.5053242610099108,1,low
90,0.5171069293950145,0.5171069293950145,1,high
91,0.506412830542351,0.506412830542351,1,low
