pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,education_diff,education_equal,marital_status_diff,marital_status_equal,sex_diff,sex_equal,age_match,overall_similarity,education_match,attack_score
0,1,0.0,0.0,4.242640687119285,6.0,0.9862393362677776,4.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.9350671432087099
1,1,1.0,1.0,2.23606797749979,3.0,0.9932659166648444,2.0,0.0,0.0,1,1.0,0,0,0.25,0.0,0.9001699430590105
2,1,2.0,2.0,7.071067811865476,8.0,0.9860540575353748,7.0,0.0,1.0,0,0.0,1,0,0.25,0.0,0.9268526128351858
3,1,3.0,3.0,7.0,7.0,0.9826786937727112,7.0,0.0,0.0,1,0.0,1,0,0.5,0.0,0.8603207798055483
4,1,4.0,4.0,1.0,1.0,0.9486832980505138,0.0,0.0,1.0,0,0.0,1,0,0.25,0.0,0.9179310397453698
5,1,5.0,5.0,2.449489742783178,4.0,0.9767725810110088,1.0,0.0,2.0,0,1.0,0,0,0.0,0.0,0.9335020191651221
6,1,6.0,6.0,5.196152422706632,7.0,0.9621404708847278,5.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.9308808388685929
7,1,7.0,7.0,1.0,1.0,0.995403900013586,0.0,1.0,1.0,0,0.0,1,0,0.5,0.0,0.8744055865608776
8,1,8.0,8.0,11.0,11.0,-0.0641500299099584,11.0,0.0,0.0,1,0.0,1,0,0.5,0.0,0.7710382250793385
9,1,9.0,9.0,5.0990195135927845,6.0,0.982769823601312,5.0,0.0,1.0,0,0.0,1,0,0.25,0.0,0.9343487604049275
10,1,10.0,10.0,4.242640687119285,6.0,0.9808267725563584,4.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.9348209489983232
11,1,11.0,11.0,1.0,1.0,0.9960562316045518,0.0,1.0,1.0,0,0.0,1,0,0.5,0.0,0.8733601086392536
12,1,12.0,12.0,4.123105625617661,5.0,0.9959873727522464,4.0,0.0,0.0,1,1.0,0,0,0.25,0.0,0.9333882220630013
13,1,13.0,13.0,4.123105625617661,5.0,0.9944577973205988,4.0,0.0,0.0,1,1.0,0,0,0.25,0.0,0.9344250585451134
14,1,14.0,14.0,6.324555320336759,8.0,0.9689627902499088,6.0,0.0,2.0,0,0.0,1,0,0.25,0.0,0.9275299510645048
15,1,15.0,15.0,1.4142135623730951,2.0,0.9908807141567176,0.0,1.0,1.0,0,1.0,0,0,0.25,0.0,0.9340752878784926
16,1,16.0,16.0,1.0,1.0,0.9971391490106832,0.0,1.0,0.0,1,1.0,0,0,0.5,0.0,0.764313434907443
17,1,17.0,17.0,3.1622776601683795,4.0,0.9697902230190246,1.0,0.0,3.0,0,0.0,1,0,0.25,0.0,0.927965249205512
18,1,18.0,18.0,3.0,3.0,0.9995044352735956,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0,0.15343735686752352
19,1,19.0,19.0,3.1622776601683795,4.0,0.9963420345065996,3.0,0.0,0.0,1,1.0,0,0,0.25,0.0,0.9274207526885156
20,1,20.0,20.0,3.1622776601683795,4.0,0.9925649526278796,3.0,0.0,0.0,1,1.0,0,0,0.25,0.0,0.9328722578272458
21,1,21.0,21.0,3.1622776601683795,4.0,0.9516357291821832,1.0,0.0,3.0,0,0.0,1,0,0.25,0.0,0.9273964542279862
22,1,22.0,22.0,3.1622776601683795,4.0,0.993263139087243,3.0,0.0,1.0,0,0.0,1,0,0.25,0.0,0.9344612009243218
23,1,23.0,23.0,4.47213595499958,6.0,0.9946351544273336,4.0,0.0,2.0,0,0.0,1,0,0.25,0.0,0.9328766184400977
24,1,24.0,24.0,2.0,2.0,0.986159651481953,0.0,1.0,2.0,0,0.0,1,0,0.5,0.0,0.8560592817373821
25,1,25.0,25.0,1.4142135623730951,2.0,0.996709240304503,1.0,0.0,0.0,1,1.0,0,0,0.25,0.0,0.8957881843886742
26,1,26.0,26.0,1.4142135623730951,2.0,0.9961068689571466,1.0,0.0,1.0,0,0.0,1,0,0.25,0.0,0.9183776166492562
27,1,27.0,27.0,1.4142135623730951,2.0,0.9932885906040269,0.0,1.0,1.0,0,1.0,0,0,0.25,0.0,0.9338471142093813
28,1,28.0,28.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0.0,1,0,0.75,0.0,0.26410606512445145
29,1,29.0,29.0,7.280109889280518,9.0,0.964056618014988,7.0,0.0,2.0,0,0.0,1,0,0.25,0.0,0.9145166838939689
30,1,30.0,30.0,3.1622776601683795,4.0,0.9975694083904584,3.0,0.0,1.0,0,0.0,1,0,0.25,0.0,0.919871492284035
31,1,31.0,31.0,1.4142135623730951,2.0,0.944911182523068,1.0,0.0,0.0,1,1.0,0,0,0.25,0.0,0.9141279954824716
32,1,32.0,32.0,5.0,5.0,0.9974086507360695,5.0,0.0,0.0,1,0.0,1,0,0.5,0.0,0.7690559778443076
33,1,33.0,33.0,5.0990195135927845,6.0,0.9973600960790272,5.0,0.0,0.0,1,1.0,0,0,0.25,0.0,0.9282090399997257
34,1,34.0,34.0,4.58257569495584,7.0,0.9474866249411196,4.0,0.0,2.0,0,1.0,0,0,0.0,0.0,0.9325877524981765
35,1,35.0,35.0,3.3166247903554,5.0,0.989408558727086,3.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.9355104796659256
36,1,36.0,36.0,7.071067811865476,8.0,0.9258200997725514,7.0,0.0,1.0,0,0.0,1,0,0.25,0.0,0.921719162897927
37,1,37.0,37.0,1.0,1.0,0.9971391490106832,0.0,1.0,1.0,0,0.0,1,0,0.5,0.0,0.8656105450916582
38,1,38.0,38.0,1.0,1.0,0.9997128499581862,1.0,0.0,0.0,1,0.0,1,0,0.5,0.0,0.4510798627128267
39,1,39.0,39.0,6.082762530298219,7.0,0.9782118476519917,6.0,0.0,1.0,0,0.0,1,0,0.25,0.0,0.9328749801894335
40,1,40.0,40.0,2.0,2.0,0.9968410582470292,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0,0.20747477836154504
41,1,41.0,41.0,1.0,1.0,0.9993288139387472,1.0,0.0,0.0,1,0.0,1,0,0.5,0.0,0.39754378142664515
42,1,42.0,42.0,3.1622776601683795,4.0,0.9823845301506764,3.0,0.0,0.0,1,1.0,0,0,0.25,0.0,0.9327715099113684
43,1,43.0,43.0,1.7320508075688772,3.0,0.991117008818872,1.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.9316515380101503
44,1,44.0,44.0,7.280109889280518,9.0,0.6491134836118732,7.0,0.0,2.0,0,0.0,1,0,0.25,0.0,0.8792262693493518
45,1,45.0,45.0,9.055385138137416,10.0,0.9178146529232246,9.0,0.0,1.0,0,0.0,1,0,0.25,0.0,0.8669738658743601
46,1,46.0,46.0,1.7320508075688772,3.0,0.978231976089037,1.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.9312045610496823
47,1,47.0,47.0,4.123105625617661,5.0,0.998832828930078,4.0,0.0,1.0,0,0.0,1,0,0.25,0.0,0.8588225251434952
48,1,48.0,48.0,5.0990195135927845,6.0,0.9978934040223164,5.0,0.0,0.0,1,1.0,0,0,0.25,0.0,0.90719353456995
49,1,49.0,49.0,1.0,1.0,0.9971391490106832,0.0,1.0,1.0,0,0.0,1,0,0.5,0.0,0.8656105450916582
50,1,50.0,50.0,1.4142135623730951,2.0,0.9961359100851456,1.0,0.0,1.0,0,0.0,1,0,0.25,0.0,0.9185964704443146
51,1,51.0,51.0,3.3166247903554,5.0,0.9570377672873268,1.0,0.0,3.0,0,1.0,0,0,0.0,0.0,0.9321472249627923
52,1,52.0,52.0,2.449489742783178,4.0,0.9927901006295572,2.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.9323642462192808
53,1,53.0,53.0,9.1104335791443,11.0,0.9345507010964662,9.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.8695677144099934
54,1,54.0,54.0,4.123105625617661,5.0,0.9969405307028008,4.0,0.0,1.0,0,0.0,1,0,0.25,0.0,0.9258050130671394
55,1,55.0,55.0,2.449489742783178,4.0,0.9542374472273958,2.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.9309728374788634
56,1,56.0,56.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,1,0,0.5,0.0,0.23442456050912966
57,1,57.0,57.0,1.7320508075688772,3.0,0.991117008818872,1.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.9316515380101503
58,1,58.0,58.0,3.1622776601683795,4.0,0.9956504319638848,3.0,0.0,1.0,0,0.0,1,0,0.25,0.0,0.9325690540265376
59,1,59.0,59.0,10.0,10.0,0.1400280084028009,10.0,0.0,0.0,1,0.0,1,0,0.5,0.0,0.7874233182874427
60,1,60.0,60.0,8.602325267042627,12.0,0.9931695968516404,8.0,0.0,3.0,0,1.0,0,0,0.0,0.0,0.8798155198372474
61,1,61.0,61.0,2.0,2.0,0.9970909029271466,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0,0.2220658809462722
62,1,62.0,62.0,4.47213595499958,6.0,0.9649012813540152,4.0,0.0,2.0,0,0.0,1,0,0.25,0.0,0.9315682030840612
63,1,63.0,63.0,8.0,8.0,0.9551668842409458,8.0,0.0,0.0,1,0.0,1,0,0.5,0.0,0.8635530893833548
64,1,64.0,64.0,4.0,4.0,0.9961017296304552,4.0,0.0,0.0,1,0.0,1,0,0.5,0.0,0.7827973597042156
65,1,65.0,65.0,1.7320508075688772,3.0,0.986581038661854,1.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.9314473614854138
66,1,66.0,66.0,4.242640687119285,6.0,0.9984038297885895,4.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.8873816388696824
67,1,67.0,67.0,3.3166247903554,5.0,0.9913694342812616,3.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.9355104796659256
