pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,age_diff,age_equal,education_diff,education_equal,industry_diff,industry_equal,marital_status_diff,marital_status_equal,sex_diff,sex_equal,overall_similarity,attack_score
0,1,306.0,1.0,79902.0,79902.0,0.0221612427869383,0.0,1,0.0,1,79902.0,0,0.0,1,0.0,1,0.8,0.8816502292950948
1,1,129.0,3.0,17.46424919657298,27.0,0.8362783211323328,14.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.4,0.8003941377003988
2,1,524.0,4.0,47111.00001061324,47112.0,0.0355898646058523,0.0,1,0.0,1,47111.0,0,0.0,1,1.0,0,0.6,0.8246787190437317
3,1,96.0,6.0,55095.00044468645,55102.0,0.1952162148840478,0.0,1,7.0,0,55095.0,0,0.0,1,0.0,1,0.6,0.8547884424527487
4,1,726.0,10.0,47109.00010613683,47113.0,0.0685921075019626,1.0,0,3.0,0,47109.0,0,0.0,1,0.0,1,0.4,0.6926218867301941
5,1,1177.0,11.0,49217.00004063637,49219.0,0.1180933068887372,0.0,1,2.0,0,49217.0,0,0.0,1,0.0,1,0.6,0.9150296250979105
6,1,220.0,13.0,33138.001222161845,33147.0,0.0997525332479847,0.0,1,9.0,0,33138.0,0,0.0,1,0.0,1,0.6,0.9000143607457479
7,1,296.0,14.0,8.660254037844387,13.0,0.9052343458575142,1.0,0,7.0,0,0.0,0,0.0,1,0.0,1,0.4,0.9128789305686951
8,1,973.0,17.0,49221.00008126613,49225.0,0.0175325217724321,2.0,0,2.0,0,49221.0,0,0.0,1,0.0,1,0.4,0.836201032002767
9,1,551.0,18.0,6.4031242374328485,9.0,0.994102161439637,1.0,0,0.0,1,0.0,0,0.0,1,2.0,0,0.4,0.9113481640815735
10,1,526.0,19.0,47412.00151860286,47424.0,0.042040311228425,0.0,1,12.0,0,47412.0,0,0.0,1,0.0,1,0.6,0.793925404548645
11,1,10.0,21.0,45293.00070651093,45301.0,0.2745481991128394,0.0,1,8.0,0,45293.0,0,0.0,1,0.0,1,0.6,0.895389179388682
12,1,1248.0,22.0,14.422205101855956,20.0,0.898881198496457,12.0,0,0.0,1,0.0,0,0.0,1,0.0,1,0.6,0.9121087392171224
13,1,668.0,25.0,10.770329614269007,14.0,0.867922737485174,0.0,1,10.0,0,0.0,0,0.0,1,0.0,1,0.6,0.9162440697352091
14,1,627.0,28.0,40995.00019514575,40999.0,0.1825409511966109,0.0,1,4.0,0,40995.0,0,0.0,1,0.0,1,0.6,0.891672670841217
15,1,275.0,29.0,97003.00002061792,97005.0,0.0747431751988144,0.0,1,0.0,1,97003.0,0,0.0,1,2.0,0,0.6,0.912063737710317
16,1,1006.0,30.0,8.717797887081348,14.0,0.8970703996576891,2.0,0,6.0,0,0.0,0,0.0,1,0.0,1,0.4,0.8944728175799052
17,1,370.0,31.0,7.3484692283495345,10.0,0.9621743332839156,7.0,0,2.0,0,0.0,0,0.0,1,0.0,1,0.4,0.7619504531224569
18,1,566.0,32.0,10.04987562112089,15.0,0.9380345549475289,9.0,0,0.0,1,0.0,0,0.0,1,2.0,0,0.4,0.9006627996762594
19,1,575.0,33.0,43297.00018477031,43301.0,0.2347955021132688,0.0,1,4.0,0,43297.0,0,0.0,1,0.0,1,0.6,0.9089175860087076
20,1,140.0,35.0,9.643650760992957,15.0,0.941297475164401,8.0,0,2.0,0,0.0,0,0.0,1,0.0,1,0.4,0.8500168124834696
21,1,770.0,36.0,13.601470508735444,21.0,0.8439829056801176,9.0,0,0.0,1,0.0,0,0.0,1,2.0,0,0.4,0.9077649712562561
22,1,24.0,37.0,47594.00067235365,47602.0,0.077508435020875,0.0,1,8.0,0,47594.0,0,0.0,1,0.0,1,0.6,0.8256486256917318
23,1,355.0,39.0,23932.002089252797,23942.0,0.1296180312314572,0.0,1,10.0,0,23932.0,0,0.0,1,0.0,1,0.6,0.9105335076649984
24,1,644.0,40.0,14.212670403551895,20.0,0.8126844930648766,0.0,1,9.0,0,0.0,0,0.0,1,0.0,1,0.6,0.9146770636240641
25,1,525.0,41.0,9.1104335791443,15.0,0.934900026500842,7.0,0,3.0,0,0.0,0,0.0,1,0.0,1,0.4,0.8840125600496928
26,1,423.0,42.0,12.529964086141668,17.0,0.978860531699528,0.0,1,11.0,0,0.0,0,0.0,1,0.0,1,0.6,0.91561226050059
27,1,702.0,48.0,10626.000047054396,10627.0,0.0546369624297731,1.0,0,0.0,1,10626.0,0,0.0,1,0.0,1,0.6,0.9145243366559347
28,1,221.0,49.0,4.123105625617661,7.0,0.997609644323314,0.0,1,3.0,0,0.0,0,0.0,1,2.0,0,0.4,0.9106371601422628
