pair_index,label,orig_id,anon_id,age_match,education_match,industry_match,marital_status_match,sex_match,overall_similarity,euclidean_distance,manhattan_distance,cosine_similarity,industry_diff,industry_equal,education_diff,education_equal,attack_score
0,1,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49593263707123425
1,1,1.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49593263707123425
2,1,2.0,2.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49593295379070074
3,1,3.0,3.0,0,0.0,0.0,0,0,0.0,6.082762530298219,7.0,0.0,0.0,0.0,0.0,0.0,0.4959347088996278
4,1,4.0,4.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49593263707123425
5,1,5.0,5.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49593263707123425
6,1,6.0,6.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49593263707123425
7,1,7.0,7.0,0,0.0,0.0,0,0,0.0,49222.00101580593,49232.0,0.0,0.0,0.0,0.0,0.0,0.5115008240754273
8,1,8.0,8.0,0,0.0,0.0,0,0,0.0,1.4142135623730951,2.0,0.0,0.0,0.0,0.0,0.0,0.4959331777736431
9,1,9.0,9.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49593295379070074
10,1,10.0,10.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49593263707123425
11,1,11.0,11.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49593263707123425
12,1,12.0,12.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49593263707123425
13,1,13.0,13.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49593263707123425
14,1,14.0,14.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49593295379070074
15,1,15.0,15.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49593295379070074
16,1,16.0,16.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49593263707123425
17,1,17.0,17.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49593263707123425
18,1,18.0,18.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49593295379070074
19,1,19.0,19.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49593263707123425
20,1,20.0,20.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49593295379070074
21,1,21.0,21.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49593263707123425
22,1,22.0,22.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49593295379070074
23,1,23.0,23.0,0,0.0,0.0,0,0,0.0,9.055385138137416,10.0,0.0,0.0,0.0,0.0,0.0,0.4959356547252491
24,1,24.0,24.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49593263707123425
25,1,25.0,25.0,0,0.0,0.0,0,0,0.0,14101.0,14101.0,0.0,0.0,0.0,0.0,0.0,0.5004024770791664
26,1,26.0,26.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49593295379070074
27,1,27.0,27.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49593263707123425
28,1,28.0,28.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49593263707123425
29,1,29.0,29.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49593263707123425
30,1,30.0,30.0,0,0.0,0.0,0,0,0.0,85101.0,85101.0,0.0,0.0,0.0,0.0,0.0,0.5226102875856004
31,1,31.0,31.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49593295379070074
32,1,32.0,32.0,0,0.0,0.0,0,0,0.0,49222.0,49222.0,0.0,0.0,0.0,0.0,0.0,0.5114992542722908
33,1,33.0,33.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49593263707123425
34,1,34.0,34.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49593263707123425
35,1,35.0,35.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49593295379070074
36,1,36.0,36.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49593295379070074
37,1,37.0,37.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49593263707123425
38,1,38.0,38.0,0,0.0,0.0,0,0,0.0,49222.0,49222.0,0.0,0.0,0.0,0.0,0.0,0.5114992542722908
39,1,39.0,39.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49593263707123425
40,1,40.0,40.0,0,0.0,0.0,0,0,0.0,61901.0,61901.0,0.0,0.0,0.0,0.0,0.0,0.5154625547884457
41,1,41.0,41.0,0,0.0,0.0,0,0,0.0,16213.0,16213.0,0.0,0.0,0.0,0.0,0.0,0.5010721544635266
42,1,42.0,42.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49593295379070074
43,1,43.0,43.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49593295379070074
44,1,44.0,44.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49593263707123425
45,1,45.0,45.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49593295379070074
46,1,46.0,46.0,0,0.0,0.0,0,0,0.0,7.071067811865476,8.0,0.0,0.0,0.0,0.0,0.0,0.49593502376808507
47,1,47.0,47.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49593295379070074
48,1,48.0,48.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49593263707123425
49,1,49.0,49.0,0,0.0,0.0,0,0,0.0,46303.0,46303.0,0.0,0.0,0.0,0.0,0.0,0.5105824425534496
50,1,50.0,50.0,0,0.0,0.0,0,0,0.0,97006.0,97006.0,0.0,0.0,0.0,0.0,0.0,0.5262112740634938
51,1,51.0,51.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49593263707123425
52,1,52.0,52.0,0,0.0,0.0,0,0,0.0,31001.0,31001.0,0.0,0.0,0.0,0.0,0.0,0.5057563300152417
53,1,53.0,53.0,0,0.0,0.0,0,0,0.0,43302.0,43302.0,0.0,0.0,0.0,0.0,0.0,0.5096384288826604
54,1,54.0,54.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49593295379070074
55,1,55.0,55.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49593295379070074
56,1,56.0,56.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49593295379070074
57,1,57.0,57.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49593263707123425
58,1,58.0,58.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49593295379070074
59,1,59.0,59.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49593295379070074
60,1,60.0,60.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49593295379070074
61,1,61.0,61.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49593263707123425
62,1,62.0,62.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49593263707123425
