pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,education_diff,education_equal,marital_status_diff,marital_status_equal,sex_diff,sex_equal,age_match,industry_match,overall_similarity,industry_diff,industry_equal,education_match,age_diff,age_equal,attack_score
0,1,0.0,0.0,4.242640687119285,6.0,0.9862393362677776,4.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.951341386110398
1,1,1.0,1.0,2.23606797749979,3.0,0.9932659166648444,2.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8564897083587123
2,1,2.0,2.0,85212.0002933859,85220.0,-0.1541512376585392,7.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,85212.0,0.0,0.0,0.0,0.0,0.9509204016088256
3,1,3.0,3.0,7.0,7.0,0.9826786937727112,7.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.8313933486643247
4,1,4.0,4.0,1.0,1.0,0.9486832980505138,0.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.9050009525965051
5,1,5.0,5.0,2.449489742783178,4.0,0.9767725810110088,1.0,0.0,2.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9167507396497561
6,1,6.0,6.0,5.196152422706632,7.0,0.9621404708847278,5.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9489519025043608
7,1,7.0,7.0,35277.00001417354,35278.0,0.9999998621663828,0.0,1.0,1.0,0,0.0,1,0.0,0.0,0.4,35277.0,0.0,0.0,0.0,0.0,0.524417691231971
8,1,8.0,8.0,11.0,11.0,-0.0641500299099584,11.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.8667962883407928
9,1,9.0,9.0,84231.00015433748,84237.0,-0.1168882961107229,5.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,84231.0,0.0,0.0,0.0,0.0,0.9362516046027606
10,1,10.0,10.0,29310.000307062437,29316.0,0.9999997392532036,4.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,29310.0,0.0,0.0,0.0,0.0,0.9210160877590701
11,1,11.0,11.0,16621.000030082425,16622.0,0.9999761700708184,0.0,1.0,1.0,0,0.0,1,0.0,0.0,0.4,16621.0,0.0,0.0,0.0,0.0,0.6978341527020523
12,1,12.0,12.0,4.123105625617661,5.0,0.9959873727522464,4.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.9162930701857044
13,1,13.0,13.0,4.123105625617661,5.0,0.9944577973205988,4.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.9112339963412426
