pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,sector_diff,sector_equal,distance_match,r2_school_education_match,type_of_school_match,overall_similarity,distance_diff,distance_equal,attack_score
0,1,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0,1,1,1.0,0.0,0.0,0.8453863217395529
1,1,5.0,5.0,0.0,0.0,1.0,0.0,1,1.0,1,1,1.0,0.0,0.0,0.8453863217395529
2,1,15.0,15.0,0.0,0.0,1.0,0.0,1,1.0,1,1,1.0,0.0,0.0,0.8453863217395529
3,1,24.0,24.0,0.0,0.0,1.0,0.0,1,1.0,1,1,1.0,0.0,0.0,0.8453863217395529
4,1,31.0,31.0,0.0,0.0,1.0,0.0,1,1.0,1,1,1.0,0.0,0.0,0.8453863217395529
5,1,45.0,45.0,0.0,0.0,1.0,0.0,1,1.0,1,1,1.0,0.0,0.0,0.8453863217395529
6,1,59.0,59.0,0.0,0.0,1.0,0.0,1,1.0,1,1,1.0,0.0,0.0,0.8453863217395529
7,1,1.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
8,1,2.0,2.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
9,1,3.0,3.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
10,1,53.0,53.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
11,1,4.0,4.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
12,1,12.0,12.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
13,1,17.0,17.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
14,1,36.0,36.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
15,1,37.0,37.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
16,1,48.0,48.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
17,1,49.0,49.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
18,1,56.0,56.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
19,1,57.0,57.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
20,1,6.0,6.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
21,1,7.0,7.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
22,1,8.0,8.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
23,1,9.0,9.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
24,1,10.0,10.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
25,1,11.0,11.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
26,1,33.0,33.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
27,1,34.0,34.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
28,1,13.0,13.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
29,1,14.0,14.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
30,1,18.0,18.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
31,1,19.0,19.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
32,1,20.0,20.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
33,1,29.0,29.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
34,1,30.0,30.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
35,1,44.0,44.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
36,1,52.0,52.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
37,1,16.0,16.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
38,1,46.0,46.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
39,1,21.0,21.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
40,1,26.0,26.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
41,1,35.0,35.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
42,1,40.0,40.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
43,1,41.0,41.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
44,1,42.0,42.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
45,1,43.0,43.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
46,1,50.0,50.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
47,1,54.0,54.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
48,1,55.0,55.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
49,1,22.0,22.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
50,1,23.0,23.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
51,1,25.0,25.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
52,1,27.0,27.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
53,1,28.0,28.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
54,1,32.0,32.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
55,1,38.0,38.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
56,1,39.0,39.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
57,1,47.0,47.0,0.0,0.0,1.0,0.0,1,1.0,1,1,1.0,0.0,0.0,0.8453863217395529
58,1,51.0,51.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
59,1,58.0,58.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1.0,0.0,1.0,0.9358555155824982
60,0,,,3.0,3.0,0.8574929257125441,0.0,1,0.0,1,1,0.75,3.0,0.0,0.0665167579439207
61,0,,,1.0,1.0,0.98328200498446,1.0,0,0.0,1,1,0.75,0.0,1.0,0.1532783272726599
62,0,,,1.0,1.0,1.0,1.0,0,1.0,1,1,0.75,0.0,0.0,0.06730993672538556
63,0,,,6.0,6.0,0.9778024140774094,0.0,1,0.0,1,1,0.75,6.0,0.0,0.03864384497304485
64,0,,,1.0,1.0,0.9899494936611664,0.0,1,0.0,1,1,0.75,1.0,0.0,0.17526339440403368
65,0,,,1.0,1.0,1.0,1.0,0,1.0,0,1,0.5,0.0,0.0,0.004710580251670385
