pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,sex_diff,sex_equal,district_diff,district_equal,education_diff,education_equal,marital_status_diff,marital_status_equal,B_year_diff,B_year_equal,employment_status_diff,employment_status_equal,industry_diff,industry_equal,main_activity_diff,main_activity_equal,age_match,overall_similarity,attack_score
0,1,817.0,0.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1,1.0,0.9962581245909342
1,1,542.0,1.0,1398.0418448673129,1413.0,0.9999999482154232,0.0,1,0.0,1,6.0,0,0.0,1,9.0,0,0.0,1,1398.0,0,0.0,1,1,0.6666666666666666,0.9778724488276168
2,1,281.0,11.0,1631.0015328012416,1634.0,0.9999991131044372,0.0,1,0.0,1,1.0,0,0.0,1,2.0,0,0.0,1,1631.0,0,0.0,1,1,0.6666666666666666,0.9969731467367775
3,1,989.0,12.0,184.13310403075272,191.0,0.999997343539382,0.0,1,0.0,1,0.0,1,0.0,1,7.0,0,0.0,1,184.0,0,0.0,1,1,0.7777777777777778,0.9969087302579536
4,1,578.0,26.0,10.198039027185567,12.0,0.999999468440767,0.0,1,0.0,1,2.0,0,0.0,1,10.0,0,0.0,1,0.0,1,0.0,1,1,0.7777777777777778,0.9952734091225968
5,1,478.0,28.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1,1.0,0.9962581245909342
6,1,644.0,29.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1,1.0,0.9962581245909342
7,1,422.0,33.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1,1.0,0.9962581245909342
8,1,392.0,38.0,3.0,3.0,0.9999999999167776,0.0,1,0.0,1,0.0,1,0.0,1,3.0,0,0.0,1,0.0,1,0.0,1,1,0.8888888888888888,0.9962581245909342
9,1,226.0,51.0,100.18482919085103,107.0,0.9999999950233104,0.0,1,0.0,1,1.0,0,0.0,1,6.0,0,0.0,1,100.0,0,0.0,1,1,0.6666666666666666,0.9970074561703957
