pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,sector_diff,sector_equal,r2_school_education_match,type_of_school_match,overall_similarity,attack_score
0,1,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
1,1,5.0,5.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
2,1,15.0,15.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
3,1,24.0,24.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
4,1,31.0,31.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
5,1,45.0,45.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
6,1,59.0,59.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
7,1,1.0,1.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
8,1,2.0,2.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
9,1,3.0,3.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
10,1,4.0,4.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
11,1,6.0,6.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
12,1,7.0,7.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
13,1,8.0,8.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
14,1,9.0,9.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
15,1,10.0,10.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
16,1,11.0,11.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
17,1,12.0,12.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
18,1,13.0,13.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
19,1,14.0,14.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
20,1,16.0,16.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
21,1,17.0,17.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
22,1,18.0,18.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
23,1,19.0,19.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
24,1,20.0,20.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
25,1,21.0,21.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
26,1,22.0,22.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
27,1,23.0,23.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
28,1,25.0,25.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
29,1,26.0,26.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
30,1,27.0,27.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
31,1,28.0,28.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
32,1,29.0,29.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
33,1,30.0,30.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
34,1,32.0,32.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
35,1,33.0,33.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
36,1,34.0,34.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
37,1,35.0,35.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
38,1,36.0,36.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
39,1,37.0,37.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
40,1,38.0,38.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
41,1,39.0,39.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
42,1,40.0,40.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
43,1,41.0,41.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
44,1,42.0,42.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
45,1,43.0,43.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
46,1,44.0,44.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
47,1,46.0,46.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
48,1,48.0,48.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
49,1,49.0,49.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
