pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,age_diff,age_equal,birth_year_diff,birth_year_equal,birth_month_diff,birth_month_equal,education_match,marital_status_match,sex_match,ethnicity_match,religion_match,overall_similarity,attack_score
0,1,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
1,1,2.0,2.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
2,1,78.0,3.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
3,1,79.0,4.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
4,1,6.0,6.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
5,1,7.0,7.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
6,1,9.0,9.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
7,1,10.0,10.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
8,1,11.0,11.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
9,1,13.0,13.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
10,1,15.0,15.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
11,1,16.0,16.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
12,1,19.0,19.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
13,1,20.0,20.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
14,1,24.0,24.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
15,1,26.0,26.0,10.0,10.0,0.9992536694476112,0.0,1,10.0,0,0.0,1,1,1,1,1,1,0.875,0.8514609366062268
16,1,30.0,30.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
17,1,31.0,31.0,28.0,28.0,0.9772729812687764,28.0,0,0.0,1,0.0,1,1,1,1,1,1,0.875,0.41093493663544906
18,1,33.0,33.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
19,1,34.0,34.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
20,1,38.0,38.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
21,1,40.0,40.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
22,1,43.0,43.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
23,1,44.0,44.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
24,1,45.0,45.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
25,1,47.0,47.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
26,1,49.0,49.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
27,1,51.0,51.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
28,1,54.0,54.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
29,1,56.0,56.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
30,1,60.0,60.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
31,1,61.0,61.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
32,1,63.0,63.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
33,1,64.0,64.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
34,1,65.0,65.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
35,1,69.0,69.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
36,1,70.0,70.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
37,1,71.0,71.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
38,1,73.0,73.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
39,1,76.0,74.0,18.384776310850235,26.0,0.4670858208140853,13.0,0,13.0,0,0.0,1,0,1,1,1,1,0.625,0.272459429562344
40,1,75.0,82.0,28.284271247461906,40.0,0.9467029447750814,20.0,0,20.0,0,0.0,1,0,1,1,0,1,0.5,0.08614862739641405
41,1,4.0,85.0,10.3440804327886,17.0,0.9925722905150948,7.0,0,7.0,0,3.0,0,0,1,1,0,1,0.375,0.11102788089393519
42,1,22.0,88.0,2.449489742783178,4.0,0.9895530451750576,2.0,0,1.0,0,1.0,0,0,1,1,1,0,0.375,0.21053810696323935
43,1,1.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
44,1,5.0,5.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
45,1,8.0,8.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,0,1,1,1,0.875,0.7542392665939311
46,1,12.0,12.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
47,1,14.0,14.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
48,1,17.0,17.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
49,1,18.0,18.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
50,1,21.0,21.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
51,1,52.0,22.0,10.816653826391969,17.0,0.8478227519967948,7.0,0,8.0,0,2.0,0,0,1,1,1,1,0.5,0.2701279481582327
52,1,23.0,23.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
53,1,25.0,25.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0,0.9162504728530324
54,1,27.0,27.0,5.0,5.0,0.9985973798550968,0.0,1,0.0,1,5.0,0,1,1,1,1,1,0.875,0.8345357023755519
