feature,mean_abs_shap,rank
age_equal,0.08567798528904709,1
age_diff,0.07778408599547623,2
euclidean_distance,0.06172685529210366,3
overall_similarity,0.06108649041974327,4
manhattan_distance,0.055766931794125785,5
cosine_similarity,0.051403045410295854,6
birth_year_diff,0.032409354859672834,7
birth_year_equal,0.018935642014217033,8
sex_match,0.0034138448854509,9
marital_status_match,0.0030446414972233535,10
education_match,0.00246419817376945,11
religion_match,0.001588614442937618,12
ethnicity_match,0.00038681357838903346,13
