row_index,anon_id,orig_id,pred_prob,feature,feature_value,shap_value
0,0.0,0.0,0.5370370370084764,age_match,0.0,0.0
0,0.0,0.0,0.5370370370084764,overall_similarity,0.0,0.0
1,1.0,1.0,0.5370370370084764,age_match,0.0,0.0
1,1.0,1.0,0.5370370370084764,overall_similarity,0.0,0.0
2,2.0,2.0,0.5370370370084764,age_match,0.0,0.0
2,2.0,2.0,0.5370370370084764,overall_similarity,0.0,0.0
3,3.0,3.0,0.5370370370084764,age_match,0.0,0.0
3,3.0,3.0,0.5370370370084764,overall_similarity,0.0,0.0
4,4.0,4.0,0.5370370370084764,age_match,0.0,0.0
4,4.0,4.0,0.5370370370084764,overall_similarity,0.0,0.0
5,5.0,5.0,0.5370370370084764,age_match,0.0,0.0
5,5.0,5.0,0.5370370370084764,overall_similarity,0.0,0.0
6,,,0.5370370370084764,age_match,0.0,0.0
6,,,0.5370370370084764,overall_similarity,0.0,0.0
7,,,0.5370370370084764,age_match,0.0,0.0
7,,,0.5370370370084764,overall_similarity,0.0,0.0
8,,,0.5370370370084764,age_match,0.0,0.0
8,,,0.5370370370084764,overall_similarity,0.0,0.0
9,,,0.5370370370084764,age_match,0.0,0.0
9,,,0.5370370370084764,overall_similarity,0.0,0.0
10,,,0.5370370370084764,age_match,0.0,0.0
10,,,0.5370370370084764,overall_similarity,0.0,0.0
11,,,0.5370370370084764,age_match,0.0,0.0
11,,,0.5370370370084764,overall_similarity,0.0,0.0
