feature,mean_abs_shap,rank
overall_similarity,0.09187423372934404,1
snumber_match,0.06131165064110516,2
month_equal,0.05631887094206152,3
district_equal,0.05130352109330021,4
distance_equal,0.0277420284417794,5
month_diff,0.02407247331931945,6
person_serial_no_equal,0.023208349676707395,7
manhattan_distance,0.019104998295365966,8
grade_last_year_equal,0.018559891959266845,9
grade_this_year_equal,0.01694838401681729,10
time_to_school_equal,0.016480391405848515,11
euclidean_distance,0.015588686004276866,12
person_serial_no_diff,0.012993373170516421,13
transport_medium_equal,0.010083263708543176,14
grade_this_year_diff,0.009193378175919326,15
transport_medium_diff,0.009191974774365692,16
district_diff,0.009139329846770178,17
grade_last_year_diff,0.005588568324811791,18
distance_diff,0.005219387197578321,19
cosine_similarity,0.004282807869746484,20
time_to_school_diff,0.003965168981492867,21
sector_diff,0.002212651202400539,22
r2_school_education_match,0.0016873502192212122,23
reason_leave_school_equal,0.0012920775329432388,24
sector_equal,0.0008682610876175429,25
when_stop_schooling_equal,0.0007693413925558175,26
grade_last_year_match,0.00047902570419782955,27
distance_match,0.00046966422678149604,28
grade_this_year_match,0.00044914614959448316,29
time_to_school_match,0.0004235172701907536,30
transport_medium_match,0.0004217746707134438,31
noschooling_reason_equal,0.00036819241239050303,32
nhh_equal,0.0002488076201780204,33
nhh_diff,0.00023528503395001138,34
when_stop_schooling_diff,0.00018913457952582214,35
reason_leave_school_match,0.0001629312827680501,36
when_stop_schooling_match,0.00012169302230457674,37
noschooling_reason_match,4.5080349512712163e-05,38
psu_match,0.0,39
result_match,0.0,40
reason_leave_school_diff,0.0,41
type_of_school_match,0.0,42
hhno_match,0.0,43
sector_match,0.0,44
noschooling_reason_diff,0.0,45
