feature,mean_abs_shap,rank
cosine_similarity,2.219859660696006,1
manhattan_distance,1.0013687113019516,2
overall_similarity,0.8528132994873391,3
marital_status_diff,0.8414640653160609,4
marital_status_equal,0.6391382946697037,5
euclidean_distance,0.5664845604255193,6
industry_diff,0.46104213341479067,7
education_diff,0.3556458199602946,8
education_equal,0.2193373814456133,9
sex_equal,0.21203578831971176,10
sex_diff,0.16952978939271,11
industry_equal,0.028761394299199695,12
industry_match,0.0,13
age_match,0.0,14
education_match,0.0,15
age_diff,0.0,16
age_equal,0.0,17
