feature,mean_abs_shap,rank
education_equal,0.11314477657038363,1
marital_status_diff,0.11314477657038358,2
industry_match,0.045643299814298544,3
overall_similarity,0.04564329981429851,4
industry_diff,0.04528435589683819,5
industry_equal,0.045284355896838185,6
education_diff,0.038938949719436525,7
cosine_similarity,0.038938949719436476,8
manhattan_distance,0.03408114109123557,9
euclidean_distance,0.03408114109123553,10
age_equal,0.02831734550166079,11
education_match,0.0264320414786846,12
age_diff,0.02643204147868458,13
sex_diff,0.02390152586303518,14
marital_status_equal,0.023901525863035174,15
sex_equal,0.005679890318459271,16
age_match,0.005679890318459267,17
