feature,mean_abs_shap,rank
overall_similarity,0.13495123553592075,1
cosine_similarity,0.11314477657038358,2
marital_status_diff,0.04564329981429851,3
marital_status_equal,0.045284355896838185,4
manhattan_distance,0.038938949719436525,5
euclidean_distance,0.03408114109123557,6
sex_equal,0.028317345501660783,7
sex_diff,0.02643204147868458,8
industry_diff,0.025563821573222383,9
education_diff,0.02390152586303518,10
education_equal,0.005679890318459267,11
industry_equal,0.0008322059399625879,12
industry_match,0.0,13
age_match,0.0,14
education_match,0.0,15
age_diff,0.0,16
age_equal,0.0,17
