feature,mean_abs_shap,rank
overall_similarity,0.06701201340314995,1
age_equal,0.06620941297389635,2
age_diff,0.044970947392542836,3
education_match,0.04175496729827817,4
birth_month_equal,0.038595052186850186,5
manhattan_distance,0.03571241127654268,6
sex_match,0.032226932565759744,7
religion_match,0.027852151398962313,8
birth_year_diff,0.023263858709895516,9
marital_status_match,0.02269643681970441,10
euclidean_distance,0.019061825665806456,11
ethnicity_match,0.013832242067310112,12
cosine_similarity,0.00286250866608181,13
birth_year_equal,0.000851461422593291,14
birth_month_diff,0.0,15
